МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.02.2003 ДО 28.02.2003 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Pe~atnica 11 Oktomvri Prilep,100 DEM,,,,1600,2,18641600,11651,2
  Algreta Resen,100 DEM,1402,1402,1402,1402,2,51874,37,1
  Alkaloid Skopje,"25,56 EMU",1550,1300,1321,1545,58,6195520,4272,15
  Rudnici Bawani Skopje,25 EMU,620,620,620,620,1,95480,154,1
  Blagoj \orev Veles,"25,56 EMU",471,390,390,471,4,539628,1147,3
  Beton Bitola,500 DEM,,,,1700,1,2140300,1259,1
  Beton Skopje,"255,65 EMU",1600,1500,1500,1600,38,689400,457,15
  Vinka Vinica,19 EMU,456,340,456,340,5,1524285,4480,5
  Veteks Veles,"51,13 EMU",2170,1953,2170,1953,18,1019466,470,4
  Granit Skopje,5 EMU,86,75,81,77,30,1054624,12753,11
  Metalec Bitola,"51,13 EMU",1500,1500,1500,1500,5,75000,50,2
  Evropa Skopje,"51,13 EMU",1250,1200,1203,1250,18,2935976,2378,8
  EMO Ohrid,60 DEM,380,380,380,380,3,279680,736,2
  @ito Luks Skopje,100 DEM,550,550,550,550,3,241450,439,2
  @ito Vardar Veles,50 EMU,800,800,800,800,3,68800,86,3
  @ito Skopje Skopje,100 DEM,675,675,675,675,2,161325,239,2
  Komercijalna banka Skopje,5000 DEN,1850,1800,1830,1850,14,1529051,834,8
  Mako{ped Skopje,1000 DEN,,,,528.57,3,77105392,162894,1
  Mlaz Bogdanci,35 EMU,500,500,500,500,2,100500,201,2
  Makpetrol Skopje,"511,29 EMU",11100,10200,10399,10200,30,2979357,280,10
  Makedonija Turist Skopje,"25,56 EMU",925,831,925,905,12,818565,925,8
  Rade Kon~ar Skopje,25 EMU,160,160,160,160,2,21600,135,2
  Replek Makedonija Skopje,"562,42 EMU",12881,12881,12881,12881,1,77286,6,1
  R@ Ekonomika Skopje,"5,11 EMU",55,50,50,55,23,23945,474,5
  Stopanska banka Bitola,3000 DEN,2520,2280,2520,2500,5,571480,245,3
  Skopski Pazar Skopje,"51,13 EMU",2100,2018,2100,2018,2,450206,217,2
  Tehnometal Vardar Skopje,"51,13 EMU",600,600,600,600,13,247200,412,6
  TK Boro P.-Papu~ar Kumanovo,"15,34 EMU",180,180,180,180,1,18000,100,1
