МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.07.2003 ДО 31.07.2003 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Ading Skopje,"51,13 EMU",3600,3600,3600,3600,1,154800,43,1
  Algreta Resen,100 DEM,1400,1400,1400,1400,4,330400,236,1
  Alkaloid Skopje,"25,56 EMU",1650,1500,1592,1650,50,5156962,3175,16
  Automakedonija Skopje,"44,48 EMU",,,,1650,1,5032500,3050,1
  Rudnici Bawani Skopje,25 EMU,620,620,620,620,1,47740,77,1
  Blagoj \orev Veles,"25,56 EMU",520,518,520,520,9,2143312,4122,4
  Beton Skopje,"255,65 EMU",1500,1500,1500,1500,30,550500,367,14
  Granit Skopje,5 EMU,81,76,81,77,15,204580,2664,9
  Evropa Skopje,"51,13 EMU",999,915,990,990,17,3229853,3394,9
  @ito Luks Skopje,100 DEM,552,510,510,552,8,296800,556,7
  @ito Bitola Bitola,"153,4 EMU",341,341,341,341,2,55242,162,2
  @ito Strumica Strumica,"51,13 EMU",1100,1100,1100,1100,2,3834600,3486,2
  Jaka tabak Radovi{,"51,13 EMU",1100,1050,1100,1050,4,633000,600,3
  Komercijalna banka Skopje,5000 DEN,1710,1678,1700,1710,15,13049436,5449,10
  Mlaz Bogdanci,35 EMU,500,478,500,480,24,917472,1901,10
  Makedonijaproekt Skopje,"51,13 EMU",110,110,110,110,2,4620,42,1
  Makpetrol Skopje,"511,29 EMU",10500,10000,10151,10300,59,9172375,900,18
  Makedonija Turist Skopje,"25,56 EMU",1000,900,900,906,17,1937305,2105,11
  Ohridska banka Ohrid,2650 DEN,1900,1900,1900,1900,1,43700,23,1
  Replek Skopje,"562,42 EMU",11000,11000,11000,11000,2,462000,42,1
  R@ Ekonomika Skopje,"5,11 EMU",70,70,70,70,18,29820,426,9
  Stopanska banka Bitola,3000 DEN,2900,2750,2750,2800,3,518150,184,2
  Sileks Kratovo,"43,77 EMU",66,66,66,66,1,15840,240,1
  Skopski Pazar Skopje,"51,13 EMU",2133,2133,2133,2133,2,63990,30,2
  Teteks Tetovo,"51,13 EMU",310,310,310,310,1,1260460,4066,1
  Tehnometal Vardar Skopje,"51,13 EMU",683,652,682,683,9,197871,295,7
  Vinarska vizba Tikve{ Kavadarci,"51,13 EMU",9300,9300,,1000,5,48206400,47891,5
  Tutunski kombinat Prilep,"51,13 EMU",610,560,560,610,2,486720,867,2
  Toplifikacija Skopje,100 DEM,1440,1321,1330,1351,21,1709075,1258,10
  Fustelarko Borec Bitola,100 DEM,500,500,500,500,1,50500,101,1
Oficijalen pazar - prioritetni akcii,,,,,,,,,
  Komercijalna banka Skopje,1000 DEN,710,700,700,700,11,888990,1269,5
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,69.9,63.1,68.3,65,464,50347206,1216752,19
  R.Makedonija - denacionalizacija 01,,62.5,60,62,60,33,1742947,46835,8
  R.Makedonija - denacionalizacija 02,1 EUR,65,60,60.6,60.1,384,138194590,3654592,19
Vkupno Oficijalen pazar,,,,,,1219,290969756,5007200,
Neoficijalen pazar,,,,,,,,,
Neoficijalen pazar - obi~ni akcii,,,,,,,,,
  Angropromet-Tikve{anka Kavadarci,100 DEM,3002,3002,3002,,1,24016,8,1
  @ivin. farma Belimbegovo Skopje,10 DEM,47,47,47,,2,46953,999,1
  Balkanska banka Skopje,1000 DEN,,,,,2,68876500,137753,1
  Veterinarno sto~arski centar Kumanovo,10 DEM,310,310,310,,1,234980,758,1
  Grozd Strumica,100 DEM,1865,1865,1865,,1,3170500,1700,1
  Gradski Trgovski Centar Skopje,100 DEM,1800,1800,1800,,4,1134000,630,1
  @AS Bus Gostivar,100 DEM,800,800,800,,1,409600,512,1
  @ito Jug Kavadarci,100 DEM,1550,1550,1550,,1,58900,38,1
  Izvozno i kreditna banka Skopje,10000 DEN,12000,12000,,,2,13610000,1895,2
  Ineks Drim Struga,100 DEM,3200,3200,3200,,5,3523200,1101,2
  Jugotutun Treska M. Brod,100 DEM,,,,,1,11413327,7642,1
  Jugotutun Skopje,"153,27 DEM",3200,3200,3200,,3,150400,47,3
  Karaorman Skopje,100 DEM,200,200,200,,1,149600,748,1
  Konzervna fabrika Strumica,5 EMU,,,,,1,21236357,348137,1
  Makedonska Berza,450 EMU,18300,18300,18300,,2,1079700,59,1
  MZT Pumpi-Inkom AD Skopje,100 DEM,300,300,300,,1,54300,181,1
  MZT Hepos Skopje,100 DEM,,,,,2,22175377,41056,2
  Makedonska banka Skopje,4000 DEN,2000,2000,2000,,1,428000,214,1
  Makpetrol-Teas AD Skopje,10 DEM,,,,,1,588279,3747,1
  Makpetrol-Temko AD Skopje,10 DEM,,,,,1,1105594,7042,1
  Makpetrol-Tema AD Skopje,10 DEM,,,,,1,395684,12764,1
  Nova Trgovija [tip,10 DEM,,,,,1,34223000,136892,1
  Pelagonija komerc Bitola,100 DEM,630,630,630,,2,20160,32,1
  Pekabesko Skopje,90 DEM,744,744,744,,1,78120,105,1
  Reing Skopje,10 DEM,3050,3050,3050,,1,3772850,1237,1
  Tutunska banka Skopje,1000 DEN,1601,1601,1601,,1,9606,6,1
  Toplifikacija Odr`uvawe Skopje,60 DEM,40000,40000,40000,,1,40000,1,1
  Centralen depozitar za harii od vrednost,100 EMU,6100,6100,6100,,1,6100,1,1
Vkupno Neoficijalen pazar,,,,,,43,188015103,705305,
Drugi hartii od vrednost,,,,,,,,,
Dr`avni hartii od vrednost,,,,,,,,,
  Konvertibilen sertifikat - za {tedilnici,1 Denar,30,18,29.9,21.9,83,8461707,34553737,17
Vkupno Drugi hartii od vrednost,,,,,,83,8461707,34553737,
Vkupno site pazari,,,,,,1345,487446566,,
