МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.10.2003 ДО 31.10.2003 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Algreta Resen,100 DEM,1400,1400,1400,1400,1,36400,26,1
  Alkaloid Skopje,"25,56 EMU",2100,1650,1650,2000,133,25769324,13308,16
  Rudnici Bawani Skopje,25 EMU,620,620,620,620,3,189100,305,3
  Blagoj \orev Veles,"25,56 EMU",651,605,605,621,16,3842848,6139,11
  Granit Skopje,5 EMU,100,91,100,97,33,1179601,12538,12
  Metalec Bitola,"51,13 EMU",1603,1603,1603,1603,1,16030,10,1
  Evropa Skopje,"51,13 EMU",1000,943,960,953,6,594300,620,4
  @ito Luks Skopje,100 DEM,630,588,610,588,6,217650,353,5
  @ito Prilep Prilep,50 EMU,610,610,610,610,1,12200,20,1
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",305,305,305,305,3,37515,123,2
  Komercijalna banka Skopje,5000 DEN,1850,1765,1765,1809,17,2634486,1431,10
  Karpo{ Skopje,200 DEM,500,500,500,500,2,107500,215,1
  Mlaz Bogdanci,35 EMU,750,520,520,750,48,2924330,5162,15
  Makpetrol Skopje,"511,29 EMU",12000,9600,10001,9602,79,8193675,794,16
  Makedonija Turist Skopje,"25,56 EMU",980,950,979,970,18,2843828,2926,7
  Ohridska banka Ohrid,2650 DEN,1750,1750,1750,1750,1,21000,12,1
  Rade Kon~ar Skopje,25 EMU,212,193,193,212,2,27768,136,2
  Replek Skopje,"562,42 EMU",10950,10950,10950,10950,1,602250,55,1
  R@ Inter-Trans{ped Skopje,10 DEM,31,15,30,15,82,1727778,113145,12
  Stopanska banka Bitola,3000 DEN,2800,2800,2800,2800,2,50400,18,1
  Skopski Pazar Skopje,"51,13 EMU",,,,2200,1,5995000,2725,1
  Tajmi{te Ki~evo,100 DEM,1550,1510,1510,1550,9,188980,122,4
  Tetovska banka Tetovo,3000 DEN,1200,1200,1200,1200,9,5528400,4607,3
  Teteks Tetovo,"51,13 EMU",310,310,310,310,1,1252090,4039,1
