МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.11.2008 ДО 30.11.2008 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Super kotacija - obi~ni akcii,,,,,,,,,
  Beton Skopje,"255,65 EMU",12275,10421,11940,10421,118,36164787,3114,15
  Komercijalna banka Skopje,1000 DEN,3504,2550,3500,2680,353,78958067,26812,17
  Toplifikacija Skopje,100 DEM,4501,3340,4498,3350,89,8165248,2126,15
Berzanska kotacija - obi~ni akcii,,,,,,,,,
  Alkaloid Skopje,"25,56 EMU",4905,3155,4700,3481,332,34901624,8844,19
  Vitaminka Prilep,50 EMU,8100,7316,7630,7800,48,9787319,1264,13
  Granit Skopje,5 EMU,720,551,715,600,290,25805031,40414,19
  EMO Ohrid,"30,68 EMU",450,450,450,450,1,9000,20,1
  @ito Luks Skopje,"35,79 EMU",299,200,299,200,12,217582,929,8
  @ito Vardar Veles,"51,13 EMU",2520,1911,2520,1911,8,300659,125,4
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",3200,2300,3200,2309,41,2238326,890,15
  Komuna Skopje,50 DEM,600,500,600,523,11,285228,518,5
  Mako{ped Skopje,1000 DEN,660,580,650,580,16,839600,1300,8
  Makpetrol Skopje,"511,29 EMU",44200,33906,44200,36033,151,22714879,604,17
  Makedonija Turist Skopje,"25,56 EMU",4800,4007,4750,4007,16,2506800,550,7
  Ohridska banka Ohrid,2650 DEN,3000,3000,3000,3000,17,9399000,3133,6
  OHIS Skopje,"51,12 EMU",211,191,210,191,7,175924,864,5
  Replek Skopje,"562,42 EMU",55000,52380,54475,52380,14,1933753,36,6
  R@ Ekonomika Skopje,10 DEM,144,115,144,115,9,97580,831,5
  R@ Institut Skopje,10 DEM,800,800,800,800,1,8000,10,1
  R@ Uslugi Skopje,"5,11 EMU",300,240,275,240,17,283320,998,10
  Stopanska banka Bitola,3000 DEN,3127,2675,3050,2758,167,24903856,8400,18
  Skopski Pazar Skopje,"51,13 EMU",16511,12000,16511,12000,10,1902110,127,6
  Makstil Skopje,"5,11 EMU",265,181,247,181,100,6347061,29939,16
  Teteks Tetovo,"50,4 EMU",950,800,950,818,19,1981017,2272,9
  Tehnometal Vardar Skopje,"51,13 EMU",1114,1000,1100,1050,5,148682,141,4
  Vinarska vizba Tikve{ Skopje,"51,13 EMU",5160,4903,5160,4910,7,584350,116,3
  TTK Banka AD Skopje,1000 DEN,1304,1080,1300,1167,57,7386198,6242,13
  Fer{ped Skopje,37400 DEN,82500,63900,82500,66501,13,1846909,26,7
Berzanska kotacija - prioritetni akcii,,,,,,,,,
  Stopanska Banka Bitola,3000 DEN,2500,2500,2500,2500,1,27500,11,1
Berzanska kotacija - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,92,91.2,91.4,91.5,53,5218099,92833,17
  R.Makedonija - denacionalizacija 01,,90,90,90,90,1,55268,1000,1
  R.Makedonija - denacionalizacija 02,1 EUR,87,86.2,87,86.3,4,515761,9708,3
  R.Makedonija - denacionalizacija 03,1 EMU,86,85.6,85.6,85.7,8,2863091,54257,6
  R.Makedonija - denacionalizacija 04,1 EMU,83.5,82.4,82.9,83,23,6806927,133628,12
  R.Makedonija - denacionalizacija 05,1 EMU,82.3,81.2,81.9,82.1,21,1925063,38244,11
  R. Makedonija - denacionalizacija 06,1 EMU,82,80.1,80.1,82,53,22320011,448491,14
  R.Makedonija - denacionalizacija 07,1 EMU,82.9,79.6,80.5,82.9,189,51704842,1046698,19
Vkupno Oficijalen pazar,,,,,,2282,371328472,1965515,
Redoven pazar,,,,,,,,,
Pazar na javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
  Ading Skopje,"9,98 EMU",501,451,500,500,14,1332200,2674,6
  Automakedonija Skopje,"44,48 EMU",3100,3100,3100,3100,2,331700,107,1
  Beton [tip,25 EMU,970,970,970,970,2,67900,70,1
  Edinstvo Strumica,70 DEM,400,400,400,400,1,49200,123,1
  IDEVELOP Skopje,1 EMU,33,31,33,31,10,392168,12236,4
  Interpromet Tetovo,"51,13 EMU",950,732,732,950,3,9631720,10160,3
  ICN-Farm AD Skopje,"9,13 EMU",150,130,150,130,2,24050,167,2
  Kiro ]u~uk Veles,"153,38 EMU",2300,2185,2300,2185,2,533370,232,2
  KJUBI Makedonija Skopje,"51,13 EMU",1100,930,1051,930,12,467688,463,7
  R@ KPOR Skopje,10 DEM,106,100,104,105,5,32379,317,5
  Karpo{ Skopje,"17,04 EMU",206,206,206,206,2,43878,213,1
  FHL Mermeren kombinat Prilep,1 EMU,394,324,360,350,68,6528201,18218,11
  Metalec Prilep,"4,26 EMU",467,285,467,285,5,100435,303,5
  MZT Pumpi Skopje,51 EMU,980,900,980,900,2,62800,68,2
  POLI MZT Skopje,"51,13 EMU",4000,3400,3400,4000,15,3966400,1000,8
  Ohim Ges Gostivar,10 EMU,50,50,50,50,3,58000,1160,2
  OKTA Skopje,"51,12 EMU",4644,3911,4600,4644,10,514486,122,5
  Popova Kula Demir Kapija,"61,5 DEN",30,25,30,26,22,2591216,95153,10
