МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.10.2002 ДО 31.10.2002 ГОДИНА,,,,,,,,,
,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Investbanka Skopje,100.00 DEM,700,700,700,700,1,12600,18,1
  Toplifikacija Skopje,100.00 DEM,1599,1550,1599,1575,54,6529113,4155,12
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,63.8,58,59.9,63.8,598,67065048,1819386,19
  R.Makedonija - denacionalizacija 01,,61,59.9,59.9,61,28,5626936,153580,8
Vkupno Oficijalen pazar,,,,,,681,79233697,1977139,
Neoficijalen pazar,,,,,,,,,
Neoficijalen pazar - obi~ni akcii,,,,,,,,,
  Pe~atnica 11 Oktomvri Prilep,100.00 DEM,1600,1600,1600,1600,2,425600,266,1
  29 Noemvri Skopje,460 DEM,2000,2000,2000,2000,9,142000,71,6
  Ading Skopje,100.00 DEM,2002,2000,2002,2000,5,358126,179,3
  Alkaloid Skopje,50.00 DEM,1300,1221,1300,1279,42,3379612,2640,13
  Angropromet-Tikve{anka Kavadarci,100.00 DEM,4600,2010,3000,3012,8,1381390,449,6
  Art Skopje,10 DEM,20,20,20,20,1,188300,9415,1
  Rudnici Bawani Skopje,50.00 DEM,620,620,620,620,6,319300,515,5
  Blagoj \orev Veles,50.00 DEM,527,300,300,527,2,209231,506,2
  @ivin. farma Belimbegovo Skopje,10.00 DEM,47,47,47,47,3,77785,1655,3
  Beton Skopje,500 DEM,100,100,100,100,1,1100,11,1
  Beton [tip,500.00 DEM,470,470,470,470,1,37600,80,1
  Veles tabak Veles,20.00 DEM,180,180,180,180,7,151020,839,1
  Vitaminka Prilep,29.11 DEM,1700,1700,1700,1700,6,763300,449,1
  Vardar osiguruvawe Skopje,100.00 DEM,3100,1500,3100,1500,3,24200,14,2
  Veteks Veles,100 DEM,2170,2170,2170,2170,2,99820,46,1
  DZSPP Goce Del~ev s.Trubarevo,100.00 DEM,2200,2200,2200,2200,1,440000,200,1
  Granit Skopje,10.00 DEM,70,66,66,70,29,559014,7995,5
  Gradski Trgovski Centar Skopje,100.00 DEM,1000,1000,1000,1000,2,40000,40,1
  Evropa Skopje,100.00 DEM,1060,1040,1050,1050,9,362890,345,5
  Elmar [tip,192.00 DEM,31,31,31,31,20,610700,19700,5
  EMO Ohrid,60.00 DEM,400,380,380,380,15,4025640,10590,11
  @ito Luks Skopje,100.00 DEM,610,599,599,610,6,496630,825,4
  @ito Bitola Bitola,300.00 DEM,341,340,340,341,2,39500,116,1
  @ito Skopje Skopje,100.00 DEM,751,750,750,750,9,996150,1328,9
  ZEM Promet Skopje,100.00 DEM,100,100,100,100,1,33200,332,1
  Zemjod. komb. Pelagonija Bitola,100.00 DEM,450,305,450,305,7,252920,805,3
  ZUS Skopje,40.00 DEM,288,288,288,288,2,451296,1567,1
  Javor{ped Bitola,10 DEM,310,150,150,310,100,1623287,5245,5
  Jugotutun Skopje,"153,27 DEM",2000,2000,2000,2000,4,168000,84,4
  KJUBI Makedonija Skopje,100.00 DEM,590,550,550,590,4,726150,1285,3
  DZP Kle~ovce Kumanovo,50 DEM,434,434,434,434,1,1494696,3444,1
  Komercijalna banka Skopje,5000.00 DEN,2000,1730,1750,1730,27,14669961,7032,12
  Javor Stokovna ku}a Korzo Bitola,10 DEM,310,309,310,310,174,22769798,73452,10
  Krai{te –Tikve{ Kavadarci,100 DEM,200,200,200,200,5,2090600,10453,1
  Lozar –Sviwarska farma Veles,5 EUR,,,,61,1,3900401,63941,1
  Lihnida Ohrid,20 DEM,610,427,610,610,9,790377,1467,3
  Makpromet [tip,100.00 DEM,,,,400,2,7631200,19078,1
  MZT Oprema za vozila Skopje,100 DEM,650,650,650,650,5,62400,96,4
  Makedonska banka Skopje,4000.00 DEN,2350,2350,2350,2350,3,4721150,2009,1
  Makedonija Gostivar,100.00 DEM,2200,2000,2200,2000,2,2334000,1157,2
  Makedonija soobra}aj Skopje,100 DEM,1000,1000,1000,1000,2,80000,80,1
  Mlaz Bogdanci,45.06 DEM,500,500,500,500,1,759000,1518,1
  Makpetrol Skopje,1000.00 DEM,9301,9060,9103,9153,72,5696092,618,15
  Makedonija Turist Skopje,50.00 DEM,1000,800,1000,800,20,2249159,2508,8
  Napredok Gostivar,10.00 DEM,,,,1200,1,1756800,1464,1
  OKTA Skopje,100.00 DEM,450,450,450,450,1,11250,25,1
  Pelagonija komerc Bitola,100.00 DEM,600,600,600,600,1,4200,7,1
  Pelagonija Trans Prilep,100 DEM,1500,1500,1500,1500,2,40500,27,1
  Replek Makedonija Skopje,1100.00 DEM,,,,15000,1,9735000,649,1
  R@ Ekonomika Skopje,10.00 DEM,75,50,50,75,24,38075,532,9
  Rudnik Demir Hisar s. Sopotnica,10 DEM,,,,250,1,2598000,10392,1
  Skopski saem Skopje,100.00 DEM,2287,2287,2287,2287,11,50771400,22200,3
  Stopanska banka Bitola,2011 DEN,3000,3000,3000,3000,1,87000,29,1
  Sileks Kratovo,"85,00 DEM",62,62,62,62,6,92318,1489,5
  Slavej Skopje,100.00 DEM,1900,1900,1900,1900,1,239400,126,1
  Slovin Jugokokta Skopje,10 DEM,88,88,88,88,3,731368,8311,2
