МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.02.2002 ДО 28.02.2002 ГОДИНА,,,,,,,,,
,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официален пазар,,,,,,,,,
Prv pazar - Obi~ni akcii,,,,,,,,,
  Toplifikacija Skopje,100.00 DEM,1630,1600,1600,1610,34,4905231,3050,12
Прв пазар - Обврзници,,,,,,,,,
  R. Makedonija - devizni vlogovi,,70,67.1,70,68,837,45153164,1068481,16
Вкупно Официален пазар,,,,,,871,50058395,1071531,
Неофициален пазар,,,,,,,,,
Трет пазар - Обични акции,,,,,,,,,
  Agromehanika Skopje,100.00 DEM,930,930,930,930,3,260400,280,2
  Agroplod Resen,1004.17 DEM,11632,8107,11632,8107,7,42187463,4409,1
  Alkaloid Skopje,50.00 DEM,1402,1300,1303,1360,69,6387151,4724,15
  Blagoj \orev Veles,50.00 DEM,300,160,160,160,18,2018615,11345,10
  Biljana Konfekcija Prilep,100.00 DEM,343,343,343,343,5,188307,549,2
  Vegetabil Skopje,200 DEM,310,310,310,310,1,193750,625,1
  Veles tabak Veles,20.00 DEM,244,244,244,244,6,6100000,25000,1
  Vitaminka Prilep,29.11 DEM,1800,1800,1800,1800,5,586800,326,1
  Gevgelija Turist Gevgelija,10 DEM,,,,156,1,2838264,18194,1
  Evropa Skopje,100.00 DEM,1400,1311,1311,1400,4,358960,259,3
  @ito Luks Skopje,100.00 DEM,800,600,600,751,6,620100,850,5
  Zemjod. komb. Pelagonija Bitola,100.00 DEM,600,600,600,600,2,738600,1231,2
  Jugotutun Skopje,"153,27 DEM",2000,2000,2000,2000,1,18000,9,1
  KIB Kumanovo,100 DEM,,,,658,1,5002116,7602,1
  Komercijalna banka Skopje,5000.00 DEN,2170,2050,2105,2100,22,33131573,11491,10
  Komunaproekt Tetovo,10 DEM,315,315,315,315,2,282240,896,1
  Lotarija na Makedonija Skopje,100.00 DEM,1280,1280,1280,1280,1,61440,48,1
  Makedonska banka Skopje,4000.00 DEN,,,,2350,1,24884150,10589,1
  Mlekara Prilep Prilep,100.00 DEM,,,,304.75,1,1731285,5681,1
  Makpetrol Skopje,1000.00 DEM,11150,10370,11001,10880,114,14350953,1322,15
  Makedonija Turist Skopje,50.00 DEM,700,640,640,700,8,497219,775,6
  Pelagonija komerc Bitola,100.00 DEM,600,600,600,600,3,22200,37,2
  Radobank Skopje,10000.00 DEN,10000,10000,10000,10000,2,680000,68,1
  Sileks Kratovo,"85,00 DEM",62,62,62,62,3,56668,914,2
  Slavej Skopje,100.00 DEM,2170,2170,2170,2170,1,108500,50,1
  Sloga - 2000 Krivoga{tani,100 DEM,,,,1558,1,6115150,3925,1
  Skopski Pazar Skopje,100.00 DEM,2100,2100,2100,2100,2,520800,248,2
  Dr.za del.i men.i dr.kons.usl.Telemak.Sk,10 DEM,311,311,311,311,1,74640,240,1
  Teteks Tetovo,100.00 DEM,,,,310,1,8334970,26887,1
  Tekstil Skopje,190.00 DEM,1600,1600,1600,1600,3,112000,70,2
  Trgotekstil Angro 6 Skopje,50 DEM,235,160,235,160,5,69575,395,4
  Trans Veles Veles,10.00 DEM,300,300,300,300,1,2423400,8078,1
  Fer{ped Skopje,1199.00 DEM,19050,19050,19050,19050,1,57150,3,1
Tret pazar - Prioritetni akcii,,,,,,,,,
  Komercijalna banka Skopje,1000.00 DEN,900,820,840,900,14,681281,808,8
  Tutunska banka Skopje,1000.00 DEN,1200,1200,1200,1200,1,8400,7,1
Vkupno Neoficialen pazar,,,,,,317,161702120,147935,
Dr`aven pazar,,,,,,,,,
Dr`ava - gotovina,,,,,,,,,
  Dim~e Bawarot Prilep,100.00 DEM,156,156,156,156,1,8892,57,1
  Ereniku Komerc Skopje,100 DEM,3116,3116,3116,3116,1,2439828,783,1
  IGM Vratnica s. Vratnica,60 DEM,,,,935,1,6007375,6425,1
  MZT Oprema za vozila Skopje,100 DEM,1558,1558,1558,1558,1,1029838,661,1
  Makohemija Skopje,10 DEM,156,156,156,156,1,361140,2315,1
  Polog Proekt Gostivar,100 DEM,3116,3116,3116,3116,1,112176,36,1
  Frigo - Mak Negotino,10.00 DEM,312,312,312,312,1,2574000,8250,1
Vkupno Dr`aven pazar,,,,,,7,12533249,18527,
Vkupno site pazari,,,,,,1195,224293764,,
