МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.04.2002 ДО 30.04.2002 ГОДИНА,,,,,,,,,
,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официален пазар,,,,,,,,,
Prv pazar - Obi~ni akcii,,,,,,,,,
  Топлификација Скопје,100.00 DEM,1590,1270,1590,1320,16,2239465,1633,10
Прв пазар - Обврзници,,,,,,,,,
  R. Makedonija - devizni vlogovi,,68,63,67.8,64,722,45793622,1130100,18
Вкупно Официален пазар,,,,,,738,48033087,1131733,
Неофициален пазар,,,,,,,,,
Трет пазар - Обични акции,,,,,,,,,
  Agromehanika Skopje,100.00 DEM,5000,1000,1000,2300,82,52062415,30369,16
  Agropromet Strumica,100.00 DEM,,,,3100,1,3605300,1163,1
  ADOR Makedonija Skopje,100.00 DEM,650,650,650,650,2,198900,306,2
  Alkaloid Skopje,50.00 DEM,1300,1190,1300,1190,17,1015390,816,5
  Avtoremont Kavadarci,"29,62 DEM",320,320,320,320,4,131200,410,1
  Automakedonija Skopje,87.00 DEM,1000,1000,1000,1460,7,22228597,15652,4
  Blagoj \orev Veles,50.00 DEM,210,210,210,210,2,266490,1269,1
  @ivin. farma Belimbegovo Skopje,10.00 DEM,47,47,47,47,9,314383,6689,2
  Beton Radovi{,500 DEM,1550,1550,1550,1550,1,860250,555,1
  BIM Sveti Nikole,200.00 DEM,7130,3100,3100,7130,11,14199510,2072,6
  Veles tabak Veles,20.00 DEM,180,180,180,180,32,4624920,25694,5
  Vitaminka Prilep,29.11 DEM,1800,1800,1800,1800,4,502200,279,1
  Vardar osiguruvawe Skopje,100.00 DEM,3100,3100,3100,3100,2,616900,199,2
  Galeb Ohrid,50 EUR,,,,2134,1,6749842,3163,1
  DZSPP Goce Del~ev s.Trubarevo,100.00 DEM,2200,2200,2200,2200,6,576400,262,4
  Gevgelija Turist Gevgelija,10 DEM,156,156,156,156,10,295620,1895,3
  Granit Skopje,10.00 DEM,60,50,50,60,3,69350,1227,3
  Evropa Skopje,100.00 DEM,1381,1000,1381,1000,25,2313890,1938,7
  ^eli~en liv i granulat @eleznik D. Hisar,100 DEM,600,600,600,600,3,34200,57,1
  @ito Struga Struga,100.00 DEM,,,,930,1,1348500,1450,1
  Zemjod. komb. Pelagonija Bitola,100.00 DEM,450,450,450,450,1,136800,304,1
  Institut za zavaruv. Jug Skopje,100.00 DEM,1800,1800,1800,1800,4,414000,230,1
  Ilinden Struga,50.00 DEM,600,600,600,600,1,720000,1200,1
  Ineks Gorica Ohrid,100 DEM,,,,2135,3,138288928,61534,1
  Jaka tabak Radovi{,100.00 DEM,1100,1100,1100,1100,4,569800,518,2
  Jugotutun [tip,199.97 DEM,155,155,155,155,4,45725,295,1
  Karaorman Skopje,100.00 DEM,150,150,150,150,3,31050,207,2
  Komercijalna banka Skopje,5000.00 DEN,2200,1800,2100,1800,14,14060578,5485,9
  Lovec Tetovo,190.00 DEM,100,100,100,100,5,11000,110,1
  Lotarija na Makedonija Skopje,100.00 DEM,1280,1000,1000,1280,9,3978040,3784,8
  Mikrogranulat Gostivar,43.54 DEM,1001,300,300,1001,11,11049059,27002,9
  Mako{ped Skopje,1000.00 DEN,150,150,150,150,3,135450,903,3
  Hoteli Metropol Ohrid,10.00 DEM,210,210,210,210,1,420,2,1
  Makpetrol Skopje,1000.00 DEM,9601,8500,9601,8510,44,2499112,271,15
  Makedonija Turist Skopje,50.00 DEM,645,600,600,645,3,297350,471,3
  OKTA Skopje,100.00 DEM,2500,2500,2500,2500,1,2500,1,1
  [IK Pla~kovica Radovi{,100 DEM,50,50,50,50,1,49400,988,1
  Pelagonija Trans Prilep,100 DEM,1200,900,900,1200,10,248700,215,3
  Rade Kon~ar Skopje,25 EUR,160,160,160,160,9,104160,651,4
  Radobank Skopje,10000.00 DEN,10000,10000,10000,10000,1,12170000,1217,1
  R@ Ekonomika Skopje,10.00 DEM,100,100,100,100,3,6500,65,1
  Sileks Kratovo,"85,00 DEM",62,62,62,62,2,43524,702,1
  Sileksbanka Skopje,85 DEM,310,310,310,310,1,168330,543,1
  Skopski Pazar Skopje,100.00 DEM,2101,2100,2100,2101,3,98735,47,3
  Stopanska banka Skopje,3000 DEN,2900,200,2900,200,2,32300,40,2
  Tajmi{te Ki~evo,100.00 DEM,1600,1600,1600,1600,5,2001600,1251,4
  TK Boro P.-Papu~ar Kumanovo,30.27 DEM,150,150,150,150,1,30000,200,1
  Tekstil Skopje,190.00 DEM,1600,1600,1600,1600,1,94400,59,1
  Tutunska banka Skopje,1000.00 DEN,1402,1401,1402,1401,7,1133751,809,2
  Trgotekstil Angro 6 Skopje,50 DEM,160,160,160,160,2,27040,169,2
  Fer{ped Skopje,1199.00 DEM,20001,19050,19050,19050,4,267651,14,3
