МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.05.2002 ДО 31.05.2002 ГОДИНА,,,,,,,,,
,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официален пазар,,,,,,,,,
Prv pazar - Obi~ni akcii,,,,,,,,,
  Топлификација Скопје,100.00 DEM,1350,1300,1321,1300,31,2840184,2144,9
Прв пазар - Обврзници,,,,,,,,,
  R. Makedonija - devizni vlogovi,,66.9,59,63,60,493,38804756,997636,15
Вкупно Официален пазар,,,,,,524,41644940,999780,
Неофициален пазар,,,,,,,,,
Трет пазар - Обични акции,,,,,,,,,
  Agromehanika Skopje,100.00 DEM,3100,2900,,3100,8,29234800,9908,4
  Ading Skopje,100.00 DEM,2001,2000,2000,2001,2,280040,140,2
  Algreta Resen,100.00 DEM,900,900,900,900,5,191700,213,2
  Alkaloid Skopje,50.00 DEM,1285,1110,1110,1249,30,2131008,1721,11
  Automakedonija Skopje,87.00 DEM,1000,1000,1000,1000,4,708000,708,3
  Rudnici Bawani Skopje,50.00 DEM,600,600,600,600,2,70800,118,2
  Blagoj \orev Veles,50.00 DEM,240,220,220,220,6,892880,3869,6
  @ivin. farma Belimbegovo Skopje,10.00 DEM,47,47,47,47,7,194909,4147,2
  Beton [tip,500.00 DEM,470,470,470,470,1,1114370,2371,1
  Biljana Konfekcija Prilep,100.00 DEM,343,343,343,343,5,168413,491,1
  Velesprom Veles,10 DEM,,,,60,1,6437880,107298,1
  Vardar osiguruvawe Skopje,100.00 DEM,3100,3100,3100,3100,64,4650000,1500,2
  Galeb Ohrid,50 EUR,2134,2134,2134,2133,4,43802185,20535,2
  Gevgelija Turist Gevgelija,10 DEM,156,156,156,156,2,102180,655,1
  Granit Skopje,10.00 DEM,70,60,60,70,6,87510,1342,2
  Evropa Skopje,100.00 DEM,1100,921,921,1100,11,536040,525,7
  Energomont Skopje,100.00 DEM,1500,1500,1500,1500,1,18000,12,1
  @ito Luks Skopje,100.00 DEM,650,650,650,650,2,292500,450,1
  @ito Prilep Prilep,100.00 DEM,310,310,310,310,1,24800,80,1
  @ito Skopje Skopje,100.00 DEM,330,330,330,330,1,4290,13,1
  Zemjod. komb. Pelagonija Bitola,100.00 DEM,450,450,450,1509,10,13636350,11203,4
  Idnina Kratovo,20.00 DEM,63,31,31,63,2,2818314,46646,2
  Ineks Gorica Ohrid,100 DEM,2400,2400,,3410,4,41161075,14363,3
  Jaka tabak Radovi{,100.00 DEM,1150,1101,1150,1101,4,377038,338,1
  Karaorman Skopje,100.00 DEM,150,150,150,150,1,50850,339,1
  Kiro Dandaro Bitola,10.00 DEM,90,90,90,90,1,167490,1861,1
  Komercijalna banka Skopje,5000.00 DEN,1750,1500,1700,1750,23,15632483,6364,12
  Lotarija na Makedonija Skopje,100.00 DEM,1280,313,1280,313,5,1222843,2807,4
  Mikrogranulat Gostivar,43.54 DEM,1201,1201,1201,1201,1,919966,766,1
  Makedonija Gostivar,100.00 DEM,2100,2100,2100,2100,1,132300,63,1
  Makmetal Skopje,100.00 DEM,3200,3200,3200,3200,1,28800,9,1
  Makedonija soobra}aj Skopje,100 DEM,1500,1500,1500,1500,1,60000,40,1
  Mako{ped Skopje,1000.00 DEN,,,,360,1,56551680,157088,1
  Mlaz Bogdanci,45.06 DEM,500,500,500,500,2,524000,1048,1
  Makpetrol Skopje,1000.00 DEM,10250,8501,8501,8800,59,6350580,663,14
  Makedonija Turist Skopje,50.00 DEM,700,602,690,690,8,1105753,1721,5
  Pelagonija komerc Bitola,100.00 DEM,600,600,600,600,2,21000,35,1
  Pelagonija Trans Prilep,100 DEM,1500,1200,1200,1500,12,315600,259,6
  Rade Kon~ar Skopje,25 EUR,160,160,160,160,3,30880,193,2
  Radobank Skopje,10000.00 DEN,7621,7621,7621,7621,2,3299893,433,1
  R@ Ekonomika Skopje,10.00 DEM,75,75,75,75,6,11925,159,4
  Skopski saem Skopje,100.00 DEM,315,315,315,315,1,36540,116,1
  Skopski Pazar Skopje,100.00 DEM,2250,2000,2101,2200,5,1043756,477,5
  Sigurnosno staklo Prilep,100.00 DEM,950,950,950,950,17,1140000,1200,3
  Tajmi{te Ki~evo,100.00 DEM,1600,1600,1600,1600,1,630400,394,1
  Teteks Tetovo,100.00 DEM,,,,310,1,5598600,18060,1
