МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.10.2012 ДО 31.10.2012 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,2589,2350,2589,2400,158,26417582,10902,19
Топлификација Скопје,51.13 EUR,2100,1551,2022,1600,32,1141448,621,12
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,4010,3960,3960,4000,185,31249631,7814,20
Бетон Скопје,255.65 EUR,5500,3800,3800,3897,5,147477,35,5
ЕМО Охрид,30.68 EUR,30,30,30,30,1,6870,229,1
Фершпед Скопје,37400.00 MKD,41000,40100,41000,40500,9,1843600,45,8
Гранит Скопје,5.00 EUR,482,450,481,450,24,1521682,3206,9
Дуропацк АД Скопје,25.56 EUR,450,450,450,450,2,153000,340,2
Макошпед Скопје,1000.00 MKD,130,121,130,121,3,20130,159,3
Хотели Метропол Охрид,5.00 EUR,150,120,120,120,5,281820,2347,4
Макпетрол Скопје,511.29 EUR,14000,12660,14000,13170,45,1665343,124,14
Македонијатурист Скопје,25.56 EUR,2949,2860,2861,2900,27,2229784,771,11
ОХИС Скопје,51.12 EUR,65,65,65,65,2,51545,793,1
Реплек Скопје,562.42 EUR,38700,38600,38600,38700,5,812200,21,5
РЖ Институт Скопје,5.11 EUR,350,350,350,350,1,1400,4,1
РЖ Интер-Трансшпед Скопје,5.11 EUR,25,25,25,25,1,4025,161,1
РЖ Услуги Скопје,5.11 EUR,118,118,118,118,2,15930,135,1
Стопанска банка Битола,3000.00 MKD,1630,1164,1630,1180,32,3811466,2973,11
Скопски Пазар Скопје,51.13 EUR,3850,3700,3850,3700,7,239845,64,5
Макстил Скопје,5.11 EUR,100,97,98,99,26,951883,9687,12
Тетекс Тетово,50.40 EUR,316,302,316,311,4,121050,395,3
ТТК Банка АД Скопје,1000.00 MKD,750,750,750,750,7,528750,705,4
Жито Лукс Скопје,35.79 EUR,159,159,159,159,2,60579,381,1
ЗК Пелагонија Битола,70.21 EUR,2200,2200,2200,2200,6,4329600,1968,6
Берзанска котација - обврзници,,,,,,,,,
Р.Македонија - денационализација 03,1.00 EUR,95.1,95,95,95.1,2,61153.39,1046,2
Р.Македонија - денационализација 04,1.00 EUR,95.3,94,94,95.3,3,213217.45,3661,3
Р.Македонија - денационализација 05,1.00 EUR,93.9,92,92,93,7,841269.81,14689,6
Р. Македонија - денационализација 06,1.00 EUR,92.2,92.2,92.2,92.2,3,164888.11,2908,3
Р. Македонија - денационализација 08,1.00 EUR,90,90,90,90,1,5645.82,102,1
Р. Македонија - денационализација 09,1.00 EUR,89,87.5,89,87.5,11,54476160.97,1012149,5
Р. Македонија - денационализација 10,1.00 EUR,88,87,88,88,7,2300294.23,42505,3
Р. Македонија - денационализација 11,1.00 EUR,88.4,86.5,88,87.8,79,15078435.18,278785,18
Вкупно Официјален пазар,,,,,,704,150747704.96,1399725,
Редовен пазар,,,,,,,,,
Пазар на акционерски друштва со посебни обврски за известување - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,251,249,251,249,3,74262,298,2
Бетон Штип,25.00 EUR,1620,1550,1550,1620,6,1005850,632,2
Благој Ѓорев Велес,25.56 EUR,380,380,380,380,1,19000,50,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,440,394,394,400,12,303264,754,8
Фустеларко Борец Битола,33.24 EUR,305,305,305,305,1,2116700,6940,1
КЈУБИ Македонија Скопје,51.13 EUR,1500,1407,1500,1407,14,796105,540,6
Карпош Скопје,17.04 EUR,150,150,150,150,3,126900,846,2
Пелистерка АД Скопје,51.00 EUR,2000,2000,2000,2000,4,344000,172,3
Металец Прилеп,4.26 EUR,9,7,7,9,5,36356,4296,3
Млаз Богданци,35.00 EUR,93,93,93,93,16,4197834,45138,1
ОКТА Скопје,51.12 EUR,1010,1010,1010,1010,2,20200,20,1
Прилепска Пиварница Прилеп,125.00 EUR,8240,8011,8240,8240,5,399409,49,4
Раде Кончар Скопје,25.00 EUR,1530,1500,1500,1500,22,3728430,2470,9
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,46,39,39,46,11,168808,3909,7
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,45,40,40,45,8,156100,3590,3
Сковин Скопје,310.00 MKD,300,300,300,300,2,57600,192,2
Стопанска банка Скопје,201.10 MKD,148,133,148,143,7,420579,3148,6
Тајмиште Кичево,100.00 DEM,1550,1550,1550,1550,1,77500,50,1
Македонски Телеком Скопје,100.00 MKD,500,486,493,495,86,7386092,15053,19
Трготекстил малопродажба Скопје,5.11 EUR,104,104,104,104,14,708448,6812,8
Универзална Инвестициона Банка Скопје,1000.00 MKD,201,195,201,200,5,187932,949,4
Цементарница УСЈЕ Скопје,3100.00 MKD,17460,17460,17460,17460,1,261900,15,1
Жито Полог Тетово,51.13 EUR,2150,2150,2150,2150,1,215000,100,1
Слободен пазар - обични акции,,,,,,,,,
Алкалоид Берово,255.60 EUR,5441,5441,5441,5441,3,2160077,397,1
АТП Пролетер Крива Паланка,50.00 EUR,307,307,307,307,1,34998,114,1
Бутел Погребен сервис АД Скопје,50.00 EUR,920,920,920,920,1,55200,60,1
Елмар Штип,10.00 DEM,30,30,30,30,1,24300,810,1
Град. институт Македонија Скопје,51.12 EUR,,,,15702,2,0,0,2
Југоопрема Скопје,51.00 EUR,1470,1470,1470,1470,2,2979690,2027,1
Квасара Битола,51.13 EUR,16999,7100,7100,16999,4,116609,15,3
Сава Табак Осигурување Скопје,273.00 EUR,7135,7135,7135,7135,2,171240,24,1
Вкупно Редовен пазар,,,,,,246,28350383,99470,
Вкупно сите пазари ,,,,,,950,179098087.96,1499195,
БЛОКОВИ,,,,,,,,,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Град. институт Македонија Скопје,,,,,15702,,6422118,409,
Град. институт Македонија Скопје,,,,,15702,,5888250,375,
