МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.01.2018 ДО 31.01.2018 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,3385,2760,2760,3370,414,90561706,28809,20
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,8299,7400,7500,8290,151,39161448,5053,20
Бетон Скопје,255.65 EUR,10940,9518,10300,10940,8,742076,74,7
Фершпед Скопје,37400.00 MKD,56948,53640,56948,56000,9,8119536,145,7
Гранит Скопје,5.00 EUR,870,772,780,852,103,12069441,14665,19
Макошпед Скопје,1000.00 MKD,199,152,190,180,9,100220,544,6
Хотели Метропол Охрид,5.00 EUR,291,255,283,291,9,688748,2439,5
Макпетрол Скопје,511.29 EUR,30000,27500,27500,29800,88,11238879,389,17
Македонијатурист Скопје,25.56 EUR,4377,4099,4101,4377,19,7326288,1730,10
Охридска банка АД Скопје,2650.00 MKD,5300,4800,4800,5273,59,15338560,3113,14
Реплек Скопје,562.42 EUR,60280,54800,54800,60280,2,175360,3,2
РЖ Интер-Трансшпед Скопје,5.11 EUR,25,25,25,25,1,25000,1000,1
РЖ Услуги Скопје,5.11 EUR,149,103,107,149,91,5358680,48555,15
Стопанска банка Битола,3000.00 MKD,2266,1922,1950,2266,18,2142368,1052,10
Скопски Пазар Скопје,51.13 EUR,16818,15937,15937,16818,2,519596,31,2
Макстил Скопје,5.11 EUR,168,130,130,168,94,6238727,42792,18
Технометал Вардар Скопје,51.13 EUR,150,140,150,140,2,7500,52,2
Тетекс Тетово,50.40 EUR,2495,2000,2142,2495,25,6674096,3290,8
Тутунски комбинат Прилеп,51.13 EUR,231,231,231,231,1,10857,47,1
Винарска визба Тиквеш Скопје,51.13 EUR,3202,2797,2797,3200,13,1112615,371,7
Топлификација Скопје,51.13 EUR,1800,1700,1800,1720,32,1395915,796,12
ТТК Банка АД Скопје,1000.00 MKD,1025,834,858,1000,83,9852976,10306,16
Витаминка Прилеп,52.78 EUR,7562,7562,7562,7562,1,113430,15,1
Жито Лукс Скопје,35.79 EUR,230,160,160,221,13,561730,2657,6
ЗК Пелагонија Битола,70.21 EUR,2885,2700,2710,2800,10,1436360,525,6
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 12,1.00 EUR,96,95,95,96,2,307343.4,5226,1
Р. Македонија - денационализација 13,1.00 EUR,96,96,96,96,1,146168.51,2474,1
Р. Македонија - денационализација 14,1.00 EUR,95.6,95.5,95.5,95.6,2,212489.68,3617,2
Р. Македонија - денационализација 16,1.00 EUR,94.7,92.5,93,94.5,448,155242267.26,2694311,17
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,518,490,518,490,3,235200,460,2
Аутомакедонија Скопје,44.48 EUR,1700,1699,1699,1700,3,326348,192,2
Рудници Бањани Скопје,50.00 DEM,550,550,550,550,1,108350,197,1
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1400,1400,1400,1400,1,166600,119,1
Оилко КДА Скопје,6000.00 MKD,6000,6000,6000,6000,1,180000,30,1
ОКТА Скопје,51.12 EUR,3500,3000,3000,3500,33,3228390,965,12
"Пекабеско АД Кадино, Илинден",46.00 EUR,13000,12500,13000,12500,5,603035,48,4
Прилепска Пиварница Прилеп,125.00 EUR,38000,37000,37102,37500,16,3477520,93,7
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,22,10,10,22,6,67410,3075,2
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,51,43,43,51,5,142703,3073,4
РЖ Техничка контрола Скопје,5.11 EUR,450,450,450,450,2,8100,18,2
Славеј Скопје,50.00 EUR,6100,6100,6100,6100,2,79300,13,1
Стопанска банка Скопје,201.10 MKD,970,920,920,969,74,9882054,10369,14
Македонски Телеком Скопје,100.00 MKD,301,275,280,301,24,1812313,6414,11
ГД-Тиквеш Кавадарци,100.00 DEM,153,153,153,153,3,11016,72,2
НЛБ Банка АД Скопје,1000.00 MKD,13350,13000,13001,13350,70,25335582,1911,13
Универзална Инвестициона Банка Скопје,1000.00 MKD,2050,1900,1900,2010,77,19206594,9702,16
Цементарница УСЈЕ Скопје,3100.00 MKD,25500,25000,25000,25500,5,1282000,51,4
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,600,600,600,600,3,129600,216,2
Вкупно Официјален пазар,,,,,,2044,443162495.85,2911099,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Печатница 11 Октомври Прилеп,50.00 EUR,,,,300,1,0,0,1
Коста Абраш Охрид,51.13 EUR,600,600,600,600,1,4200,7,1
Агро Стрмош Пробиштип,100.00 DEM,676,676,676,676,2,565136,836,1
Караорман Скопје,50.00 EUR,659,659,659,659,2,1087350,1650,1
Квасара Битола,51.13 EUR,11147,11147,11147,11147,1,78029,7,1
Млекара Тетово,5.00 EUR,254,254,254,254,1,440436,1734,1
Ветеринарно сточарски центар Куманово,5.00 EUR,126,126,126,126,1,147672,1172,1
Вкупно Редовен пазар,,,,,,9,2322823,5406,
Вкупно сите пазари ,,,,,,2053,445485318.85,2916505,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,3385,,7785500,2300,
Комерцијална банка Скопје,,,,,3100,,1103600,356,
Комерцијална банка Скопје,,,,,2500,,22500000,9000,
Комерцијална банка Скопје,,,,,2500,,11250000,4500,
Комерцијална банка Скопје,,,,,2400,,16800000,7000,
Комерцијална банка Скопје,,,,,3250,,9750000,3000,
Комерцијална банка Скопје,,,,,2420,,24200000,10000,
Комерцијална банка Скопје,,,,,2420,,15364580,6349,
Берзанска котација - обични акции,,,,,,,,,
Фершпед Скопје,,,,,54500,,1798500,33,
ТТК Банка АД Скопје,,,,,1000,,3000000,3000,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Печатница 11 Октомври Прилеп,,,,,291,,6206448,21328,
