МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.09.2018 ДО 28.09.2018 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,5270,5111,5136,5251,314,107934525,20817,20
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,8450,7901,7902,8355,195,33087831,4100,20
Бетон Скопје,255.65 EUR,10101,9000,9000,10100,42,3715141,382,14
Фершпед Скопје,37400.00 MKD,62831,61001,61001,62831,7,1486470,24,5
Гранит Скопје,5.00 EUR,875,800,810,869,188,23543352,28315,18
Макошпед Скопје,1000.00 MKD,249,230,245,238,12,288220,1220,5
Хотели Метропол Охрид,5.00 EUR,350,291,291,350,23,1260254,4017,12
Макпетрол Скопје,511.29 EUR,48506,46000,46000,48506,216,48847264,1034,20
Македонијатурист Скопје,25.56 EUR,5000,4700,4700,5000,34,6550504,1371,11
Охридска банка АД Скопје,2650.00 MKD,6750,6420,6451,6600,59,13099631,1993,16
Реплек Скопје,562.42 EUR,67000,65500,67000,67000,4,1066000,16,3
РЖ Интер-Трансшпед Скопје,5.11 EUR,25,25,25,25,1,1450,58,1
РЖ Услуги Скопје,5.11 EUR,119,108,110,118,29,840872,7573,9
Стопанска банка Битола,3000.00 MKD,2441,2300,2300,2441,15,2410760,1038,6
Макстил Скопје,5.11 EUR,146,127,137,146,41,2074433,15346,11
Тетекс Тетово,50.40 EUR,2399,2150,2200,2300,23,5155576,2330,7
Винарска визба Тиквеш Скопје,51.13 EUR,5156,4850,4900,5155,6,716704,142,3
Топлификација Скопје,51.13 EUR,1320,1269,1319,1280,6,479688,373,3
ТТК Банка АД Скопје,1000.00 MKD,1220,1100,1135,1195,72,12194278,10766,16
Витаминка Прилеп,52.78 EUR,9189,9189,9189,9189,1,27567,3,1
Жито Лукс Скопје,35.79 EUR,256,256,256,256,1,27904,109,1
ЗК Пелагонија Битола,70.21 EUR,2853,2853,2853,2853,2,570600,200,2
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 13,1.00 EUR,97,95,97,96,4,706406.59,12057,2
Р. Македонија - денационализација 15,1.00 EUR,96.5,95,96.5,95.5,6,437734.94,7440,4
Р. Македонија - денационализација 16,1.00 EUR,96,96,96,96,7,1186135.23,20092,4
Р. Македонија - денационализација 17,1.00 EUR,96.3,96.1,96.1,96.3,33,5212565.45,88165,14
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,560,557,557,560,3,488920,875,3
Аутомакедонија Скопје,44.48 EUR,1900,1900,1900,1900,1,32300,17,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,1000,1000,1000,1000,28,3014000,3014,9
Европа Скопје,51.13 EUR,3276,3276,3276,3276,1,117936,36,1
Герас Цунев конфекција Струмица,15.00 EUR,500,500,500,500,2,547000,1094,1
Герас Цунев трговија Струмица,15.00 EUR,500,500,500,500,2,577500,1155,1
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1551,1505,1551,1505,3,192975,127,2
Карпош Скопје,17.04 EUR,290,290,290,290,1,73080,252,1
Карбо-Нова,51.13 EUR,26,26,26,26,4,69888,2688,2
Пелистерка АД Скопје,51.00 EUR,2400,2400,2400,2400,1,115200,48,1
Мермерен комбинат Прилеп,1.00 EUR,2200,2000,2000,2200,14,654600,327,7
МЗТ Пумпи Скопје,51.00 EUR,607,590,590,607,24,921492,1532,5
Нова стоковна куќа Струмица,1000.00 EUR,61500,61500,61500,61500,1,492000,8,1
Оилко КДА Скопје,6000.00 MKD,6000,6000,6000,6000,2,48000,8,1
ОКТА Скопје,51.12 EUR,4949,4257,4320,4940,44,6619216,1509,13
"Пекабеско АД Кадино, Илинден",46.00 EUR,14000,14000,14000,14000,1,28000,2,1
Прилепска Пиварница Прилеп,125.00 EUR,46500,44500,44500,46500,15,7655950,167,9
Раде Кончар Скопје,25.00 EUR,,,,1700,1,0,0,1
РЖ Економика Скопје,10.00 DEM,30,30,30,30,1,37080,1236,1
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,20,20,20,20,3,38900,1945,1
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,65,59,59,65,5,126482,2018,3
РЖ Техничка контрола Скопје,5.11 EUR,526,526,526,526,3,19462,37,2
РЖ Уготур Скопје,1.05 EUR,10,10,10,10,2,510,51,1
Славеј Скопје,50.00 EUR,3600,3600,3600,3600,1,36000,10,1
Стопанска банка Скопје,201.10 MKD,1160,1070,1070,1150,89,11120433,9927,17
Македонски Телеком Скопје,100.00 MKD,290,280,281,290,40,3052200,10680,12
НЛБ Банка АД Скопје,1000.00 MKD,14400,13999,14000,14350,80,24697087,1757,18
Универзална Инвестициона Банка Скопје,1000.00 MKD,2480,2260,2480,2366,71,11960533,5151,16
Цементарница УСЈЕ Скопје,3100.00 MKD,23800,23000,23000,23800,4,1425200,61,3
Триглав осигурување Скопје,50.00 EUR,14640,14640,14640,14640,2,1229760,84,1
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,1330,1050,1051,1263,36,3217875,2716,11
Вкупно Официјален пазар,,,,,,1826,351531445.21,277513,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Аитоникс АД Скопје,10.00 EUR,300000,300000,300000,300000,3,900000,3,3
Фимар Балкан АД Скопје,100.00 EUR,,,,,1,0,0,1
ФК Тетекс АД Тетово,3100.00 MKD,18,18,18,18,1,18,1,1
Град. институт Македонија Скопје,51.12 EUR,7110,7110,7110,7110,1,284400,40,1
Илинден Струга,25.00 EUR,1550,1550,1550,1550,2,10850,7,1
ФК Македонија Ѓорче Петров - 1932 АД Скопје,100.00 EUR,6150,6150,6150,6150,1,381300,62,1
Солун 2001 Гевгелија,5.00 EUR,170,170,170,170,8,710940,4182,1
Вкупно Редовен пазар,,,,,,17,2287508,4295,
Вкупно сите пазари ,,,,,,1843,353818953.21,281808,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,5150,,5665000,1100,
Комерцијална банка Скопје,,,,,5160,,7740000,1500,
Комерцијална банка Скопје,,,,,5160,,7791600,1510,
Комерцијална банка Скопје,,,,,5150,,5824650,1131,
Комерцијална банка Скопје,,,,,5180,,5180000,1000,
Комерцијална банка Скопје,,,,,5180,,5180000,1000,
Комерцијална банка Скопје,,,,,5180,,5180000,1000,
Комерцијална банка Скопје,,,,,5180,,5180000,1000,
Берзанска котација - обични акции,,,,,,,,,
Макошпед Скопје,,,,,189,,7301070,38630,
Макошпед Скопје,,,,,180,,6840000,38000,
Макпетрол Скопје,,,,,46941,,1032702,22,
Задолжителна котација - обични акции,,,,,,,,,
Раде Кончар Скопје,,,,,1339,,27286142,20378,
НЛБ Банка АД Скопје,,,,,13950,,5301000,380,
НЛБ Банка АД Скопје,,,,,14810,,29620000,2000,
НЛБ Банка АД Скопје,,,,,14000,,3500000,250,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Фимар Балкан АД Скопје,,,,,7200,,1080000,150,
