МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.11.2018 ДО 30.11.2018 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
СН Осигурителен брокер АД Битола,50.00 EUR,,,,,1,0,0,1
Вкупно Редовен пазар,,,,,,19,16498259,15658,
Вкупно сите пазари ,,,,,,1804,327722887.5,297639,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,5350,,2675000,500,
Комерцијална банка Скопје,,,,,5050,,1010000,200,
Комерцијална банка Скопје,,,,,5000,,1810000,362,
Комерцијална банка Скопје,,,,,5000,,1790000,358,
Комерцијална банка Скопје,,,,,5150,,1055750,205,
Комерцијална банка Скопје,,,,,5121,,1536300,300,
Берзанска котација - обични акции,,,,,,,,,
Скопски Пазар Скопје,,,,,16314,,6329832,388,
ТТК Банка АД Скопје,,,,,1270,,6604000,5200,
ЗК Пелагонија Битола,,,,,2800,,3883600,1387,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
СН Осигурителен брокер АД Битола,,,,,6966,,1783296,256,
