МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.06.2018 ДО 29.06.2018 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,5500,4401,4401,5250,767,231616392,46181,20
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,8400,8000,8039,8200,272,163573013,20115,20
Бетон Скопје,255.65 EUR,10000,8549,8549,9678,27,1637600,172,10
Фершпед Скопје,37400.00 MKD,61000,56500,56500,61000,16,2804450,48,7
Гранит Скопје,5.00 EUR,873,750,750,830,337,55846399,68259,20
Макошпед Скопје,1000.00 MKD,210,200,200,210,6,93500,465,4
Хотели Метропол Охрид,5.00 EUR,295,280,284,280,15,720590,2510,7
Макпетрол Скопје,511.29 EUR,47982,32000,32000,42000,127,19271254,492,20
Македонијатурист Скопје,25.56 EUR,4800,4251,4251,4800,27,6974410,1520,8
Охридска банка АД Скопје,2650.00 MKD,6549,6205,6205,6250,79,12995850,2036,16
Реплек Скопје,562.42 EUR,65000,62700,62700,64890,19,3156940,50,8
РЖ Институт Скопје,5.11 EUR,122,120,122,120,2,55006,451,2
РЖ Интер-Трансшпед Скопје,5.11 EUR,28,20,20,28,2,23220,839,2
РЖ Услуги Скопје,5.11 EUR,154,129,129,142,57,3183530,22837,14
Стопанска банка Битола,3000.00 MKD,2100,2000,2000,2000,12,1128750,551,8
Скопски Пазар Скопје,51.13 EUR,,,,16818,1,0,0,1
Макстил Скопје,5.11 EUR,164,132,135,137,115,6916985,46650,17
Технометал Вардар Скопје,51.13 EUR,100,100,100,100,1,7500,75,1
Тетекс Тетово,50.40 EUR,2400,2000,2000,2328,30,8093808,3568,11
Винарска визба Тиквеш Скопје,51.13 EUR,4503,4150,4200,4502,26,3418682,789,9
Топлификација Скопје,51.13 EUR,1450,876,1365,915,95,5906552,5003,16
ТТК Банка АД Скопје,1000.00 MKD,1056,870,880,1016,205,38515808,41187,20
Витаминка Прилеп,52.78 EUR,8503,8503,8503,8503,1,17006,2,1
Жито Лукс Скопје,35.79 EUR,281,237,256,281,15,480250,1946,6
ЗК Пелагонија Битола,70.21 EUR,2858,2857,2858,2857,16,1494555,523,6
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 08,1.00 EUR,96.5,96.5,96.5,96.5,1,17746.29,299,1
Р. Македонија - денационализација 09,1.00 EUR,97,95.6,95.6,97,3,18305.1,311,2
Р. Македонија - денационализација 10,1.00 EUR,95.3,95.3,95.3,95.3,1,19635.71,335,1
Р. Македонија - денационализација 13,1.00 EUR,97.2,97.2,97.2,97.2,1,264735.24,4429,1
Р. Македонија - денационализација 14,1.00 EUR,96,95,95.6,95,8,1321548.15,22483,4
Р. Македонија - денационализација 15,1.00 EUR,95,94.5,95,94.5,7,652890.31,11175,3
Р. Македонија - денационализација 16,1.00 EUR,96,94.6,94.6,96,22,3950093.53,67194,7
Р. Македонија - денационализација 17,1.00 EUR,96,94.8,94.8,95.9,144,60170320.03,1022573,7
Задолжителна котација - обични акции,,,,,,,,,
Аутомакедонија Скопје,44.48 EUR,1700,1700,1700,1700,3,321300,189,2
Рудници Бањани Скопје,50.00 DEM,603,603,603,603,1,88641,147,1
Бетон Штип,25.00 EUR,1886,1886,1886,1886,9,15708494,8329,2
ФЗЦ 11 Октомври Куманово,51.13 EUR,899,860,860,880,7,433520,495,5
Европа Скопје,51.13 EUR,2911,2911,2911,2911,1,14555,5,1
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1545,1500,1500,1545,2,364305,239,2
Карпош Скопје,17.04 EUR,364,300,364,300,2,59868,165,2
Карбо-Нова,51.13 EUR,26,26,26,26,1,214942,8267,1
АДУТ Македонија Битола,51.13 EUR,1000,1000,1000,1000,1,17000,17,1
Мермерен комбинат Прилеп,1.00 EUR,,,,886,2,0,0,1
Нова стоковна куќа Струмица,1000.00 EUR,,,,61500,1,0,0,1
ОКТА Скопје,51.12 EUR,5150,3850,3860,4526,42,4132312,970,13
"Пекабеско АД Кадино, Илинден",46.00 EUR,14300,13484,13901,13484,4,277114,20,3
Попова Кула Демир Капија,61.50 MKD,15,14,14,15,5,96974,6641,4
Прилепска Пиварница Прилеп,125.00 EUR,47000,44000,46850,44000,42,18640400,409,6
Раде Кончар Скопје,25.00 EUR,1700,1699,1699,1700,4,367140,216,3
РЖ Економика Скопје,10.00 DEM,30,30,30,30,2,5940,198,2
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,37,20,20,37,14,313150,9060,6
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,83,48,48,63,44,1550507,22896,16
РЖ Техничка контрола Скопје,5.11 EUR,463,405,405,463,2,9895,23,2
Славеј Скопје,50.00 EUR,3600,3600,3600,3600,2,284400,79,1
Стопанска банка Скопје,201.10 MKD,1074,949,1074,1000,240,38351228,37322,20
Технокомерц Скопје,51.13 EUR,1000,1000,1000,1000,1,86000,86,1
Македонски Телеком Скопје,100.00 MKD,280,269,269,275,49,4641896,16918,18
