МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.09.2021 ДО 30.09.2021 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Комерцијална банка Скопје,,,,,10090,,3027000,300,
Комерцијална банка Скопје,,,,,10300,,2060000,200,
Комерцијална банка Скопје,,,,,10250,,2050000,200,
Комерцијална банка Скопје,,,,,9630,,2600100,270,
Комерцијална банка Скопје,,,,,9630,,2311200,240,
Комерцијална банка Скопје,,,,,9600,,9600000,1000,
Комерцијална банка Скопје,,,,,10970,,10970000,1000,
Комерцијална банка Скопје,,,,,10500,,5250000,500,
Комерцијална банка Скопје,,,,,10350,,3829500,370,
Берзанска котација - обични акции,,,,,,,,,
Фершпед Скопје,,,,,61700,,7404000,120,
Макпетрол Скопје,,,,,74998,,3074918,41,
Витаминка Прилеп,,,,,13500,,6007500,445,
Задолжителна котација - обични акции,,,,,,,,,
НЛБ Банка АД Скопје,,,,,27290,,9960850,365,
Универзална Инвестициона Банка Скопје,,,,,2900,,2320000,800,
