МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.07.2005 ДО 31.07.2005 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
OFICIJALEN PAZAR,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Ading Skopje,"51,13 EMU",3550,3550,3550,3550,2,575100,162,1
  Alkaloid Skopje,"25,56 EMU",4101,3800,4089,4100,172,26244022,6554,16
  Automakedonija Skopje,"44,48 EMU",600,600,600,600,2,159000,265,2
  Beton Skopje,500 DEM,2402,2399,2402,2400,36,895337,373,14
  Granit Skopje,5 EMU,305,280,300,290,197,109822482,363775,16
  Evropa Skopje,100 DEM,1250,1200,1200,1200,8,893600,743,3
  EMO Ohrid,"30,68 EMU",416,400,416,400,7,92845,226,4
  @ito Luks Skopje,35 EMU,201,201,201,201,1,35577,177,1
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",403,391,391,403,5,93778,238,3
  Investbanka Skopje,2670 DEN,2900,2745,2900,2745,5,185310,67,4
  Interne{enal Hotels AD Skopje,1 EMU,600,600,600,600,1,1500000,2500,1
  KIB Kumanovo,"2741,56 DEN",1107,1107,1107,1107,1,435051,393,1
  Komercijalna banka Skopje,1000 DEN,2248,2198,2200,2198,148,66389152,30178,16
  Komuna Skopje,50 DEM,206,170,170,205,6,160168,814,5
  Makpetrol Skopje,"511,29 EMU",18500,15400,15500,17200,65,9817726,572,14
  Makedonija Turist Skopje,"25,56 EMU",2201,2121,2190,2200,30,4935402,2256,11
  Ohridska banka Ohrid,2650 DEN,3700,3300,3300,3700,9,1547263,444,6
  Replek Skopje,"562,42 EMU",10500,10500,10500,10500,1,210000,20,1
  R@ Uslugi Skopje,"5,11 EMU",30,30,30,30,60,352560,11752,15
  Stopanska banka Bitola,3000 DEN,5100,4600,4600,5000,26,9241300,1860,11
  Sileksbanka Skopje,"43,46 EMU",297,270,270,297,3,589977,1990,2
  Skopski Pazar Skopje,"51,13 EMU",4600,4502,4600,4505,5,627100,139,3
  Tetovska banka Tetovo,3000 DEN,1200,1200,1200,1200,1,55200,46,1
  Teteks Tetovo,100 DEM,310,310,310,310,22,1377020,4442,2
  Tehnometal Vardar Skopje,"51,13 EMU",850,850,850,850,4,36550,43,4
  Toplifikacija Skopje,100 DEM,2850,2650,2721,2850,47,8569256,3058,12
Oficijalen pazar - prioritetni akcii,,,,,,,,,
  Komercijalna banka Skopje,1000 DEN,2200,2104,2105,2152,24,1040178,481,11
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,75.1,74.5,74.6,74.5,280,31034159,677068,16
  R.Makedonija - denacionalizacija 02,1 EUR,68.2,67.5,68.2,68,17,8128022,196125,8
  R.Makedonija - denacionalizacija 03,1 EMU,67,65,67,65.3,52,11657021,285930,16
  R.Makedonija - denacionalizacija 04,1 EMU,64,62.9,63.1,63.5,406,61077089,1579790,16
Vkupno OFICIJALEN PAZAR,,,,,,1643,357777246,3172481,
NEOFICIJALEN PAZAR,,,,,,,,,
Pazar na javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
  Alkaloid Berovo,"255,6 EMU",3680,3680,3680,3680,2,55200,15,1
  Rudnici Bawani Skopje,50 DEM,500,500,500,500,4,227000,454,3
  @AS Skopje,"37,48 EMU",150,150,150,150,3,33300,222,3
  @ito Polog Tetovo,"51,13 EMU",1600,1600,1600,1600,1,209600,131,1
  Fruktal MAK Skopje,"5,11 EMU",310,310,310,310,1,6200,20,1
  Konzervna fabrika Strumica,5 EMU,80,80,80,80,2,2151200,26890,2
  ADUT Makedonija Bitola,100 DEM,1000,1000,1000,1000,41,700000,700,8
  ADG Pelagonija Skopje,500 DEM,300,300,300,300,5,13500,45,3
  Rade Kon~ar Skopje,25 EMU,302,201,201,302,6,166435,746,5
  Mittal Steel Skopje (HRM) Skopje,"5,11 EMU",31,31,31,31,1,3658,118,1
  Sovremen dom Prilep,10 DEM,582,582,582,582,2,17692800,30400,1
  Strumica Tabak Strumica,"51,13 EMU",3170,3170,3170,3170,8,1321890,417,1
  Transkop-Patni~ki soob. Bitola,"51,13 EMU",620,620,620,620,1,24800,40,1
  Trgotekstil maloproda`ba Skopje,"5,11 EMU",61,61,61,61,1,13054,214,1
  Crvena Yvezda Peh~evo,267 DEM,2636,2636,2636,2636,1,73808,28,1
Pazar na javno poseduvani dru{tva - prioritetni akcii,,,,,,,,,
  Stopanska banka Skopje,400 DEN,151,150,151,150,52,703192,4684,10
Sloboden pazar - obi~ni akcii,,,,,,,,,
  6-ti Noemvri Valandovo,100 DEM,3100,3100,3100,3100,1,1023000,330,1
  Angropromet-Tikve{anka Kavadarci,100 DEM,1000,1000,1000,1000,3,1083000,1083,1
  Univerzalna Investiciona Banka Skopje,1000 DEN,500,500,500,500,1,20000,40,1
  Brod~anka Makedonski Brod,10 DEM,64,64,64,64,1,704000,11000,1
  Vardar Gradsko,"5,11 EMU",136,136,136,136,3,4227016,31081,2
  DZSPP Goce Del~ev s.Trubarevo,"51,13 EMU",3000,3000,3000,3000,2,4374000,1458,1
  MZT Energetika Skopje,100 DEM,310,310,310,310,1,97030,313,1
  ZK Ki~evo Ki~evo,100 DEM,1500,1500,1500,1500,2,294000,196,2
  Inteks Skopje,51 EMU,1503,1503,1503,1503,5,4337658,2886,2
  Ishrana Skopje,"51,13 EMU",1100,1100,1100,1100,1,1141800,1038,1
  Ogra`den Strumica,100 DEM,920,920,920,920,1,93840,102,1
  ZTD Sto~arstvo Bogdanci,100 DEM,3100,3100,3100,3100,2,390600,126,1
  Stobi Veles,100 DEM,1530,1530,1530,1530,1,76500,50,1
  Tabak osigur. i reosigur. Skopje,500 EMU,30650,30650,30650,30650,1,6712350,219,1
Vkupno NEOFICIJALEN PAZAR,,,,,,156,47970431,115046,
Vkupno site pazari,,,,,,1799,405747677,,
BLOKOVI,,,,,,,,,
Oficijalen pazar,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
Makpetrol Skopje,,,,,15000,,48765000,3251,
Evropa Skopje,,,,,1330,,5039370,3789,
Komercijalna banka Skopje,,,,,2200,,22000000,10000,
Neoficijalen pazar,,,,,,,,,
Sloboden pazar - obi~ni akcii,,,,,,,,,
Tabak osigur. i reosigur. Skopje,,,,,30650,,6712350,219,
Tabak osigur. i reosigur. Skopje,,,,,31367,,5363757,171,
