МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.03.2013 ДО 29.03.2013 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,2690,2350,2690,2371,106,18233480,7467,19
Топлификација Скопје,51.13 EUR,1600,1215,1543,1230,38,1368072,999,15
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,4600,4400,4511,4450,141,21697921,4772,19
Бетон Скопје,255.65 EUR,3886,3799,3886,3799,4,251057,66,3
ЕМО Охрид,30.68 EUR,60,46,60,53,6,44036,818,4
Фершпед Скопје,37400.00 MKD,43500,42700,43000,42700,8,513802,12,4
Гранит Скопје,5.00 EUR,455,405,405,410,56,2750277,6363,16
Дуропацк АД Скопје,25.56 EUR,450,450,450,450,6,282150,627,2
Макошпед Скопје,1000.00 MKD,131,130,131,130,7,147040,1130,6
Хотели Метропол Охрид,5.00 EUR,155,151,151,155,3,87160,576,2
Макпетрол Скопје,511.29 EUR,14000,12500,13800,12500,71,3039387,226,17
Македонијатурист Скопје,25.56 EUR,3401,3298,3400,3400,27,3098370,913,12
Охридска банка Охрид,2650.00 MKD,1150,1000,1150,1000,13,620456,572,5
ОХИС Скопје,51.12 EUR,70,65,70,65,9,181770,2679,3
Реплек Скопје,562.42 EUR,46500,44500,44500,46500,8,1671840,37,3
РЖ Институт Скопје,5.11 EUR,350,340,350,340,3,650500,1913,3
РЖ Интер-Трансшпед Скопје,5.11 EUR,25,25,25,25,3,24800,992,3
РЖ Услуги Скопје,5.11 EUR,123,115,120,118,13,493924,4138,8
Стопанска банка Битола,3000.00 MKD,1850,1570,1570,1750,58,5742420,3327,15
Скопски Пазар Скопје,51.13 EUR,3851,3704,3705,3851,5,265426,70,3
Макстил Скопје,5.11 EUR,100,88,97,90,67,2227929,23706,17
Тетекс Тетово,50.40 EUR,350,339,339,350,8,329650,945,5
Винарска визба Тиквеш Скопје,51.13 EUR,1900,1900,1900,1900,3,55100,29,2
ТТК Банка АД Скопје,1000.00 MKD,800,700,700,710,39,5508195,7743,11
Витаминка Прилеп,52.36 EUR,4662,4501,4501,4599,5,252987,55,5
ЗК Пелагонија Битола,70.21 EUR,2450,2331,2350,2450,7,2834447,1170,4
Берзанска котација - обврзници,,,,,,,,,
Р.Македонија - денационализација 02,1.00 EUR,98.5,98.5,98.5,98.5,1,364445.47,6000,1
Р.Македонија - денационализација 03,1.00 EUR,96.2,96.2,96.2,96.2,1,4327.99,73,1
Р.Македонија - денационализација 04,1.00 EUR,96.6,94.1,94.1,96,20,20906444.88,351263,4
Р.Македонија - денационализација 05,1.00 EUR,95,95,95,95,1,585687.35,10000,1
Р. Македонија - денационализација 06,1.00 EUR,93,93,93,93,4,99379.35,1735,1
Р.Македонија - денационализација 07,1.00 EUR,92,90.5,91.9,90.5,3,86439.36,1532,2
Р. Македонија - денационализација 08,1.00 EUR,90.5,90.5,90.5,90.5,3,198238.84,3552,3
Р. Македонија - денационализација 09,1.00 EUR,90.9,87.5,89.5,89,17,9452174.42,168794,5
Р. Македонија - денационализација 10,1.00 EUR,88.5,88.5,88.5,88.5,7,2435724.25,44633,4
Р. Македонија - денационализација 11,1.00 EUR,89,88,88.7,89,58,10399941.5,190022,17
Вкупно Официјален пазар,,,,,,829,116904999.41,848949,
Редовен пазар,,,,,,,,,
Пазар на акционерски друштва со посебни обврски за известување - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,263,256,256,263,3,155700,600,2
Ангропромет-Тиквешанка Кавадарци,50.00 EUR,750,750,750,750,13,222000,296,3
Аутомакедонија Скопје,44.48 EUR,1200,1164,1200,1164,2,973740,835,2
Рудници Бањани Скопје,50.00 DEM,600,600,600,600,3,190800,318,2
Благој Ѓорев Велес,25.56 EUR,358,358,358,358,1,3580,10,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,450,439,439,445,13,564001,1272,5
Единство Тетово,5.11 EUR,145,145,145,145,103,3491455,24079,20
Грозд Струмица,50.00 EUR,950,950,950,950,4,71250,75,1
КЈУБИ Македонија Скопје,51.13 EUR,1920,1843,1871,1850,16,4834129,2611,7
Карпош Скопје,17.04 EUR,162,162,162,162,1,48600,300,1
Лотарија на Македонија Скопје,51.03 EUR,390,390,390,390,1,75270,193,1
АДУТ Македонија Битола,51.13 EUR,,,,1000,1,0,0,1
Макпромет Штип,51.13 EUR,570,570,570,570,1,51870,91,1
ОКТА Скопје,51.12 EUR,834,809,813,809,13,274120,334,7
Трикотажа Пелистер Битола,35.00 EUR,160,160,160,160,2,28160,176,1
Попова Кула Демир Капија,61.50 MKD,16,16,16,16,2,9600,600,2
Прилепска Пиварница Прилеп,125.00 EUR,8200,8200,8200,8200,4,123000,15,2
Раде Кончар Скопје,25.00 EUR,1501,1500,1500,1501,17,2634145,1756,11
РЖ Економика Скопје,10.00 DEM,35,35,35,35,2,1050,30,2
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,57,52,52,56,6,103596,1848,3
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,52,52,52,52,2,17680,340,2
Славеј Скопје,50.00 EUR,3000,3000,3000,3000,3,1053000,351,1
Стопанска банка Скопје,201.10 MKD,157,129,130,135,44,1326000,9354,10
Тајмиште Кичево,100.00 DEM,2160,1550,1550,1981,9,1069743,589,4
Македонски Телеком Скопје,100.00 MKD,560,539,540,549,120,13604998,24943,21
Тутунска банка Скопје,1000.00 MKD,2250,1900,1900,2250,16,1092192,528,8
Универзална Инвестициона Банка Скопје,1000.00 MKD,950,800,800,947,9,476425,530,5
Пазар на акционерски друштва со посебни обврски за известување - приор. акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,260,256,256,260,7,112804,434,3
Слободен пазар - обични акции,,,,,,,,,
Еуромак брокер АД Скопје,1000.00 EUR,10250,10250,10250,10250,3,1096750,107,1
ФАВОРИТ ВМ АД Штип,5.11 EUR,315,155,315,315,3,7230,26,3
КИЦ КОМЕРЦ АД Штип,5.11 EUR,315,155,315,315,3,6760,24,3
КОМПАНИ БОЕМ АД Штип,5.11 EUR,315,155,315,315,3,6760,24,3
КВАТРО КОМПАНИ АД Штип,5.11 EUR,315,155,315,315,3,6915,25,3
Лајон Инс АД Скопје,10.00 EUR,615,615,615,615,1,461250,750,1
Лихнида Охрид,10.22 EUR,615,615,615,615,1,51660,84,1
Македонска Берза,607.10 EUR,66000,66000,66000,66000,1,66000,1,1
Млекара Тетово,5.00 EUR,247,247,247,247,2,392730,1590,1
МЗТ заеднички работи АД Скопје,50.00 EUR,800,800,800,800,1,7200,9,1
Окитекс Скопје,51.13 EUR,1500,1500,1500,1500,1,27000,18,1
Рудник Демир Хисар с. Сопотница,5.00 EUR,125,125,125,125,2,3973875,31791,1
Стоби Велес,100.00 DEM,300,300,300,300,2,12000,40,1
Трготекстил заед. служ. Скопје,100.00 DEM,377,377,377,377,1,50895,135,1
