МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.04.2013 ДО 30.04.2013 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,2401,2200,2370,2200,139,19619978,8475,21
Топлификација Скопје,51.13 EUR,1550,1103,1151,1520,95,5430834,3931,20
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,4650,4223,4479,4300,120,14441035,3214,21
Бетон Скопје,255.65 EUR,4380,3800,3800,4300,22,1692390,401,12
Фершпед Скопје,37400.00 MKD,44000,42000,43002,43000,12,1514016,35,8
Гранит Скопје,5.00 EUR,470,404,404,430,93,6493290,14363,19
Дуропацк АД Скопје,25.56 EUR,495,449,449,495,19,2300692,4650,10
Макошпед Скопје,1000.00 MKD,130,130,130,130,1,8970,69,1
Макпетрол Скопје,511.29 EUR,14000,12500,12700,13800,109,7686244,575,20
Македонијатурист Скопје,25.56 EUR,3490,3199,3400,3200,28,3679116,1085,12
Охридска банка Охрид,2650.00 MKD,1134,1134,1134,1134,3,62370,55,2
ОХИС Скопје,51.12 EUR,64,64,64,64,2,18688,292,1
Реплек Скопје,562.42 EUR,45500,44500,44650,44500,44,11826037,265,9
РЖ Институт Скопје,5.11 EUR,450,450,450,450,1,31500,70,1
РЖ Услуги Скопје,5.11 EUR,131,121,121,130,13,212187,1674,8
Стопанска банка Битола,3000.00 MKD,1698,1501,1698,1520,16,549057,345,9
Скопски Пазар Скопје,51.13 EUR,3880,3771,3771,3850,6,449434,116,5
Макстил Скопје,5.11 EUR,108,90,90,97,83,3288249,32244,19
Технометал Вардар Скопје,51.13 EUR,635,632,635,632,4,100683,159,2
Тетекс Тетово,50.40 EUR,387,350,375,350,7,281700,750,4
ТТК Банка АД Скопје,1000.00 MKD,767,715,715,745,21,1829122,2434,9
Витаминка Прилеп,52.36 EUR,4999,4999,4999,4999,6,154969,31,3
Жито Лукс Скопје,35.79 EUR,121,121,121,121,1,13189,109,1
ЗК Пелагонија Битола,70.21 EUR,2450,2450,2450,2450,14,3677450,1501,8
Берзанска котација - обврзници,,,,,,,,,
Р.Македонија - денационализација 03,1.00 EUR,96.2,96.2,96.2,96.2,1,2964.52,50,1
Р.Македонија - денационализација 04,1.00 EUR,96,94,96,94,3,186541.28,3191,3
Р.Македонија - денационализација 05,1.00 EUR,96.7,95.5,96.7,95.5,2,306216.73,5200,2
Р. Македонија - денационализација 06,1.00 EUR,94.2,92,92,94.1,10,497634.72,8628,6
Р.Македонија - денационализација 07,1.00 EUR,91.7,91,91,91.7,2,304944.37,5398,2
Р. Македонија - денационализација 08,1.00 EUR,98,98,98,98,1,3020.45,50,1
Р. Македонија - денационализација 09,1.00 EUR,90.9,88,89,90.9,14,2692195.79,48802,5
Р. Македонија - денационализација 10,1.00 EUR,90.5,88.5,88.5,90.5,14,1119814.59,20247,7
Р. Македонија - денационализација 11,1.00 EUR,91,88.5,89,90,49,8144239.62,147554,15
Вкупно Официјален пазар,,,,,,955,98618772.07,315963,
Редовен пазар,,,,,,,,,
Пазар на акционерски друштва со посебни обврски за известување - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,256,256,256,256,3,256000,1000,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,608,504,608,504,3,71680,135,2
Единство Тетово,5.11 EUR,145,145,145,145,33,7070490,48762,15
Фустеларко Борец Битола,33.24 EUR,1500,800,800,1200,17,2123300,1799,3
Лотарија на Македонија Скопје,51.03 EUR,390,390,390,390,1,7020,18,1
АДУТ Македонија Битола,51.13 EUR,,,,1000,1,0,0,1
Макпромет Штип,51.13 EUR,570,570,570,570,3,144210,253,3
ОКТА Скопје,51.12 EUR,935,870,903,870,9,379010,413,6
Попова Кула Демир Капија,61.50 MKD,17,17,17,17,3,27200,1600,2
Прилепска Пиварница Прилеп,125.00 EUR,8012,8000,8001,8000,5,376100,47,3
Раде Кончар Скопје,25.00 EUR,1501,1500,1500,1501,17,3512303,2341,4
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,61,58,60,58,5,82292,1378,3
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,61,55,55,61,3,53688,888,2
РЖ Уготур Скопје,5.11 EUR,5,5,5,5,1,170,34,1
Стопанска банка Скопје,201.10 MKD,190,131,131,172,50,1915088,11395,18
Тајмиште Кичево,100.00 DEM,1922,1922,1922,1922,1,5766,3,1
ТЕАЛ-Алумина Тетово,51.13 EUR,808,808,808,808,1,808000,1000,1
Македонски Телеком Скопје,100.00 MKD,549,491,545,503,98,10564251,20515,18
Тутунска банка Скопје,1000.00 MKD,2384,2150,2150,2361,23,1503320,662,11
Универзална Инвестициона Банка Скопје,1000.00 MKD,1250,948,948,1120,26,1405025,1262,8
Цементарница УСЈЕ Скопје,3100.00 MKD,17716,17716,17716,17716,2,88580,5,1
Пазар на акционерски друштва со посебни обврски за известување - приор. акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,261,261,261,261,1,13050,50,1
Слободен пазар - обични акции,,,,,,,,,
АТП Пролетер Крива Паланка,50.00 EUR,307,307,307,307,3,18420,60,1
Цар САмуил АД Банско Струмица,10.00 EUR,250,250,250,250,44,2177500,8710,1
ФАВОРИТ ВМ АД Штип,5.11 EUR,315,315,315,315,2,20160,64,1
Галеб Охрид,50.00 EUR,1250,1250,1250,1250,1,31250,25,1
Град. институт Македонија Скопје,51.12 EUR,15702,15702,15702,15702,2,2999082,191,1
Инекс Дрим Струга,100.00 DEM,180,180,180,180,3,3808260,21157,1
КИЦ КОМЕРЦ АД Штип,5.11 EUR,315,315,315,315,1,1575,5,1
КОМПАНИ БОЕМ АД Штип,5.11 EUR,315,315,315,315,2,19845,63,1
Квасара Битола,51.13 EUR,7910,7910,7910,7910,1,7910,1,1
КВАТРО КОМПАНИ АД Штип,5.11 EUR,315,315,315,315,2,19845,63,1
Малопродажба со угостит АД Струмица,5.00 EUR,6,6,6,6,1,524550,87425,1
Негорски бањи АД с.Негорци Гевгелија,10.00 EUR,155,155,155,155,3,2334300,15060,1
,15.00 EUR,307,307,307,307,1,267397,871,1
ЗТД Сточарство Богданци,3100.00 MKD,3100,3100,3100,3100,1,31000,10,1
Вин. визба Повардарие Неготино,1.00 EUR,,,,61,1,0,0,1
Жито Караорман Кичево,256.00 EUR,6050,6050,6050,6050,1,145200,24,1
Златара Рубин Скопје,51.13 EUR,6166,6166,6166,6166,1,123320,20,1
Слободен пазар - приоритетни акции,,,,,,,,,
"Цар Самуил АД Банско, Струмица",10.00 EUR,250,250,250,250,19,1280250,5121,1
Вкупно Редовен пазар,,,,,,395,44216407,232430,
Вкупно сите пазари ,,,,,,1350,142835179.07,548393,
БЛОКОВИ,,,,,,,,,
Редовен пазар,,,,,,,,,
Пазар на акционерски друштва со посебни обврски за известување - обични акции,,,,,,,,,
АДУТ Македонија Битола,,,,,1000,,3987000,3987,
Раде Кончар Скопје,,,,,1500,,3004500,2003,
Универзална Инвестициона Банка Скопје,,,,,970,,6193450,6385,
Слободен пазар - обични акции,,,,,,,,,
Вин. визба Повардарие Неготино,,,,,1825,,5000500,2740,
