date,max,min,open,close
2006-01-01,21299,18004,18004,19000
2006-02-01,20800,19001,19001,20000
2006-03-01,20399,19940,20000,20200
2006-04-01,22000,20250,20400,21501
2006-05-01,22848,20400,21501,22300
2006-06-01,28839,22301,22500,28000
2006-07-01,31500,27000,27300,31500
2006-08-01,63000,32000,32000,63000
2006-09-01,63000,56500,62000,57000
2006-10-01,59500,57000,57501,58800
2006-11-01,59500,55000,58500,55400
2006-12-01,53800,48000,53800,48000
2007-01-01,58760,48000,49000,55000
2007-02-01,61800,54500,54500,60000
2007-03-01,85000,60360,60360,81000
2007-04-01,97000,81767,85000,96005
2007-05-01,132000,98000,98000,115696
2007-06-01,117000,104127,115696,110000
2007-07-01,142831,106002,110000,139000
2007-08-01,178000,140000,140000,172000
2007-09-01,173990,152000,173000,156500
2007-10-01,160000,139000,156000,139000
2007-11-01,150100,110169,135430,110169
2007-12-01,128846,110169,110169,125000
2008-01-01,126999,111000,123000,114000
2008-02-01,118000,104000,118000,113000
2008-03-01,113899,87587,110001,99000
2008-04-01,101999,79861,100000,85004
2008-05-01,90000,83001,86500,84000
2008-06-01,83004,57245,83004,64100
2008-07-01,88000,65506,65506,80000
2008-08-01,80500,72000,80000,74000
2008-09-01,75000,58000,74537,63700
2008-10-01,62800,42715,62255,44350
2008-11-01,44200,33906,44200,36033
2008-12-01,36800,30000,36200,32000
2009-01-01,34000,28008,28008,33300
2009-02-01,33001,27354,33000,28000
2009-03-01,30550,20134,28000,30550
2009-04-01,32000,26500,31001,28200
2009-05-01,39570,28100,28100,39570
2009-06-01,45216,38501,39570,38760
2009-07-01,39997,35369,39997,37510
2009-08-01,40000,37500,37705,38300
2009-09-01,44350,37605,38000,42000
2009-10-01,55499,41212,42400,46000
2009-11-01,46700,38101,46000,40000
2009-12-01,43400,36000,40000,37000
2010-01-01,37000,34950,36500,36000
2010-02-01,39000,35847,36000,35996
2010-03-01,35022,30000,35022,30800
2010-04-01,32101,30000,31000,30000
2010-05-01,30500,27533,30500,29001
2010-06-01,28601,25000,28601,28000
2010-07-01,28000,26180,27800,27200
2010-08-01,27900,25500,27800,26000
2010-09-01,26000,22273,26000,22273
2010-10-01,23498,21000,22273,21500
2010-11-01,24800,21511,21511,24500
2010-12-01,24500,23550,24500,23800
2011-01-01,35001,23701,23999,29906
2011-02-01,33000,27500,29906,28500
2011-03-01,28325,25500,28001,25500
2011-04-01,25750,23802,25500,24500
2011-05-01,28700,24000,25000,28100
2011-06-01,28000,26000,28000,26500
2011-07-01,26101,24600,26101,24750
2011-08-01,25000,21998,25000,23000
2011-09-01,23001,21000,23000,22000
2011-10-01,22300,20800,21600,22000
2011-11-01,21700,19000,21500,19600
2011-12-01,20200,18285,19998,18999
2012-01-01,15105,14000,14069,14500
2012-02-01,20500,17500,17700,20000
2012-03-01,20500,18200,20000,18950
2012-04-01,18950,18000,18950,18900
2012-05-01,18500,17101,18350,17500
2012-06-01,17500,15200,17402,15200
2012-07-01,15450,14000,15200,14000
2012-08-01,15105,14000,14069,14500
2012-09-01,14650,13624,14500,14000
2012-10-01,14000,12660,14000,13170
2012-11-01,13000,12000,13000,12001
2012-12-01,13170,12000,12000,12000
2013-01-01,15141,12000,12000,15000
2013-02-01,14801,13020,14800,13101
2013-03-01,14000,12500,13800,12500
2013-04-01,14000,12500,12700,13800
2013-05-01,19776,13899,13899,15448
2013-06-01,17300,14065,15001,17300
2013-07-01,17500,15000,17500,15000
2013-08-01,15400,14550,15200,14700
2013-09-01,18000,14700,14750,16460
2013-10-01,18500,16110,16110,16499
2013-11-01,17500,15550,16005,16480
2013-12-01,25282,15800,16999,25250
2014-01-01,25280,20500,25280,24500
2014-02-01,28745,22999,24500,28021
2014-03-01,27200,25000,27100,25010
2014-04-01,25684,24500,25015,25000
2014-05-01,25000,19000,25000,23000
2014-06-01,23000,18800,22600,19000
2014-07-01,22161,17461,18999,22000
2014-08-01,22000,20500,21340,22000
2014-09-01,22000,20500,22000,21000
2014-10-01,23987,21000,21000,22500
2014-11-01,24500,22310,22500,22360
2014-12-01,22700,21300,22700,22000
2015-01-01,22499,21500,22000,21999
2015-02-01,21700,19950,21700,20500
2015-03-01,21100,18900,21100,18900
2015-04-01,20000,17499,18600,19050
2015-05-01,19000,17500,19000,17650
2015-06-01,18501,17900,18000,18500
2015-07-01,19500,18000,18500,18510
2015-08-01,19999,18500,18515,19000
2015-09-01,19600,19000,19000,19505
2015-10-01,19700,17001,19505,18000
2015-11-01,18000,17000,18000,17000
