date,max,min,open,close
2006-01,21299,18004,18004,19000
2006-02,20800,19001,19001,20000
2006-03,20399,19940,20000,20200
2006-04,22000,20250,20400,21501
2006-05,22848,20400,21501,22300
2006-06,28839,22301,22500,28000
2006-07,31500,27000,27300,31500
2006-08,63000,32000,32000,63000
2006-09,63000,56500,62000,57000
2006-10,59500,57000,57501,58800
2006-11,59500,55000,58500,55400
2006-12,53800,48000,53800,48000
2007-01,58760,48000,49000,55000
2007-02,61800,54500,54500,60000
2007-03,85000,60360,60360,81000
2007-04,97000,81767,85000,96005
2007-05,132000,98000,98000,115696
2007-06,117000,104127,115696,110000
2007-07,142831,106002,110000,139000
2007-08,178000,140000,140000,172000
2007-09,173990,152000,173000,156500
2007-10,160000,139000,156000,139000
2007-11,150100,110169,135430,110169
2007-12,128846,110169,110169,125000
2008-01,126999,111000,123000,114000
2008-02,118000,104000,118000,113000
2008-03,113899,87587,110001,99000
2008-04,101999,79861,100000,85004
2008-05,90000,83001,86500,84000
2008-06,83004,57245,83004,64100
2008-07,88000,65506,65506,80000
2008-08,80500,72000,80000,74000
2008-09,75000,58000,74537,63700
2008-10,62800,42715,62255,44350
2008-11,44200,33906,44200,36033
2008-12,36800,30000,36200,32000
2009-01,34000,28008,28008,33300
2009-02,33001,27354,33000,28000
2009-03,30550,20134,28000,30550
2009-04,32000,26500,31001,28200
2009-05,39570,28100,28100,39570
2009-06,45216,38501,39570,38760
2009-07,39997,35369,39997,37510
2009-08,40000,37500,37705,38300
2009-09,44350,37605,38000,42000
2009-10,55499,41212,42400,46000
2009-11,46700,38101,46000,40000
2009-12,43400,36000,40000,37000
2010-01,37000,34950,36500,36000
2010-02,39000,35847,36000,35996
2010-03,35022,30000,35022,30800
2010-04,32101,30000,31000,30000
2010-05,30500,27533,30500,29001
2010-06,28601,25000,28601,28000
2010-07,28000,26180,27800,27200
2010-08,27900,25500,27800,26000
2010-09,26000,22273,26000,22273
2010-10,23498,21000,22273,21500
2010-11,24800,21511,21511,24500
2010-12,24500,23550,24500,23800
2011-01,35001,23701,23999,29906
2011-02,33000,27500,29906,28500
2011-03,28325,25500,28001,25500
2011-04,25750,23802,25500,24500
2011-05,28700,24000,25000,28100
2011-06,28000,26000,28000,26500
2011-07,26101,24600,26101,24750
2011-08,25000,21998,25000,23000
2011-09,23001,21000,23000,22000
2011-10,22300,20800,21600,22000
2011-11,21700,19000,21500,19600
2011-12,20200,18285,19998,18999
2012-01,15105,14000,14069,14500
2012-02,20500,17500,17700,20000
2012-03,20500,18200,20000,18950
2012-04,18950,18000,18950,18900
2012-05,18500,17101,18350,17500
2012-06,17500,15200,17402,15200
2012-07,15450,14000,15200,14000
2012-08,15105,14000,14069,14500
2012-09,14650,13624,14500,14000
2012-10,14000,12660,14000,13170
2012-11,13000,12000,13000,12001
2012-12,13170,12000,12000,12000
2013-01,15141,12000,12000,15000
2013-02,14801,13020,14800,13101
2013-03,14000,12500,13800,12500
2013-04,14000,12500,12700,13800
2013-05,19776,13899,13899,15448
2013-06,17300,14065,15001,17300
2013-07,17500,15000,17500,15000
2013-08,15400,14550,15200,14700
2013-09,18000,14700,14750,16460
2013-10,18500,16110,16110,16499
2013-11,17500,15550,16005,16480
2013-12,25282,15800,16999,25250
2014-01,25280,20500,25280,24500
2014-02,28745,22999,24500,28021
2014-03,27200,25000,27100,25010
2014-04,25684,24500,25015,25000
2014-05,25000,19000,25000,23000
2014-06,23000,18800,22600,19000
2014-07,22161,17461,18999,22000
2014-08,22000,20500,21340,22000
2014-09,22000,20500,22000,21000
2014-10,23987,21000,21000,22500
2014-11,24500,22310,22500,22360
2014-12,22700,21300,22700,22000
2015-01,22499,21500,22000,21999
2015-02,21700,19950,21700,20500
2015-03,21100,18900,21100,18900
2015-04,20000,17499,18600,19050
2015-05,19000,17500,19000,17650
2015-06,18501,17900,18000,18500
2015-07,19500,18000,18500,18510
2015-08,19999,18500,18515,19000
2015-09,19600,19000,19000,19505
2015-10,19700,17001,19505,18000
2015-11,18000,17000,18000,17000
2015-12,18799,16500,17250,18500
2016-01,18300,17500,18000,18000
2016-02,25717,23400,23400,25717
2016-03,17899,17000,17200,17100
2016-04,17960,16997,17002,17598
2016-05,17800,17300,17500,17400
2016-06,23000,17499,17599,19150
2016-07,24200,19520,19520,23500
2016-08,25717,23400,23400,25717
2016-09,26300,23502,25900,24700
2016-10,25999,24000,24001,25999
2016-11,30849,25000,26000,28200
2016-12,28799,25300,27997,26675
2017-01,28700,26190,26800,26626
2017-02,28216,26500,27200,26500
2017-03,28500,26700,27000,27000
2017-04,28000,26501,27002,27000
2017-05,27500,26500,27500,27500
2017-06,28500,27498,27498,28000
2017-07,31930,27160,28000,30000
2017-08,31201,29900,29900,30999
2017-09,31140,29400,31000,29400
2017-10,30000,27999,30000,28300
2017-11,28600,26150,28500,27950
2017-12,27500,27000,27112,27500
2018-01,30000,27500,27500,29800
2018-02,29800,29001,29799,29002
2018-03,30000,28500,29001,29000
2018-04,29000,28001,28999,29000
2018-05,31500,29000,29000,31500
2018-06,47982,32000,32000,42000
2018-07,45667,41100,43337,44999
2018-08,47042,44000,44500,47000
2018-09,48506,46000,46000,48506
2018-10,52399,43700,47555,47999
2018-11,51000,47000,48000,47500
2018-12,48000,46000,48000,47500
2019-01,50501,47900,47900,50400
2019-02,51700,50000,50000,50500
2019-03,52900,50600,51000,51500
2019-04,53000,50501,51500,52500
2019-05,65200,52005,52550,63000
2019-06,65000,61300,63001,62000
2019-07,63000,61400,61500,62000
2019-08,64000,61501,62400,63500
2019-09,73500,63000,63000,73000
2019-10,80400,68000,73000,72000
2019-11,78000,70200,71001,78000
2019-12,77999,75000,76490,77850
2020-01,82000,76501,77000,79000
2020-02,78999,71571,78999,73500
2020-03,78000,43258,74792,49557
2020-04,72501,46300,47431,70005
2020-05,72700,66500,72700,68000
2020-06,68000,63001,68000,65000
2020-07,66999,64001,64001,66000
2020-08,66000,61500,65999,62500
2020-09,70000,62500,62500,70000
2020-10,74499,66000,70000,69000
2020-11,70000,66000,69000,69500
2020-12,74000,67000,68500,73000
2021-01,74999,72000,73999,73500
2021-02,74500,71000,73500,71000
