date,max,min,start,close
2006/01,2600,2015,2051,2500
2006/02,2510,2403,2500,2500
2006/03,2550,2400,2498,2550
2006/04,2600,2500,2500,2550
2006/05,2550,2403,2550,2499
2006/06,2500,2400,2425,2500
2006/07,2537,2400,2500,2537
2006/08,3100,2520,2520,3000
2006/09,3002,2950,3002,2951
2006/10,2990,2700,2951,2837
2006/11,2900,2700,2900,2800
2006/12,2750,2706,2750,2749
2007/01,3200,2750,2750,3200
2007/02,4100,3150,3150,4000
2007/03,5490,4000,4000,5490
2007/04,7990,5100,5499,7200
2007/05,7799,6850,7300,7600
2007/06,7599,7350,7599,7500
2007/07,8600,7350,7500,8600
2007/08,10400,8670,8670,9600
2007/09,9999,9100,9749,9300
2007/10,9300,7999,9300,8000
2007/11,8200,7001,8003,7001
2007/12,8200,7600,7800,8200
2008/01,8001,7800,8000,7990
2008/02,8100,7900,7951,8000
2008/03,8000,7373,8000,7999
2008/04,7999,7200,7999,7250
2008/05,7299,7000,7260,7000
2008/06,7150,6380,7150,6449
2008/07,6600,5850,6400,5850
2008/08,5800,5501,5700,5501
2008/09,5501,5000,5501,5200
2008/10,5356,5000,5356,5020
2008/11,4800,4007,4750,4007
2008/12,3750,3500,3750,3500
2009/01,3500,3400,3500,3400
2009/02,3400,3400,3400,3400
2009/03,3200,2700,3200,2700
2009/04,3300,2700,3300,2700
2009/05,2900,2701,2799,2900
2009/06,3300,3000,3000,3000
2009/07,2810,2700,2751,2700
2009/08,2800,2750,2800,2800
2009/09,3000,2775,2799,2775
2009/10,3942,2775,2850,3259
2009/11,3300,3000,3300,3000
2009/12,3000,2800,3000,3000
2010/01,2900,2800,2800,2900
2010/02,3150,2900,2900,3011
2010/03,3250,3020,3021,3050
2010/04,3030,2801,3030,2801
2010/05,2900,2717,2801,2730
2010/06,2730,2600,2730,2650
2010/07,2650,2351,2650,2351
2010/08,2450,2400,2450,2402
2010/09,2411,2380,2411,2380
2010/10,2400,2380,2381,2380
2010/11,2401,2381,2381,2400
2010/12,2550,2400,2401,2530
2011/01,2960,2570,2570,2905
2011/02,3050,2850,3000,3050
2011/03,3051,2950,3000,3030
2011/04,3050,2800,3031,2800
2011/05,2900,2800,2810,2900
2011/06,2960,2800,2960,2800
2011/07,2970,2813,2880,2851
2011/08,2900,2700,2900,2700
2011/09,2600,2520,2600,2600
2011/10,2670,2550,2550,2670
2011/11,2602,2551,2600,2600
2011/12,2603,2550,2600,2550
2012/01,2801,2750,2750,2801
2012/02,2801,2600,2600,2801
2012/03,2900,2800,2800,2800
2012/04,2848,2800,2800,2800
2012/05,2895,2650,2820,2778
2012/06,2800,2750,2778,2760
2012/07,2799,2751,2780,2780
2012/08,2801,2750,2750,2801
2012/09,2899,2806,2806,2899
2012/10,2949,2860,2861,2900
2012/11,3100,2900,2900,3000
2012/12,3100,2953,3000,3051
2013/01,3244,3050,3051,3230
2013/02,3401,3206,3206,3400
2013/03,3401,3298,3400,3400
2013/04,3490,3199,3400,3200
2013/05,3200,3100,3104,3100
2013/06,3150,3100,3100,3100
2013/07,3100,3100,3100,3100
2013/08,3050,3000,3007,3050
2013/09,3100,2950,3100,2950
2013/10,2951,2900,2951,2931
2013/11,3030,2930,2931,3030
2013/12,3400,3031,3031,3400
2014/01,3450,3301,3450,3351
2014/02,3400,3361,3400,3400
2014/03,3450,3400,3400,3450
2014/04,3450,3250,3449,3250
2014/05,3250,3066,3250,3066
2014/06,3100,3060,3100,3060
2014/07,3200,3060,3060,3200
2014/08,3150,3080,3100,3150
2014/09,3300,3150,3150,3300
2014/10,3800,3300,3300,3800
2014/11,3800,3700,3800,3700
2014/12,3900,3700,3700,3900
2015/01,3800,3800,3800,3800
2015/02,3686,3600,3686,3600
2015/03,3900,3650,3708,3899
2015/04,3897,3500,3897,3500
2015/05,3500,3400,3495,3500
2015/06,3500,3150,3500,3300
2015/07,3450,3300,3300,3450
2015/08,3600,3450,3450,3600
2015/09,3750,3600,3600,3750
2015/10,3800,3700,3800,3701
2015/11,3748,3600,3701,3748
2015/12,3850,3600,3700,3850
2016/01,3850,3750,3850,3850
2016/02,3492,3350,3356,3453
2016/03,3700,3601,3700,3690
2016/04,3800,3608,3614,3700
2016/05,3386,3386,3386,3386
2016/06,3450,3350,3450,3360
2016/07,3450,3350,3399,3355
2016/08,3492,3350,3356,3453
2016/09,3492,3401,3492,3491
2016/10,3410,3385,3402,3390
2016/11,3914,3300,3300,3790
2016/12,3790,3677,3789,3700
2017/01,3900,3700,3701,3800
2017/02,3850,3601,3601,3850
2017/03,3799,3400,3799,3520
2017/04,3650,3500,3550,3600
2017/05,3700,3400,3650,3610
2017/06,3680,3600,3610,3680
2017/07,4449,3605,3610,4449
2017/08,4600,4400,4450,4500
2017/09,4899,4500,4500,4899
2017/10,4890,4656,4889,4656
2017/11,4500,4101,4500,4250
2017/12,4200,4000,4200,4100
2018/01,4377,4099,4101,4377
2018/02,4300,4170,4170,4300
2018/03,4425,4201,4201,4425
2018/04,4300,4195,4300,4220
2018/05,4500,4100,4371,4100
2018/06,4800,4251,4251,4800
2018/07,4799,4600,4624,4700
2018/08,4744,4600,4700,4701
