МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.10.2007 ДО 31.10.2007 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Super kotacija - obi~ni akcii,,,,,,,,,
  FHL Mermeren kombinat Prilep,1 EMU,600,500,500,600,7,293050,561,5
  Metalec Prilep,100 DEM,8305,6700,8305,7299,31,3698606,476,11
  MZT Pumpi Skopje,51 EMU,1000,1000,1000,1000,2,47000,47,2
  MZT Hepos Skopje,"51,13 EMU",9139,5800,6000,8400,114,9801528,1322,20
  Makedonska banka Skopje,4000 DEN,21800,19000,19000,21399,11,4680328,223,3
  Mlaz Bogdanci,35 EMU,1202,800,800,1073,29,3613916,3323,9
  Ohim Ges Gostivar,10 EMU,130,100,130,100,29,617666,5282,13
  OKTA Skopje,"51,12 EMU",19000,15200,18475,15200,41,5090248,279,11
  Oteks Ohrid,1941 DEN,320,320,320,320,2,20800,65,1
  ADG Pelagonija Skopje,500 DEM,2000,1700,1700,2000,16,834500,422,7
  Popova Kula Demir Kapija,"61,5 DEN",120,93,118,109,153,7530589,72237,18
  Prilepska Pivarnica Prilep,125 EMU,43000,39000,42500,39000,18,4528341,107,8
  Rade Kon~ar Skopje,250 EMU,36000,32001,32520,32511,13,761553,22,5
  Arcelormittal Skopje (CRM) Skopje,"5,11 EMU",1479,847,850,1135,466,93575718,83597,20
  Arcelormittal Skopje (HRM) Skopje,"5,11 EMU",1582,1001,1014,1231,579,139457118,104753,20
  R@ Tehni~ka kontrola Skopje,"5,11 EMU",871,811,812,820,72,575760,685,20
  R@ Ugotur Skopje,10 DEM,220,162,190,164,116,1124992,5747,19
  R@ Famord Skopje,5 EMU,242,200,200,210,38,1623214,7416,13
  Sileksbanka Skopje,"43,46 EMU",3350,2700,2800,3350,49,29316214,9685,14
  Skovin Skopje,310 DEN,1300,1000,1100,1100,20,1025240,892,10
  Stopanska banka Skopje,"201,10 DEN",1060,900,1029,900,192,19914502,20271,20
  Strumica Tabak Strumica,"51,13 EMU",10699,7000,7503,10498,537,110835607,12547,20
  Makedonski Telekomunikacii Skopje,100 DEN,770,650,731,650,283,23343904,32659,20
  Tutunska banka Skopje,1000 DEN,12200,11000,12200,11500,23,7598163,637,13
  Trgotekstil maloproda`ba Skopje,"5,11 EMU",178,150,160,150,18,519590,3183,10
  Univerzalna Investiciona Banka Skopje,1000 DEN,3200,2900,3051,2900,32,4405877,1434,11
  Cementarnica USJE Skopje,51 EMU,35000,35000,35000,35000,3,175000,5,2
  Fakom Skopje,"51,13 EMU",3500,3500,3500,3500,2,49000,14,2
  Fustelarko Borec Bitola,100 DEM,990,990,990,990,1,79200,80,1
  Fka za cev.11Oktomvr Kumanovo,100 DEM,5950,3999,4196,5282,1347,310050192,64456,20
  [IK Jelak Tetovo,100 DEM,780,722,722,761,6,336110,447,4
Pazar na javno poseduvani dru{tva - prioritetni akcii,,,,,,,,,
  Stopanska banka Skopje,400 DEN,1750,1500,1551,1500,50,3102325,1912,16
  Tutunska banka Skopje,1000 DEN,12000,12000,12000,12000,5,1308000,109,4
Sloboden pazar - obi~ni akcii,,,,,,,,,
  Pe~atnica 11 Oktomvri Prilep,50 EMU,1500,1500,1500,1500,1,90000,60,1
  7-mi Noemvri Gevgelija,"51,13 EMU",2460,2460,2460,2460,2,206640,84,1
  Algreta Resen,100 DEM,1700,1600,1600,1700,4,398300,242,4
  Blagoj \orev Veles,"25,56 EMU",1280,1280,1280,1280,2,135680,106,2
  Tekstil Elma Prilep,100 DEM,100,100,100,100,2,13300,133,1
  Vardar osiguruvawe Skopje,50 EMU,131000,130000,130000,130000,7,15240000,117,6
  Elmar [tip,10 DEM,31,31,31,31,2,40486,1306,1
  @ito Jug Kavadarci,100 DEM,1550,1550,1550,1550,3,162750,105,1
  Zlatara Rubin Skopje,"51,13 EMU",1500,1500,1500,1500,1,69000,46,1
  Ilirika Investments AD,50 EMU,4000,4000,4000,4000,1,52000,13,1
  Internacionalna Privatna Banka Skopje,500 EMU,18973,18973,18973,18973,1,491229943,25891,1
  Jugotutun Mo{a Pijade Negotino,100 DEM,3100,3100,3100,3100,1,58900,19,1
  Jugooprema Skopje,51 EMU,300,300,300,300,1,2100000,7000,1
  Kvasara Bitola,100 DEM,39100,29000,39100,29000,54,8700341,253,16
  Mlekara AD Bitola,10 DEM,24592,11623,11700,15293,12,2027978517,107559,4
  Makpetrol-Tema AD Skopje,10 DEM,200,200,200,200,7,334000,1670,1
  Ma{inopromet Skopje,50 DEM,500,500,500,500,2,50000,100,2
  Osiguritelna polisa Skopje,10 EMU,1845,1845,1845,1845,1,9686250,5250,1
  Ohridturist Ohrid,70 DEM,1565,1565,1565,1565,3,924915,591,1
  Pelagonija Strumica,"25,56 EMU",610,610,610,610,3,62220,102,1
  Pekabesko Skopje,46 EMU,15500,15000,15500,15000,2,105500,7,2
  R@ In`inering Skopje,10 DEM,500,500,500,500,6,3000,6,6
  R@ Troska Skopje,10 DEM,200,151,151,200,10,4795,28,9
  Brokerska ku}a Senzal Skopje,50 EMU,73900,73900,73900,73900,1,73900,1,1
  Solun 2001 Gevgelija,5 EMU,305,305,305,305,3,193370,634,2
  ZTD Sto~arstvo Bogdanci,100 DEM,3100,3100,3100,3100,1,195300,63,1
  Toplifikacija Odr`uvawe Skopje,60 DEM,131000,110000,110000,131000,10,1216000,10,6
  Tran{ped Makedonija Strumica,50 DEM,500,500,500,500,2,50000,100,2
  Crveni bregovi Negotino,100 DEM,3300,3200,3200,3300,3,447000,136,2
Vkupno Redoven pazar,,,,,,4868,3395383043,611316,
Vkupno site pazari,,,,,,11462,5071749594,,
BLOKOVI,,,,,,,,,
Oficijalen pazar,,,,,,,,,
Super kotacija - obi~ni akcii,,,,,,,,,
Investbanka Skopje,,,,,9800,,44100000,4500,
Investbanka Skopje,,,,,9800,,36260000,3700,
Komercijalna banka Skopje,,,,,7700,,121660000,15800,
Komercijalna banka Skopje,,,,,7700,,304150000,39500,
