МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.07.2006 ДО 31.07.2006 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Sloboden pazar - obi~ni akcii,,,,,,,,,
  Algreta Resen,100 DEM,900,900,900,900,5,261000,290,3
  Univerzalna Investiciona Banka Skopje,1000 DEN,1000,700,700,1000,2,27500,32,2
  Grad. institut Makedonija Skopje,"51,12 EMU",3500,3500,3500,3500,1,175000,50,1
  ZUM SKopje,10 DEM,615,615,615,615,2,785355,1277,1
  IGM Vratnica s. Vratnica,30 EMU,1845,1845,1845,1845,8,839475,455,1
  Inteks Skopje,51 EMU,1503,1503,1503,1503,1,2015523,1341,1
  Jaka tabak Radovi{,"51,13 EMU",1000,1000,1000,1000,1,6079000,6079,1
  Karaorman Skopje,50 EMU,300,300,300,300,2,45300,151,1
  Kvasara Bitola,100 DEM,3000,3000,3000,3000,1,15000,5,1
  MAK - Komerc Kavadarci,100 DEM,15,15,15,15,1,6375,425,1
  O~na optika Skopje,44 DEM,1107,1107,1107,1107,6,178227,161,1
  Pekabesko Skopje,46 EMU,920,920,920,920,1,197800,215,1
  R@ In`inering Skopje,10 DEM,100,100,100,100,2,200,2,1
  Slavej Skopje,50 EMU,1900,1900,1900,1900,2,687800,362,2
  Slovin Jugokokta Skopje,10 DEM,1930,1930,1930,1930,1,40149790,20803,1
  Makedonski Telekomunikacii Skopje,100 DEN,500,390,390,500,6,655990,1431,4
  Fakul.-zemjo. stopanstvo s. Trubarevo,10 DEM,100,100,100,100,1,304600,3046,1
  Turtel [tip,5 EMU,90,90,90,90,6,426330,4737,2
Vkupno NEOFICIJALEN PAZAR,,,,,,361,125177377,140545,
Vkupno site pazari,,,,,,3224,673712985,,
,,,,,,,,,
BLOKOVI,,,,,,,,,
Oficijalen pazar,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
Blagoj \orev Veles,,,,,1000,,6057000,6057,
Blagoj \orev Veles,,,,,1570,,22356800,14240,
Karpo{ Skopje,,,,,2000,,5076000,2538,
Granit Skopje,,,,,370,,20245660,54718,
Granit Skopje,,,,,370,,6935650,18745,
Karpo{ Skopje,,,,,2000,,5052000,2526,
Investbanka Skopje,,,,,3520,,7969280,2264,
Replek Skopje,,,,,30000,,12000000,400,
Neoficijalen pazar,,,,,,,,,
Sloboden pazar - obi~ni akcii,,,,,,,,,
Prosvetno delo Skopje,,,,,1600,,5060800,3163,
Univerzalna Investiciona Banka Skopje,,,,,305.5,,5804500,19000,
Grad. institut Makedonija Skopje,,,,,3500,,6198500,1771,
Prosvetno delo Skopje,,,,,1600,,5040000,3150,
Izvozno i kreditna banka Skopje,,,,,15743,,18844371,1197,
Prosvetno delo Skopje,,,,,1600,,5016000,3135,
Javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
@AS Skopje,,,,,150,,5006550,33377,
