МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.02.2006 ДО 28.02.2006 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
OFICIJALEN PAZAR,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Agroplod Resen,"511,3 EMU",12283,12283,12283,12283,1,5846708,476,1
  Alkaloid Skopje,"25,56 EMU",4198,4050,4055,4100,201,29362938,7163,20
  Blagoj \orev Veles,"25,56 EMU",1000,1000,1000,1000,5,1501000,1501,3
  Beton Skopje,500 DEM,3200,3100,3197,3101,40,2129923,672,14
  Granit Skopje,5 EMU,280,260,263,270,147,11603292,43762,17
  Evropa Skopje,100 DEM,1150,1108,1140,1150,20,1415336,1244,9
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",1350,1001,1010,1350,50,3672674,3148,16
  Investbanka Skopje,2670 DEN,3415,2851,3140,3310,19,2984610,937,8
  Komercijalna banka Skopje,1000 DEN,4000,3700,3998,3801,306,127127016,32978,20
  Karpo{ Skopje,200 DEM,4800,2479,2479,3859,15,4148019,977,4
  Makoteks Skopje,"35,9 EMU",231,50,50,220,50,816599,3736,15
  Makpetrol Skopje,"511,29 EMU",20800,19001,19001,20000,112,16213994,798,20
  Makedonija Turist Skopje,"25,56 EMU",2510,2403,2500,2500,29,3552127,1420,13
  Ohridska banka Ohrid,2650 DEN,7227,5910,6539,6900,16,4254387,673,9
  OHIS Skopje,"51,12 EMU",211,210,210,210,4,112078,533,3
  Replek Skopje,"562,42 EMU",21178,20170,20170,21178,2,1254572,62,2
  R@ Institut Skopje,10 DEM,300,254,254,300,151,239541,836,19
  R@ Inter-Trans{ped Skopje,"5,11 EMU",20,20,20,20,1,620,31,1
  R@ Uslugi Skopje,"5,11 EMU",39,32,32,36,79,477942,13571,18
  Stopanska banka Bitola,3000 DEN,9150,8500,8500,9000,71,15190777,1697,17
  Skopski Pazar Skopje,"51,13 EMU",7830,7000,7830,7000,4,660790,90,4
  R@ Makstil Skopje,"5,11 EMU",31,19,28,19,106,1614746,57695,9
  Tetovska banka Tetovo,3000 DEN,1290,1290,1290,1290,1,154800,120,1
  Teteks Tetovo,100 DEM,310,310,310,310,1,1162810,3751,1
  Tehnometal Vardar Skopje,"51,13 EMU",853,853,853,853,1,8530,10,1
  Teteks-Kreditna banka Skopje,1000 DEN,300,300,300,300,1,286800,956,1
  Toplifikacija Skopje,100 DEM,3550,3451,3480,3500,51,7018521,2003,16
  Fer{ped Skopje,37400 DEN,62000,59000,62000,60200,27,5611649,93,13
Oficijalen pazar - prioritetni akcii,,,,,,,,,
  Komercijalna banka Skopje,1000 DEN,3900,3699,3900,3800,34,2032209,531,13
  Ohridska banka Ohrid,2650 DEN,5501,5500,5500,5500,8,880012,160,5
  Stopanska Banka Bitola,3000 DEN,6572,6520,6520,6572,3,32755,5,2
  Tetovska banka - kumulativna Tetovo,3000 DEN,603,603,603,603,1,603,1,1
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,86.5,85,85.1,86.1,219,21645400,412417,20
  R.Makedonija - denacionalizacija 01,,85,84.2,84.2,84.8,4,1047494,20208,3
  R.Makedonija - denacionalizacija 02,1 EUR,84,82,83,83,36,11923648,234830,14
  R.Makedonija - denacionalizacija 03,1 EMU,83,79,82.3,82,49,24680913,496429,13
  R.Makedonija - denacionalizacija 04,1 EMU,82,78,80.1,80.5,325,102215583,2081839,20
Vkupno OFICIJALEN PAZAR,,,,,,2190,412881415,3427353,
NEOFICIJALEN PAZAR,,,,,,,,,
Pazar na javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
  Rudnici Bawani Skopje,50 DEM,500,500,500,500,1,42000,84,1
  Geras Cunev konfekcija Strumica,15 EMU,400,100,400,100,10,38900,386,1
  Geras Cunev trgovija Strumica,15 EMU,400,100,400,100,10,40900,406,1
  @AS Skopje,"37,48 EMU",150,150,150,150,8,72150,481,5
  @ito Karaorman Ki~evo,256 EMU,6100,6100,6100,6100,1,67100,11,1
  @ito Polog Tetovo,"51,13 EMU",1600,1600,1600,1600,1,27200,17,1
  KJUBI Makedonija Skopje,"51,13 EMU",600,600,600,600,1,21600,36,1
  R@ KPOR Skopje,10 DEM,60,60,60,60,143,105780,1763,20
  Lozar-Pelisterka Skopje,100 DEM,4000,3500,4000,3502,57,8060984,2153,16
  ADUT Makedonija Bitola,100 DEM,1000,1000,1000,1000,3,70000,70,3
  Rade Kon~ar Skopje,25 EMU,580,520,520,522,18,739797,1392,10
  Mittal Steel Skopje (CRM) Skopje,"5,11 EMU",20,20,20,20,3,38380,1919,3
  Mittal Steel Skopje (HRM) Skopje,"5,11 EMU",32,20,32,20,7,61651,2066,5
  R@ Tehni~ka kontrola Skopje,"5,11 EMU",90,67,67,90,163,130152,1657,19
  R@ Ugotur Skopje,10 DEM,18,18,18,18,1,342,19,1
  Strumica Tabak Strumica,"51,13 EMU",3170,3170,3170,3170,1,237750,75,1
  Tutunska banka Skopje,1000 DEN,4600,3500,3500,4600,25,21760200,5301,11
  Transkop-Patni~ki soob. Bitola,"51,13 EMU",620,620,620,620,1,7440,12,1
  Cementarnica USJE Skopje,51 EMU,9000,9000,9000,9000,1,450000,50,1
  Fustelarko Borec Bitola,100 DEM,300,300,300,300,1,37500,125,1
Pazar na javno poseduvani dru{tva - prioritetni akcii,,,,,,,,,
  Stopanska banka Skopje,400 DEN,700,602,660,678,72,1787703,2650,16
  Tutunska banka Skopje,1000 DEN,4500,3500,3500,4500,7,1381300,349,5
Sloboden pazar - obi~ni akcii,,,,,,,,,
  29 Noemvri Skopje,460 DEM,1000,1000,1000,1000,6,471000,471,2
  Algreta Resen,100 DEM,900,900,900,900,1,61200,68,1
  Univerzalna Investiciona Banka Skopje,1000 DEN,250,250,250,250,1,1419500,5678,1
  Brod~anka Makedonski Brod,10 DEM,64,64,64,64,1,104064,1626,1
  Avto guma AD,10 DEM,62,62,62,62,2,2313902,37321,1
  Zemjodelsko sto~arski kombinat Strumica,5 EMU,100,100,100,100,1,158300,1583,1
  IGM Vratnica s. Vratnica,30 EMU,900,900,900,900,5,298800,332,2
