МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.01.2006 ДО 31.01.2006 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
OFICIJALEN PAZAR,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Agroplod Resen,"511,3 EMU",15000,15000,15000,15000,1,2850000,190,1
  Alkaloid Skopje,"25,56 EMU",4239,3700,3800,4060,183,24284570,5969,20
  Blagoj \orev Veles,"25,56 EMU",1000,990,990,1000,11,4708900,4709,4
  Beton Skopje,500 DEM,3300,3151,3152,3199,17,678018,212,12
  Granit Skopje,5 EMU,280,259,280,270,60,3746630,13874,17
  Evropa Skopje,100 DEM,1150,1101,1101,1120,16,1328469,1184,11
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",1080,979,979,1029,34,2136079,2083,11
  Investbanka Skopje,2670 DEN,3140,2851,2950,3140,4,331773,113,4
  KIB Kumanovo,"2741,56 DEN",657,657,657,657,2,24309,37,1
  Komercijalna banka Skopje,1000 DEN,4200,3649,3649,3950,413,264370258,64828,20
  Komuna Skopje,50 DEM,205,205,205,205,1,18450,90,1
  Karpo{ Skopje,200 DEM,2361,2361,2361,2361,1,210129,89,1
  Makoteks Skopje,"35,9 EMU",50,50,50,50,1,4000,80,1
  Makpetrol Skopje,"511,29 EMU",21299,18004,18004,19000,108,15865215,802,17
  Makedonija Turist Skopje,"25,56 EMU",2600,2015,2051,2500,58,10671215,4763,14
  Oteks Ohrid,1941 DEN,50,50,50,50,2,3257350,65147,2
  Ohridska banka Ohrid,2650 DEN,7900,5798,5798,6883,53,26989209,3947,12
  OHIS Skopje,"51,12 EMU",210,210,210,210,1,10500,50,1
  Replek Skopje,"562,42 EMU",26000,24495,24499,26000,16,3182716,127,5
