МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.03.2006 ДО 31.03.2006 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
OFICIJALEN PAZAR,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Agroplod Resen,"511,3 EMU",12235,12235,12235,12235,2,65640775,5365,1
  Alkaloid Skopje,"25,56 EMU",4100,3900,4099,4001,165,32270844,8074,23
  Blagoj \orev Veles,"25,56 EMU",850,800,800,850,5,2683750,3275,3
  Beton Skopje,500 DEM,3300,3102,3104,3270,40,2885272,899,17
  Granit Skopje,5 EMU,338,265,265,310,218,20000838,67586,22
  Evropa Skopje,100 DEM,1180,1110,1125,1110,28,2549536,2214,15
  EMO Ohrid,"30,68 EMU",410,400,400,401,6,139176,347,3
  @ito Luks Skopje,"35,79 EMU",200,200,200,200,2,7600,38,1
  @ito Vardar Veles,"51,13 EMU",690,690,690,690,1,24840,36,1
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",1600,1085,1300,1085,78,5421595,3991,20
  Investbanka Skopje,2670 DEN,4600,3580,3580,4600,13,1342150,348,10
  KIB Kumanovo,"2741,56 DEN",1252,1252,1252,1252,2,1489880,1190,1
  Komercijalna banka Skopje,1000 DEN,4000,3800,3850,3910,286,134355998,34061,23
  Komuna Skopje,50 DEM,206,206,206,206,2,19364,94,1
  Karpo{ Skopje,200 DEM,3500,2400,3500,2400,29,7706410,2567,10
  Makoteks Skopje,"35,9 EMU",220,220,220,220,43,661980,3009,16
  Makpetrol Skopje,"511,29 EMU",20399,19940,20000,20200,107,21146765,1053,22
  Makedonija Turist Skopje,"25,56 EMU",2550,2400,2498,2550,25,2879361,1153,15
  Oteks Ohrid,1941 DEN,50,50,50,50,1,3461500,69230,1
  Ohridska banka Ohrid,2650 DEN,7598,6900,6900,7500,41,16383971,2251,13
  OHIS Skopje,"51,12 EMU",210,210,210,210,2,53130,253,2
  Replek Skopje,"562,42 EMU",25000,20200,21178,25000,8,1237556,51,4
  R@ Ekonomika Skopje,10 DEM,50,50,50,50,55,58650,1173,2
  R@ Institut Skopje,10 DEM,301,271,271,300,110,168764,565,22
  R@ Uslugi Skopje,"5,11 EMU",40,35,36,40,48,284485,7486,15
  Stopanska banka Bitola,3000 DEN,10500,8801,8801,10500,96,36648872,3748,20
  Sileks Kratovo,85 DEM,62,62,62,62,2,29760,480,2
  Skopski Pazar Skopje,"51,13 EMU",7000,6514,7000,6750,21,2096760,310,16
  R@ Makstil Skopje,"5,11 EMU",25,19,19,21,124,1311345,59648,21
  Tetovska banka Tetovo,3000 DEN,1290,1290,1290,1290,1,32250,25,1
  Teteks Tetovo,100 DEM,310,310,310,310,1,16120,52,1
  Tehnometal Vardar Skopje,"51,13 EMU",902,851,853,854,11,248092,288,9
  Teteks-Kreditna banka Skopje,1000 DEN,350,350,350,350,1,44800,128,1
  Tutunski kombinat Prilep,100 DEM,606,606,606,606,1,12726,21,1
  Toplifikacija Skopje,100 DEM,3550,3400,3460,3500,67,10757231,3098,18
  Fer{ped Skopje,37400 DEN,60500,60000,60100,60000,36,7991718,133,14
Oficijalen pazar - prioritetni akcii,,,,,,,,,
  Investbanka Skopje,2670 DEN,3010,2670,2670,3010,2,134770,45,2
  Komercijalna banka Skopje,1000 DEN,3900,3700,3750,3849,26,1727234,456,11
  Ohridska banka Ohrid,2650 DEN,7200,5775,5775,7200,14,1881725,274,3
  Stopanska Banka Bitola,3000 DEN,9000,7350,7350,8101,5,40801,5,4
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,87,86,86.3,87,199,23425965,442904,20
  R.Makedonija - denacionalizacija 02,1 EUR,83,82.5,82.9,82.7,17,5252623,103568,12
  R.Makedonija - denacionalizacija 03,1 EMU,82.3,81,82,81.1,78,21727500,433467,21
  R.Makedonija - denacionalizacija 04,1 EMU,81.7,80,80.2,80.3,220,62590060,1270115,23
  R.Makedonija - denacionalizacija 05,1 EMU,76.9,73.5,76.9,76,819,254341439,5513264,12
  Kontinuirana dr`avna obvrznica br. 1,10000 DEN,100.3,100.3,100.3,100.3,2,26278600,2620,2
Vkupno OFICIJALEN PAZAR,,,,,,3060,779464581,8050958,
NEOFICIJALEN PAZAR,,,,,,,,,
Pazar na javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
  Alkaloid Berovo,"255,6 EMU",3800,3800,3800,3800,5,3332600,877,4
  Rudnici Bawani Skopje,50 DEM,500,500,500,500,3,223500,447,2
  Edinstvo Strumica,70 DEM,300,300,300,300,1,18300,61,1
  Elektrometal Skopje,"35,99 EMU",50,50,50,50,1,500,10,1
  @AS Skopje,"37,48 EMU",150,150,150,150,5,55500,370,5
  @ito Polog Tetovo,"51,13 EMU",1600,1600,1600,1600,1,308800,193,1
  F-ka za sv. plat. Ilinden Bitola,"18,95 EMU",340,333,340,333,2,35669,106,2
  KJUBI Makedonija Skopje,"51,13 EMU",401,401,401,401,5,335637,837,2
  R@ KPOR Skopje,10 DEM,60,60,60,60,74,51240,854,21
  Krai{te –Tikve{ Kavadarci,100 DEM,150,150,150,150,2,1200450,8003,2
  Lozar-Pelisterka Skopje,100 DEM,3511,3501,3501,3502,4,5051571,1442,4
  Oran`erii Hamzali Strumica,5 EMU,100,100,100,100,1,115900,1159,1
  ADG Pelagonija Skopje,500 DEM,300,300,300,300,1,600,2,1
  Rade Kon~ar Skopje,25 EMU,619,500,522,501,20,8277861,13752,12
  Mittal Steel Skopje (CRM) Skopje,"5,11 EMU",20,20,20,20,6,35980,1799,3
  Mittal Steel Skopje (HRM) Skopje,"5,11 EMU",20,20,20,20,3,20660,1033,3
  R@ Tehni~ka kontrola Skopje,"5,11 EMU",90,60,90,90,81,167096,1996,19
  Stopanska banka Skopje,"201,10 DEN",650,420,420,500,7,446050,873,4
  Tajmi{te Ki~evo,100 DEM,1550,1550,1550,1550,3,21700,14,3
  TK Boro P.-Papu~ar Kumanovo,"15,34 EMU",71,71,71,71,1,710,10,1
  Tutunska banka Skopje,1000 DEN,5600,4820,4820,5600,48,28095780,5151,19
  Trgotekstil maloproda`ba Skopje,"5,11 EMU",61,40,60,40,10,4818786,118640,2
