МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.11.2006 ДО 30.11.2006 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
OFICIJALEN PAZAR,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Alkaloid Skopje,"25,56 EMU",5798,5202,5703,5300,282,62998358,11246,21
  Beton Skopje,500 DEM,10700,9500,10201,9500,188,27384653,2713,21
  Granit Skopje,5 EMU,595,570,594,580,408,48719868,83828,22
  Evropa Skopje,100 DEM,7875,6899,6899,7875,27,15623148,2102,11
  EMO Ohrid,"30,68 EMU",1751,1480,1665,1600,1088,94497793,57530,21
  @ito Luks Skopje,"35,79 EMU",300,275,275,300,4,89875,300,2
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",3400,2852,3399,2950,48,8551270,2793,15
  Investbanka Skopje,2670 DEN,7100,7000,7100,7000,16,1733070,247,6
  KIB Kumanovo,"2741,56 DEN",1100,1100,1100,1100,4,401500,365,2
  Komercijalna banka Skopje,1000 DEN,7100,5200,7002,5300,614,308953759,50606,20
  Komuna Skopje,50 DEM,798,618,618,689,74,4859453,6754,20
  Karpo{ Skopje,200 DEM,2200,1679,2200,1679,28,2345315,1169,11
  Lotarija na Makedonija Skopje,"51,03 EMU",1332,1332,1332,1332,1,53280,40,1
  GP Mavrovo Skopje,"51,13 EMU",701,501,701,501,35,642026,1108,9
  Makoteks Skopje,"35,9 EMU",220,220,220,220,12,220000,1000,4
  Mako{ped Skopje,1000 DEN,517,390,502,400,18,1101882,2356,8
  Hoteli Metropol Ohrid,5 EMU,355,309,309,355,52,11978367,34538,14
  Makpetrol Skopje,"511,29 EMU",59500,55000,58500,55400,122,38813881,667,21
  Makedonija Turist Skopje,"25,56 EMU",2900,2700,2900,2800,23,5748496,2036,11
  Ohridska banka Ohrid,2650 DEN,10880,9900,10500,10200,68,23976798,2301,15
  OHIS Skopje,"51,12 EMU",822,543,766,706,125,5226530,7401,21
  Replek Skopje,"562,42 EMU",39805,38100,39805,39000,8,1132657,29,4
  R@ Ekonomika Skopje,10 DEM,108,75,75,85,148,969333,10104,12
  R@ Institut Skopje,10 DEM,657,485,576,485,207,822825,1469,19
  R@ Inter-Trans{ped Skopje,"5,11 EMU",22,21,21,22,7,3122,143,5
  R@ Uslugi Skopje,"5,11 EMU",199,156,164,156,370,25755262,147080,22
  Stopanska banka Bitola,3000 DEN,11519,10500,11250,11350,118,49377841,4375,20
  Skopski Pazar Skopje,"51,13 EMU",7450,7000,7000,7450,13,5294654,728,7
  R@ Makstil Skopje,"5,11 EMU",70,65,69,68,246,8901681,128896,20
  Teteks Tetovo,100 DEM,402,401,402,401,2,1783465,4447,1
  Tehnometal Vardar Skopje,"51,13 EMU",2248,1200,2154,1200,14,746818,350,5
  Vinarska vizba Tikve{ Skopje,100 DEM,3051,2850,3000,3000,21,883701,296,7
  Tutunski kombinat Prilep,100 DEM,950,601,900,637,10,239891,350,6
  Toplifikacija Skopje,100 DEM,4358,4000,4303,4000,122,19412754,4644,20
  TTK Banka AD Skopje,1000 DEN,2750,2231,2700,2300,296,10912207,4332,21
  Fakom Skopje,"51,13 EMU",2450,2000,2450,2000,12,316500,156,4
  Fer{ped Skopje,37400 DEN,125000,114642,121600,125000,23,6289457,52,12
Oficijalen pazar - prioritetni akcii,,,,,,,,,
  Investbanka Skopje,2670 DEN,4011,4011,4011,4011,1,4011,1,1
  Komercijalna banka Skopje,1000 DEN,7000,5797,6900,6159,22,2098244,341,9
  Stopanska Banka Bitola,3000 DEN,9646,9500,9500,9600,7,144062,15,5
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,87.2,87,87.2,87,179,13356432,250650,20
  R.Makedonija - denacionalizacija 01,,85,85,85,85,1,27040,520,1
  R.Makedonija - denacionalizacija 02,1 EUR,83,82.1,82.8,82.5,17,7582672,149734,10
  R.Makedonija - denacionalizacija 03,1 EMU,81.5,81,81.3,81,29,7709845,154889,15
  R.Makedonija - denacionalizacija 04,1 EMU,80,79.6,79.9,79.8,94,67667260,1385205,21
  R.Makedonija - denacionalizacija 05,1 EMU,79.3,78.5,79.2,79.2,192,20099290,415994,22
Vkupno OFICIJALEN PAZAR,,,,,,5396,915450345,2935900,
NEOFICIJALEN PAZAR,,,,,,,,,
Pazar na javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
  Ading Skopje,"79,87 EUR",2700,2700,2700,2700,1,270000,100,1
  Automakedonija Skopje,"44,48 EMU",1253,1250,1250,1253,2,151550,121,2
  Rudnici Bawani Skopje,50 DEM,521,521,521,521,1,1563,3,1
  Gradski Trgovski Centar Skopje,50 EMU,1900,1900,1900,1900,2,38000,20,1
  Edinstvo Strumica,70 DEM,400,400,400,400,3,188000,470,1
  @AS Skopje,"37,48 EMU",150,150,150,150,2,19200,128,2
  ICN-Farm AD Skopje,"9,13 EMU",749,332,350,380,240,15946209,26659,20
  Jaka 80 Radovi{,10 DEM,310,310,310,310,1,18600,60,1
  F-ka za kabli Negotino,50 DEM,500,500,500,500,6,174500,349,3
  KJUBI Makedonija Skopje,"51,13 EMU",1472,842,1200,945,11,2124248,1974,4
