МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.05.2006 ДО 31.05.2006 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
OFICIJALEN PAZAR,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Alkaloid Skopje,"25,56 EMU",4250,3871,4250,3900,224,48751774,12092,21
  Blagoj \orev Veles,"25,56 EMU",850,800,849,850,55,11332664,13354,12
  Beton Skopje,500 DEM,3750,3472,3600,3503,33,2018897,560,17
  Granit Skopje,5 EMU,360,305,350,340,242,20772181,64142,21
  Evropa Skopje,100 DEM,1150,1100,1140,1125,26,2785023,2477,14
  EMO Ohrid,"30,68 EMU",301,300,301,300,2,31550,105,2
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",1302,1207,1211,1300,35,1740570,1370,17
  Investbanka Skopje,2670 DEN,4500,3910,3910,4300,14,2767041,654,8
  Komercijalna banka Skopje,1000 DEN,4700,3750,3790,4400,598,227430702,52360,21
  Hoteli Metropol Ohrid,5 EMU,60,60,60,60,1,13380,223,1
  Makpetrol Skopje,"511,29 EMU",22848,20400,21501,22300,96,13829730,649,20
  Makedonija Turist Skopje,"25,56 EMU",2550,2403,2550,2499,38,6971407,2789,12
  Ohridska banka Ohrid,2650 DEN,7399,6700,7000,6923,44,23669558,3295,10
  OHIS Skopje,"51,12 EMU",200,180,200,180,3,41700,217,2
  Replek Skopje,"562,42 EMU",24000,23310,23310,24000,4,3113100,130,3
  R@ Institut Skopje,10 DEM,351,316,316,351,83,149090,468,21
  R@ Uslugi Skopje,"5,11 EMU",42,40,40,42,65,471462,11364,20
  Stopanska banka Bitola,3000 DEN,10500,9600,10500,10198,33,8686138,852,12
  Skopski Pazar Skopje,"51,13 EMU",6650,6200,6600,6200,6,626000,95,5
  R@ Makstil Skopje,"5,11 EMU",25,23,25,24,112,1506021,60939,20
  Tehnometal Vardar Skopje,"51,13 EMU",900,851,900,857,6,117354,135,5
  Teteks-Kreditna banka Skopje,1000 DEN,333,333,333,333,1,3330,10,1
  Toplifikacija Skopje,100 DEM,3600,3291,3600,3326,74,20569238,6118,18
  Fakom Skopje,"51,13 EMU",2450,2450,2450,2450,1,35770000,14600,1
  Fer{ped Skopje,37400 DEN,69500,64000,66000,65000,18,5000220,76,12
Oficijalen pazar - prioritetni akcii,,,,,,,,,
  Investbanka Skopje,2670 DEN,2900,2720,2720,2900,4,888760,320,2
  Komercijalna banka Skopje,1000 DEN,4408,3642,3750,4250,44,2949266,696,12
  Stopanska Banka Bitola,3000 DEN,9950,9000,9000,9950,6,83950,9,3
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,88,86.5,86.5,86.8,271,33709287,635455,21
  R.Makedonija - denacionalizacija 02,1 EUR,85,83.7,84,85,18,4378355,84612,11
  R.Makedonija - denacionalizacija 03,1 EMU,83,82,82,83,26,6415779,126960,13
  R.Makedonija - denacionalizacija 04,1 EMU,82,80.7,81,82,79,18481574,372575,17
  R.Makedonija - denacionalizacija 05,1 EMU,78.3,76.9,77.6,77,442,92237674,1942128,21
Vkupno OFICIJALEN PAZAR,,,,,,2704,597312775,3411829,
NEOFICIJALEN PAZAR,,,,,,,,,
Pazar na javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
  Ading Skopje,"79,87 EUR",2900,2900,2900,2900,1,290000,100,1
  Alkaloid Berovo,"255,6 EMU",3800,3800,3800,3800,2,729600,192,2
  Rudnici Bawani Skopje,50 DEM,500,500,500,500,1,57500,115,1
  Veteks Veles,"51,13 EMU",930,930,930,930,5,1313160,1412,1
  Geras Cunev konfekcija Strumica,15 EMU,50,50,50,50,2,3300,66,2
  Geras Cunev trgovija Strumica,15 EMU,50,50,50,50,2,3600,72,2
  @AS Skopje,"37,48 EMU",150,150,150,150,1,26250,175,1
  @ito Polog Tetovo,"51,13 EMU",2000,2000,2000,2000,1,398000,199,1
  KJUBI Makedonija Skopje,"51,13 EMU",500,500,500,500,2,50000,100,1
  R@ KPOR Skopje,10 DEM,60,60,60,60,67,49860,831,20
  Krai{te –Tikve{ Kavadarci,100 DEM,150,150,150,150,1,116700,778,1
  Lozar-Pelisterka Skopje,100 DEM,3503,2000,3502,2000,14,8558255,2728,5
  ADUT Makedonija Bitola,100 DEM,1000,1000,1000,1000,4,94000,94,1
  Makpromet [tip,"51,13 EMU",400,400,400,400,1,3685200,9213,1
  Rade Kon~ar Skopje,25 EMU,501,351,501,371,7,229302,601,6
  Mittal Steel Skopje (HRM) Skopje,"5,11 EMU",15,15,15,15,1,7365,491,1
  R@ Tehni~ka kontrola Skopje,"5,11 EMU",70,50,70,60,28,34880,557,10
  Sigurnosno staklo Prilep,"51,2 EMU",300,300,300,300,3,58200,194,1
  Stopanska banka Skopje,"201,10 DEN",400,300,400,305,16,1617440,5220,4
  Tajmi{te Ki~evo,100 DEM,1550,1550,1550,1550,2,46500,30,2
  GD-Tikve{ Kavadarci,100 DEM,60,50,60,50,3,353630,6336,3
  Tutunska banka Skopje,1000 DEN,5800,5300,5600,5500,43,55490218,10285,15
  Transkop-Patni~ki soob. Bitola,"51,13 EMU",620,620,620,620,3,94240,152,3
  Fustelarko Borec Bitola,100 DEM,1400,1400,1400,1400,1,284200,203,1
Pazar na javno poseduvani dru{tva - prioritetni akcii,,,,,,,,,
  Stopanska banka Skopje,400 DEN,600,500,500,530,21,918714,1690,11
  Tutunska banka Skopje,1000 DEN,5500,5400,5400,5500,4,617600,114,2
Sloboden pazar - obi~ni akcii,,,,,,,,,
  Avtocentar Skopje,100 DEM,768,768,768,768,28,2465280,3210,3
  Agrolozar s.Hamzali Strumica,5 EMU,120,120,120,120,1,35640,297,1
  Angropromet-Tikve{anka Kavadarci,100 DEM,1000,1000,1000,1000,1,8000,8,1
  Brik Berovo,100 DEM,1225,1225,1225,1225,1,139650,114,1
  Veles tabak Veles,10 EMU,100,100,100,100,2,135700,1357,1
  Dehiteks AD Demir Hisar,"5,11 EMU",30,30,30,30,1,1787340,59578,1
  Elmar [tip,10 DEM,30,30,30,30,1,23280,776,1
  @ito leb Ohrid,100 DEM,3059,3059,3059,3059,1,6686974,2186,1
  Zastava Mak Auto Skopje,24 EMU,136,136,136,136,1,1232976,9066,1
  Kozjak Kumanovo,"25,6 EMU",60,60,60,60,1,29640,494,1
  Makedonija Film AD Skopje,31 EMU,200,200,200,200,4,54000,270,1
  Mermeren kombinat Prilep,1 EMU,200,200,200,200,3,419200,2096,1
  Mokel EE II AD Bitola,"51,13 EMU",330,330,330,330,1,2310,7,1
  HOOR AD Kavadarci,50 EMU,300,300,300,300,7,489300,1631,1
  Prilepska Pivarnica Prilep,125 EMU,3000,3000,3000,3000,1,255000,85,1
  R@ In`inering Skopje,10 DEM,300,100,300,100,11,1700,11,7
  Slovin Jugokokta Skopje,10 DEM,250,250,250,250,4,288250,1153,2
  Solun 2001 Gevgelija,5 EMU,300,300,300,300,1,86400,288,1
  Taska AD Kavadarci,"51,00 EUR",615,615,615,615,1,115620,188,1
  Tabak osigur. i reosigur. Skopje,500 EMU,30850,30850,30850,30850,1,678700,22,1
  TE-TO Skopje,100 EMU,6100,6100,6100,6100,2,305000,50,2
  Tekstil Skopje,"102,26 EMU",800,800,800,800,3,71200,89,1
Vkupno NEOFICIJALEN PAZAR,,,,,,313,90438874,124924,
Vkupno site pazari,,,,,,3017,687751649,,
BLOKOVI,,,,,,,,,
Oficijalen pazar,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
Komercijalna banka Skopje,,,,,3780,,8486100,2245,
Tetovska banka Tetovo,,,,,2797,,5291924,1892,
Teteks-Kreditna banka Skopje,,,,,333,,5294700,15900,
Replek Skopje,,,,,25000,,6500000,260,
Komercijalna banka Skopje,,,,,3850,,26950000,7000,
Oficijalen pazar - prioritetni akcii,,,,,,,,,
Investbanka Skopje,,,,,2670,,6408000,2400,
Neoficijalen pazar,,,,,,,,,
Sloboden pazar - obi~ni akcii,,,,,,,,,
DZSPP Goce Del~ev s.Trubarevo,,,,,3144,,9683520,3080,
Mokel EE II AD Bitola,,,,,330,,5093550,15435,
