МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.01.2017 ДО 31.01.2017 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,3080,2856,2860,2969,227,46945598,15715,17
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,5499,5351,5400,5499,135,20121651,3719,19
Бетон Скопје,255.65 EUR,11099,10500,10500,11000,56,4916190,453,16
Фершпед Скопје,37400.00 MKD,43000,41710,43000,42961,6,979372,23,6
Гранит Скопје,5.00 EUR,619,582,582,610,76,5257333,8648,18
Макошпед Скопје,1000.00 MKD,142,141,142,141,8,159283,1123,3
Хотели Метропол Охрид,5.00 EUR,239,238,239,238,4,105020,440,4
Макпетрол Скопје,511.29 EUR,28700,26190,26800,26626,59,4655339,172,16
Македонијатурист Скопје,25.56 EUR,3900,3700,3701,3800,22,2703494,715,6
Охридска банка АД Скопје,2650.00 MKD,4899,3900,3900,4800,71,18617988,4151,14
Реплек Скопје,562.42 EUR,43500,43000,43000,43500,3,1034500,24,3
РЖ Услуги Скопје,5.11 EUR,108,92,92,97,65,1914867,19173,14
Стопанска банка Битола,3000.00 MKD,1302,1300,1300,1302,15,1943640,1495,6
Скопски Пазар Скопје,51.13 EUR,,,,14638,2,0,0,2
Макстил Скопје,5.11 EUR,93,85,90,85,69,2858730,32099,16
Тетекс Тетово,50.40 EUR,920,907,907,920,2,55005,60,2
Топлификација Скопје,51.13 EUR,1090,950,960,1050,85,3612740,3587,14
ТТК Банка АД Скопје,1000.00 MKD,721,700,700,717,11,1191830,1663,5
Витаминка Прилеп,52.78 EUR,9000,8755,8755,9000,7,805815,90,5
ЗК Пелагонија Битола,70.21 EUR,2575,2500,2500,2500,15,6938480,2774,7
Берзанска котација - приоритетни акции,,,,,,,,,
Скопски пазар Скопје,51.13 EUR,3500,3500,3500,3500,1,21000,6,1
Берзанска котација - обврзници,,,,,,,,,
Р.Македонија - денационализација 07,1.00 EUR,98.1,98.1,98.1,98.1,3,133568.3,2212,2
