МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.02.2017 ДО 28.02.2017 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,2999,2900,2950,2970,216,66545549,22451,20
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,5600,5452,5477,5596,123,14393388,2601,20
Бетон Скопје,255.65 EUR,11430,11000,11000,11399,28,1942504,173,12
Фершпед Скопје,37400.00 MKD,44000,41710,43000,41710,8,2392130,55,5
Гранит Скопје,5.00 EUR,700,610,613,671,106,11121321,16955,17
Макошпед Скопје,1000.00 MKD,157,157,157,157,2,9106,58,1
Хотели Метропол Охрид,5.00 EUR,237,237,237,237,1,11850,50,1
Макпетрол Скопје,511.29 EUR,28216,26500,27200,26500,68,5276036,195,18
Македонијатурист Скопје,25.56 EUR,3850,3601,3601,3850,3,259550,70,3
Охридска банка АД Скопје,2650.00 MKD,5342,4900,4900,5140,97,9319420,1828,17
Реплек Скопје,562.42 EUR,45000,44290,44800,45000,15,4677006,105,6
РЖ Интер-Трансшпед Скопје,5.11 EUR,25,25,25,25,2,30000,1200,2
РЖ Услуги Скопје,5.11 EUR,107,92,95,100,40,2627114,27735,17
Стопанска банка Битола,3000.00 MKD,1360,1300,1300,1351,20,1346062,1031,10
Макстил Скопје,5.11 EUR,87,80,83,85,35,802065,9534,15
Технометал Вардар Скопје,51.13 EUR,,,,515,1,0,0,1
Тетекс Тетово,50.40 EUR,960,894,894,960,5,58672,65,4
Винарска визба Тиквеш Скопје,51.13 EUR,2150,2001,2001,2150,5,216695,105,5
Топлификација Скопје,51.13 EUR,1090,949,1080,956,54,1928752,1922,16
ТТК Банка АД Скопје,1000.00 MKD,775,698,699,775,18,1482521,2082,6
Витаминка Прилеп,52.78 EUR,9000,8820,8820,9000,8,1358260,151,4
Жито Лукс Скопје,35.79 EUR,200,157,157,200,3,233385,1257,3
ЗК Пелагонија Битола,70.21 EUR,2700,2500,2500,2600,17,938600,363,9
Берзанска котација - приоритетни акции,,,,,,,,,
Скопски пазар Скопје,51.13 EUR,3500,3500,3500,3500,1,31500,9,1
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 06,1.00 EUR,98.2,98.2,98.2,98.2,1,177667.25,2942,1
Р. Македонија - денационализација 08,1.00 EUR,98.2,94.3,94.3,98.2,2,105777.28,1786,2
Р. Македонија - денационализација 11,1.00 EUR,95.7,95.7,95.7,95.7,1,31307.82,532,1
Р. Македонија - денационализација 13,1.00 EUR,96,93.5,95.5,96,9,7672292.53,130479,8
Р. Македонија - денационализација 14,1.00 EUR,93.5,93.5,93.5,93.5,1,61606.49,1068,1
Р. Македонија - денационализација 15,1.00 EUR,94.5,92,94.5,94.5,16,4095145.11,70342,9
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,750,707,,707,7,131430,180,6
Аутомакедонија Скопје,44.48 EUR,1507,1507,1507,1507,2,75350,50,1
Бетон Штип,25.00 EUR,1600,1600,1600,1600,1,40000,25,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,900,800,800,900,12,688678,816,6
Фустеларко Борец Битола,37.65 EUR,1200,1200,1200,1200,2,384000,320,2
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1648,1545,1545,1648,5,213403,131,3
Макпромет Штип,51.13 EUR,570,570,570,570,1,62700,110,1
Нова стоковна куќа Струмица,1000.00 EUR,92250,92250,92250,92250,8,4059000,44,4
Оилко КДА Скопје,6000.00 MKD,6000,6000,6000,6000,3,2040000,340,2
ОКТА Скопје,51.12 EUR,2550,2210,2400,2210,8,586100,246,5
"Пекабеско АД Кадино, Илинден",46.00 EUR,11100,11100,11100,11100,1,55500,5,1
Прилепска Пиварница Прилеп,125.00 EUR,40000,39000,40000,39000,13,10151000,259,4
Раде Кончар Скопје,25.00 EUR,1515,1471,1471,1515,3,327096,220,3
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,15,15,15,15,3,26775,1785,2
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,31,27,27,31,6,71739,2381,4
РЖ Техничка контрола Скопје,5.11 EUR,421,421,421,421,2,8841,21,2
РЖ Уготур Скопје,1.05 EUR,7,7,7,7,2,272279,38897,1
Стопанска банка Скопје,201.10 MKD,935,900,900,915,95,12399245,13601,18
Македонски Телеком Скопје,100.00 MKD,268,260,265,260,39,2990481,11325,12
НЛБ Банка АД Скопје,1000.00 MKD,11590,9899,9899,11500,105,44510294,4339,17
Универзална Инвестициона Банка Скопје,1000.00 MKD,1323,1190,1285,1195,9,1023769,811,5
Цементарница УСЈЕ Скопје,3100.00 MKD,24500,23001,23001,24499,6,1138100,47,6
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,725,631,631,723,34,2321967,3284,12
Вкупно Официјален пазар,,,,,,1273,222723029.48,376381,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Цертус Скопје,100.00 EUR,7700,7700,7700,7700,2,924000,120,1
Градинар Свети Николе,10.00 EUR,150,150,150,150,4,205950,1373,3
Авто гума АД,5.11 EUR,1200,1200,1200,1200,3,4896000,4080,1
Палпласт Про АД Кумануво,33.20 EUR,372,372,372,372,1,365304,982,1
Киро Дандаро Битола,5.11 EUR,1019,1019,1019,1019,2,1019,1,2
