МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.07.2017 ДО 31.07.2017 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,2850,2605,2650,2680,212,29956795,11105,21
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,6950,5800,5805,6400,224,46636695,7286,21
Бетон Скопје,255.65 EUR,12300,10701,10815,12300,18,1568297,137,10
Фершпед Скопје,37400.00 MKD,52100,46000,46000,50440,17,2467475,51,10
Гранит Скопје,5.00 EUR,844,715,730,803,157,18159243,23967,19
Макошпед Скопје,1000.00 MKD,288,171,171,288,16,250861,1171,9
Хотели Метропол Охрид,5.00 EUR,260,230,230,260,6,583512,2285,4
Макпетрол Скопје,511.29 EUR,31930,27160,28000,30000,105,19042224,661,19
Македонијатурист Скопје,25.56 EUR,4449,3605,3610,4449,29,29280195,7722,12
Охридска банка АД Скопје,2650.00 MKD,6500,5098,5100,6450,32,4160996,766,11
Реплек Скопје,562.42 EUR,53240,43999,43999,48000,9,2606033,58,6
РЖ Интер-Трансшпед Скопје,5.11 EUR,31,25,25,31,9,175856,6014,4
РЖ Услуги Скопје,5.11 EUR,190,126,127,186,142,6837830,41554,16
Стопанска банка Битола,3000.00 MKD,1876,1411,1411,1800,21,2196673,1296,13
Скопски Пазар Скопје,51.13 EUR,16500,15500,16500,15501,3,237507,15,3
Макстил Скопје,5.11 EUR,158,100,103,140,172,9077854,64624,21
Тетекс Тетово,50.40 EUR,1984,1241,1241,1984,27,2251963,1535,10
Винарска визба Тиквеш Скопје,51.13 EUR,3358,2450,2450,3358,22,1550450,527,10
Топлификација Скопје,51.13 EUR,1850,1385,1385,1750,67,4189285,2524,15
ТТК Банка АД Скопје,1000.00 MKD,849,750,750,845,50,6411133,7941,13
Витаминка Прилеп,52.78 EUR,8800,8800,8800,8800,1,26400,3,1
Жито Лукс Скопје,35.79 EUR,200,150,150,200,8,111240,707,6
ЗК Пелагонија Битола,70.21 EUR,3031,2500,2521,3031,15,1217952,447,8
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 08,1.00 EUR,98,98,98,98,1,120.64,2,1
Р. Македонија - денационализација 09,1.00 EUR,97.6,96,96,97.6,6,3943301.2,65728,4
Р. Македонија - денационализација 10,1.00 EUR,97,96.3,96.3,97,3,1281277.15,21474,1
Р. Македонија - денационализација 11,1.00 EUR,95,95,95,95,1,129897.36,2223,1
Р. Македонија - денационализација 12,1.00 EUR,95,95,95,95,1,292407.15,5000,1
Р. Македонија - денационализација 13,1.00 EUR,95.5,95,95,95.5,3,321940.47,5487,2
