МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.01.2009 ДО 31.01.2009 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Super kotacija - obi~ni akcii,,,,,,,,,
  Komercijalna banka Skopje,1000 DEN,2900,2602,2750,2699,147,33490801,12228,16
  Toplifikacija Skopje,100 DEM,3149,2800,2800,3060,47,3783782,1261,13
Berzanska kotacija - obi~ni akcii,,,,,,,,,
  Alkaloid Skopje,"25,56 EMU",3362,3000,3000,3362,176,12598544,3850,18
  Beton Skopje,"255,65 EMU",9000,8600,8600,9000,9,4141650,461,4
  Vitaminka Prilep,50 EMU,7700,7650,7650,7700,8,1992800,259,6
  Granit Skopje,5 EMU,600,571,600,590,59,3416418,5875,16
  EMO Ohrid,"30,68 EMU",450,300,300,450,5,184500,610,4
  @ito Luks Skopje,"35,79 EMU",207,200,200,207,3,96925,475,2
  @ito Vardar Veles,"51,13 EMU",2000,2000,2000,2000,1,28000,14,1
  ZK Pelagonija Bitola,"51,13 EMU",2700,2400,2400,2635,20,1058690,421,12
  Komuna Skopje,50 DEM,550,550,550,550,1,27500,50,1
  Lotarija na Makedonija Skopje,"51,03 EMU",700,700,700,700,1,3500,5,1
  Makoteks Skopje,"35,9 EMU",80,80,80,80,1,2400,30,1
  Hoteli Metropol Ohrid,5 EMU,200,200,200,200,5,328200,1641,3
  Makpetrol Skopje,"511,29 EMU",34000,28008,28008,33300,41,3464636,106,12
  Makedonijaturist Skopje,"25,56 EMU",3500,3400,3500,3400,9,1192800,347,7
  Ohridska banka Ohrid,2650 DEN,2200,1950,2200,1950,9,1091860,548,6
