МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.08.2009 ДО 31.08.2009 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Super kotacija - obi~ni akcii,,,,,,,,,
 Komercijalna banka Skopje,1000 DEN,2705,2374,2374,2650,183,15151498,5909,18
  Toplifikacija Skopje,"51,13 EUR",4350,3720,3720,4300,150,10222412,2586,18
Berzanska kotacija - obi~ni akcii,,,,,,,,,
  Alkaloid Skopje,"25,56 EUR",4754,4401,4450,4565,298,21136662,4632,19
  Beton Skopje,"255,65 EUR",9600,9000,9000,9600,15,1176500,129,8
  Vitaminka Prilep,50 EUR,7000,7000,7000,7000,1,203000,29,1
  Granit Skopje,5 EUR,651,600,605,630,174,9172263,14642,18
  @ito Luks Skopje,"35,79 EUR",230,200,230,200,7,125490,615,6
  @ito Vardar Veles,"51,13 EUR",2464,2001,2001,2464,2,55432,24,2
  ZK Pelagonija Bitola,"51,13 EUR",4100,3700,3700,4000,23,1553785,403,9
  Mako{ped Skopje,1000 DEN,350,320,350,350,6,145900,419,4
  Hoteli Metropol Ohrid,5 EUR,200,185,190,200,9,1747070,8764,7
  Makpetrol Skopje,"511,29 EUR",40000,37500,37705,38300,74,5993421,155,17
  Makedonijaturist Skopje,"25,56 EUR",2800,2750,2800,2800,11,3567600,1292,6
  Ohridska banka Ohrid,2650 DEN,2000,1950,1950,2000,7,317250,160,4
  OHIS Skopje,"51,12 EUR",222,213,221,213,6,63245,289,5
  Replek Skopje,"562,42 EUR",48000,46700,46700,46700,25,3616680,76,12
  R@ Ekonomika Skopje,10 DEM,60,60,60,60,2,3060,51,1
  R@ Institut Skopje,10 DEM,382,382,382,382,2,4966,13,1
  R@ Inter-Trans{ped Skopje,"5,11 EUR",58,56,58,56,6,34040,590,4
  R@ Uslugi Skopje,"5,11 EUR",280,220,240,278,24,964790,3613,8
  Stopanska banka Bitola,3000 DEN,3330,3150,3200,3213,50,2782283,852,15
  Skopski Pazar Skopje,"51,13 EUR",10500,9001,10000,10500,9,498002,49,5
  Makstil Skopje,"5,11 EUR",179,150,150,165,39,1437095,8708,15
  Teteks Tetovo,"50,4 EUR",555,450,455,555,11,1085870,2334,5
  Vinarska vizba Tikve{ Skopje,"51,13 EUR",2700,2700,2700,2700,1,27000,10,1
  TTK Banka AD Skopje,1000 DEN,810,780,800,810,10,338280,420,6
  Fer{ped Skopje,37400 DEN,57480,50000,51000,57480,5,548380,10,4
Berzanska kotacija - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,1 EUR,94.3,90,90.1,93.6,41,5042489,88772,16
  R.Makedonija - denacionalizacija 01,1 EUR,90,90,90,90,1,143973,2615,1
  R.Makedonija - denacionalizacija 02,1 EUR,88,88,88,88,3,683251,12692,1
  R.Makedonija - denacionalizacija 03,1 EUR,87,82,84,82,19,8022316,152053,13
  R.Makedonija - denacionalizacija 04,1 EUR,85,83,83,85,11,6585641,127389,7
  R.Makedonija - denacionalizacija 05,1 EUR,83,81,81,83,8,5122872,101860,4
  R. Makedonija - denacionalizacija 06,1 EUR,81.5,76,79,81.5,11,8642689,173665,6
  R.Makedonija - denacionalizacija 07,1 EUR,79,77,78,79,18,6472838,134815,8
  R. Makedonija - denacionalizacija 08,1 EUR,78,76,77,76.9,154,29246417,620791,18
Vkupno Oficijalen pazar,,,,,,1416,151934460,1471426,
Redoven pazar,,,,,,,,,
Pazar na javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
  Ading Skopje,"9,98 EUR",460,450,450,460,2,182000,400,2
  Automakedonija Skopje,"44,48 EUR",2300,2200,2200,2300,2,66300,29,2
  Rudnici Bawani Skopje,50 DEM,600,600,600,600,2,87600,146,2
  Beton [tip,25 EUR,1050,1050,1050,1050,3,145950,139,1
  IDEVELOP Skopje,1 EUR,20,20,20,20,2,160000,8000,2
  ICN-Farm AD Skopje,"9,13 EUR",260,200,200,260,3,84000,330,1
  R@ KPOR Skopje,10 DEM,100,100,100,100,2,2100,21,1
  Metalec Prilep,"4,26 EUR",133,111,111,133,3,99810,810,2
  MZT Pumpi Skopje,51 EUR,600,600,600,600,1,15000,25,1
  POLI MZT Skopje,"51,13 EUR",4000,3600,4000,3600,15,2045600,513,7
  OKTA Skopje,"51,12 EUR",2880,2432,2432,2880,12,413658,154,9
  Popova Kula Demir Kapija,"61,5 DEN",30,26,28,29,6,179490,6523,6
  Prilepska Pivarnica Prilep,125 EUR,8000,7300,7300,8000,7,1144632,152,4
  Rade Kon~ar Skopje,25 EUR,920,800,920,900,8,4594360,5709,3
  Arcelormittal Skopje (CRM) Skopje,"5,11 EUR",120,103,103,120,19,376844,3262,8
  Arcelormittal Skopje (HRM) Skopje,"5,11 EUR",125,105,110,125,20,735635,6376,11
  R@ Tehni~ka kontrola Skopje,"5,11 EUR",210,204,204,210,3,5634,27,2
  R@ Ugotur Skopje,10 DEM,50,35,35,50,2,1920,45,1
  Sileks Kratovo,85 DEM,65,65,65,65,1,35750,550,1
  Stopanska banka Skopje,"201,10 DEN",236,211,216,230,75,6408194,29024,14
  Makedonski Telekom Skopje,100 DEN,415,375,375,410,153,7773658,19834,18
  TK Boro P.-Papu~ar Kumanovo,"15,34 EUR",1598,1598,1598,1598,2,108664,68,2
  Tutunska banka Skopje,1000 DEN,4350,3900,3920,4260,39,3399777,832,15
  Fustelarko Borec Bitola,"33,24 EUR",500,500,500,500,1,92000,184,1
  FZC 11 Oktomvri Kumanovo,"51,13 EUR",1258,1050,1050,1258,8,700005,583,4
Pazar na javno poseduvani dru{tva - prioritetni akcii,,,,,,,,,
  Stopanska banka Skopje,400 DEN,400,322,400,322,2,31542,81,2
Sloboden pazar - obi~ni akcii,,,,,,,,,
  Kosta Abra{ Ohrid,"51,13 EUR",500,500,500,500,2,50000,100,1
  Agro Kumanovo Kumanovo,"51,13 EUR",2750,2500,2500,2750,2,10737500,3995,2
  Bentokvarc Kriva Palanka,350 DEM,130,130,130,130,1,31460,242,1
  Vardar osiguruvawe Skopje,50 EUR,10000,10000,10000,10000,2,90000,9,2
  Goldgrape - Tikve{ AD Kavadarci,"2663,42 DEN",482,482,482,482,2,1200180,2490,2
  ZUM SKopje,10 DEM,1223,1223,1223,1223,1,563803,461,1
  Ilinden Skopje,100 DEM,1001,1001,1001,1001,1,2002,2,1
  Karnomak s.Porodin,1 EUR,20,20,20,20,1,2000,100,1
  Kartontekst Sveti Nikole,100 DEM,3194,3194,3194,3194,2,1852520,580,2
  KVATRO KOMPANI AD [tip,"5,11 EUR",315,315,315,315,1,2835,9,1
  KOMPANI BOEM AD [tip,"5,11 EUR",315,315,315,315,1,2835,9,1
  FHL Mermeren kombinat Prilep,1 EUR,351,280,280,351,5,6565660,22994,3
  Makpetrol-Tema AD Skopje,10 DEM,20,20,20,20,1,1600,80,1
  Osiguritelna polisa Skopje,10 EUR,615,615,615,615,1,2212155,3597,1
  Pekabesko Skopje,46 EUR,2250,2000,2250,2050,11,1288950,638,4
  R@ Troska Skopje,10 DEM,300,300,300,300,4,3600,12,4
  Sipo Sigurnosni pojasi Ohrid,100 DEM,3000,3000,3000,3000,1,63000,21,1
  Solun 2001 Gevgelija,5 EUR,305,305,305,305,8,788425,2585,5
  FAVORIT VM AD [tip,"5,11 EUR",315,315,315,315,1,2835,9,1
Vkupno Redoven pazar,,,,,,441,54351483,121750,
Vkupno site pazari,,,,,,1857,206285943,,
BLOKOVI,,,,,,,,,
Redoven pazar,,,,,,,,,
Sloboden pazar - obi~ni akcii,,,,,,,,,
Osiguritelna polisa Skopje,,,,,614.5,,6145000,10000,
