МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.06.2014 ДО 30.06.2014 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,2499,2040,2380,2100,384,102460986,43529,20
Топлификација Скопје,51.13 EUR,929,800,860,815,15,432197,502,7
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,4482,4300,4400,4370,164,41471995,9382,19
Бетон Скопје,255.65 EUR,4050,3929,4050,3950,9,571956,144,7
Фершпед Скопје,37400.00 MKD,60000,60000,60000,60000,7,360000,6,3
Гранит Скопје,5.00 EUR,420,390,420,419,53,2408070,5947,17
Дуропацк АД Скопје,25.56 EUR,495,495,495,495,4,293040,592,2
Хотели Метропол Охрид,5.00 EUR,126,126,126,126,1,63000,500,1
Макпетрол Скопје,511.29 EUR,23000,18800,22600,19000,83,5143161,245,19
Македонијатурист Скопје,25.56 EUR,3100,3060,3100,3060,23,3446480,1123,12
Охридска банка АД Скопје,2650.00 MKD,961,932,961,960,18,3056750,3187,8
ОХИС Скопје,51.12 EUR,20,20,20,20,3,22000,1100,2
Реплек Скопје,562.42 EUR,45000,44500,44500,45000,8,2012000,45,4
РЖ Интер-Трансшпед Скопје,5.11 EUR,25,25,25,25,2,1450,58,2
РЖ Услуги Скопје,5.11 EUR,103,103,103,103,2,444136,4312,1
Стопанска банка Битола,3000.00 MKD,1339,1200,1339,1235,32,1931718,1501,13
Скопски Пазар Скопје,51.13 EUR,7450,7171,7171,7400,11,958742,132,5
Макстил Скопје,5.11 EUR,87,77,85,82,35,908353,11441,14
Тетекс Тетово,50.40 EUR,635,635,635,635,4,191135,301,2
ТТК Банка АД Скопје,1000.00 MKD,690,611,690,611,6,229245,350,3
Витаминка Прилеп,52.36 EUR,5851,5851,5851,5851,1,23404,4,1
ЗК Пелагонија Битола,70.21 EUR,2472,2400,2400,2472,2,53880,22,2
Берзанска котација - обврзници,,,,,,,,,
Р.Македонија - денационализација 05,1.00 EUR,97,97,97,97,1,1246328.58,20831,1
Р. Македонија - денационализација 08,1.00 EUR,94,94,94,94,1,277905.57,4793,1
Р. Македонија - денационализација 09,1.00 EUR,92.5,92.5,92.5,92.5,4,3838106.98,67270,2
Р. Македонија - денационализација 11,1.00 EUR,91.5,88.4,91.5,89.2,15,786406.79,14093,7
Р. Македонија - денационализација 12,1.00 EUR,92,89.5,89.5,92,4,719478.05,12870,3
Задолжителна котација - обични акции,,,,,,,,,
Агро Куманово Куманово,53.72 EUR,2152,2152,2152,2152,2,12343872,5736,1
Ангропромет-Тиквешанка Кавадарци,50.00 EUR,750,750,750,750,1,75000,100,1
Аутомакедонија Скопје,44.48 EUR,1300,1300,1300,1300,1,192400,148,1
Рудници Бањани Скопје,50.00 DEM,550,550,550,550,1,60500,110,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,250,250,250,250,2,22500,90,2
Единство Тетово,5.11 EUR,145,145,145,145,1,33640,232,1
Фустеларко Борец Битола,33.24 EUR,746,746,746,746,1,4476,6,1
Лотарија на Македонија Скопје,51.03 EUR,250,250,250,250,3,22000,88,2
АДУТ Македонија Битола,51.13 EUR,1000,1000,1000,1000,1,17000,17,1
ОКТА Скопје,51.12 EUR,500,500,500,500,1,26000,52,1
Трикотажа Пелистер Битола,35.00 EUR,160,160,160,160,1,16160,101,1
Попова Кула Демир Капија,61.50 MKD,17,17,17,17,3,48620,2860,3
Прилепска Пиварница Прилеп,125.00 EUR,11440,11370,11370,11440,2,137070,12,1
Раде Кончар Скопје,25.00 EUR,1330,1330,,1330,4,736820,554,2
РЖ Економика Скопје,10.00 DEM,30,30,30,30,2,37050,1235,1
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,33,28,30,28,5,86954,2903,4
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,42,40,42,40,6,145329,3559,5
Славеј Скопје,50.00 EUR,3056,3056,3056,3056,1,91680,30,1
Стопанска банка Скопје,201.10 MKD,213,204,204,204,22,1034812,4930,10
Македонски Телеком Скопје,100.00 MKD,290,270,285,290,37,1945105,6840,14
НЛБ Тутунска банка Скопје,1000.00 MKD,3394,3040,3040,3300,20,2025604,616,9
Цементарница УСЈЕ Скопје,3100.00 MKD,15800,15800,15800,15800,1,189600,12,1
Ветекс Велес,51.13 EUR,945,945,945,945,1,276885,293,1
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,273,273,273,273,1,39585,145,1
Вкупно Официјален пазар,,,,,,1012,192960585.97,234949,
Редовен пазар,,,,,,,,,
Пазар на акционерски друштва со посебни обврски за известување - обични акции,,,,,,,,,
АДГ Пелагонија Скопје,250.00 EUR,500,500,500,500,1,1000,2,1
Слободен пазар - обични акции,,,,,,,,,
Атом Скопје,99.98 EUR,325,316,316,325,5,27454,85,5
АТП Пролетер Крива Паланка,50.00 EUR,307,307,307,307,1,7061,23,1
Ф-ка за шеќер 4ти Ноември Битола,50.00 EUR,,,,1226,1,0,0,1
Град. институт Македонија Скопје,51.12 EUR,6500,6500,6500,6500,1,585000,90,1
Козјак Куманово,25.60 EUR,200,200,200,200,4,4282800,21414,2
Квасара Битола,51.13 EUR,8000,8000,8000,8000,1,16000,2,1
Просветно дело Скопје,51.13 EUR,1600,1600,1600,1600,1,603200,377,1
Реинг Скопје,10.00 DEM,12000,12000,12000,12000,1,600000,50,1
РЖ Инжинеринг Скопје,10.00 DEM,615,615,615,615,2,1230,2,2
Солун 2001 Гевгелија,5.00 EUR,300,300,300,300,2,207600,692,2
Унионмак Кавадарци,100.00 DEM,350,350,350,350,1,2800,8,1
Еуро Ленд Скопје,50.00 EUR,,,,87,1,0,0,1
Жито леб Охрид,100.00 DEM,3059,3059,3059,3059,3,605682,198,1
Вкупно Редовен пазар,,,,,,25,6939827,22943,
Вкупно сите пазари ,,,,,,1037,199900412.97,257892,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,,,,,4482,,23848722,5321,
Алкалоид Скопје,,,,,4550,,45500000,10000,
Фершпед Скопје,,,,,273000,,57057000,209,
Фершпед Скопје,,,,,273600,,93024000,340,
Фершпед Скопје,,,,,267900,,120019200,448,
Фершпед Скопје,,,,,296000,,74000000,250,
Фершпед Скопје,,,,,280000,,70000000,250,
ТТК Банка АД Скопје,,,,,698,,21872528,31336,
Задолжителна котација - обични акции,,,,,,,,,
Раде Кончар Скопје,,,,,1300,,2275000,1750,
Раде Кончар Скопје,,,,,1300,,1391000,1070,
Раде Кончар Скопје,,,,,1300,,1443000,1110,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Ф-ка за шеќер 4ти Ноември Битола,,,,,1048.56,,15979005.84,15239,
Еуро Ленд Скопје,,,,,149.21,,5286808.72,35432,
