МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.04.2014 ДО 30.04.2014 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,1898,1700,1730,1801,155,19429494,10798,19
Топлификација Скопје,51.13 EUR,860,791,835,791,18,493758,596,10
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,4649,4300,4649,4370,94,16773171,3734,19
Бетон Скопје,255.65 EUR,3950,3800,3800,3950,4,294420,75,3
Фершпед Скопје,37400.00 MKD,77900,71500,77900,71500,4,599100,8,3
Гранит Скопје,5.00 EUR,435,377,380,410,94,6795234,16913,19
Дуропацк АД Скопје,25.56 EUR,495,495,495,495,1,241560,488,1
Макошпед Скопје,1000.00 MKD,93,93,93,93,1,27900,300,1
Хотели Метропол Охрид,5.00 EUR,117,117,117,117,1,1170,10,1
Макпетрол Скопје,511.29 EUR,25684,24500,25015,25000,170,38869153,1555,20
Македонијатурист Скопје,25.56 EUR,3450,3250,3449,3250,29,4780662,1395,9
Охридска банка АД Скопје,2650.00 MKD,913,900,910,900,7,109255,120,2
Реплек Скопје,562.42 EUR,48800,48300,48300,48800,6,680506,14,5
РЖ Услуги Скопје,5.11 EUR,75,73,73,75,8,135700,1836,4
Стопанска банка Битола,3000.00 MKD,1497,1450,1450,1453,3,68950,47,2
Скопски Пазар Скопје,51.13 EUR,5875,4688,4688,5875,9,716865,138,6
Макстил Скопје,5.11 EUR,75,68,69,75,29,637926,9041,14
Технометал Вардар Скопје,51.13 EUR,515,515,515,515,1,515,1,1
Тетекс Тетово,50.40 EUR,620,560,560,620,12,365081,607,5
ТТК Банка АД Скопје,1000.00 MKD,700,700,700,700,2,85400,122,2
Витаминка Прилеп,52.36 EUR,6000,6000,6000,6000,1,48000,8,1
ЗК Пелагонија Битола,70.21 EUR,2575,2550,2575,2575,12,5346600,2077,5
Берзанска котација - обврзници,,,,,,,,,
Р.Македонија - денационализација 04,1.00 EUR,98,98,98,98,1,175429.67,2902,1
Р.Македонија - денационализација 05,1.00 EUR,97,97,97,97,1,71567.8,1196,1
Р. Македонија - денационализација 06,1.00 EUR,96.4,96.4,96.4,96.4,1,71191.62,1197,1
Р.Македонија - денационализација 07,1.00 EUR,95,94,94,95,9,829789.01,14249,5
Р. Македонија - денационализација 09,1.00 EUR,93,92,92,93,5,822552.02,14360,3
Р. Македонија - денационализација 11,1.00 EUR,92.1,92,92,92,7,676314.51,11914,5
Р. Македонија - денационализација 12,1.00 EUR,93,93,93,93,9,517708.33,9024,7
Задолжителна котација - обични акции,,,,,,,,,
Ангропромет-Тиквешанка Кавадарци,50.00 EUR,750,750,750,750,4,26250,35,1
Рудници Бањани Скопје,50.00 DEM,550,550,550,550,1,87450,159,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,303,291,303,291,8,232994,790,8
Единство Тетово,5.11 EUR,145,145,145,145,1,19575,135,1
Карпош Скопје,17.04 EUR,150,150,150,150,1,36000,240,1
Пелистерка АД Скопје,51.00 EUR,,,,2100,1,0,0,1
Огражден Струмица,50.00 EUR,1250,1250,1250,1250,1,152500,122,1
ОКТА Скопје,51.12 EUR,480,457,480,457,8,159681,335,5
Попова Кула Демир Капија,61.50 MKD,17,17,17,17,2,45560,2680,2
Прилепска Пиварница Прилеп,125.00 EUR,10712,10500,10712,10700,5,446720,42,3
Раде Кончар Скопје,25.00 EUR,1290,1290,1290,1290,1,12900,10,1
РЖ Економика Скопје,10.00 DEM,30,30,30,30,1,7560,252,1
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,30,28,30,28,4,21600,750,3
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,43,41,42,43,6,139495,3285,4
РЖ Техничка контрола Скопје,5.11 EUR,400,400,400,400,1,400,1,1
Стопанска банка Скопје,201.10 MKD,185,185,185,185,2,111000,600,1
Тајмиште Кичево,100.00 DEM,1550,1550,1550,1550,1,7750,5,1
Македонски Телеком Скопје,100.00 MKD,351,291,347,291,71,4665677,14060,11
НЛБ Тутунска банка Скопје,1000.00 MKD,2595,2500,2501,2590,20,3107007,1225,8
Транскоп-Патнички сооб. Битола,51.13 EUR,1000,1000,1000,1000,1,53000,53,1
Трготекстил малопродажба Скопје,5.11 EUR,,,,101,2,0,0,2
Универзална Инвестициона Банка Скопје,1000.00 MKD,670,670,670,670,3,187600,280,3
Цементарница УСЈЕ Скопје,3100.00 MKD,16000,15000,15000,16000,5,142000,9,2
Триглав осигурување Скопје,50.00 EUR,3900,3820,3820,3900,2,1294480,332,2
Ветекс Велес,51.13 EUR,945,945,945,945,1,359100,380,1
Вкупно Официјален пазар,,,,,,847,110981271.96,130505,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Коста Абраш Охрид,51.13 EUR,600,600,600,600,1,32400,54,1
Монтана бизнис Битола,51.13 EUR,,,,300,2,0,0,2
Квасара Битола,51.13 EUR,8090,8090,8090,8090,1,80900,10,1
Индустриски ладилник Тетово,4.03 EUR,180,180,180,180,2,126000,700,2
Лирак Тетово,190.00 DEM,1235,1235,1235,1235,2,1342445,1087,1
