МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.05.2011 ДО 31.05.2011 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,3850,3699,3700,3850,177,37162229,9950,20
Топлификација Скопје,51.13 EUR,4100,3625,3625,4088,205,17471966,4514,20
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,4599,4271,4451,4550,273,31437350,7136,20
Бетон Скопје,255.65 EUR,7850,7100,7100,7850,42,1907098,262,14
ЕМО Охрид,30.68 EUR,120,120,120,120,1,15600,130,1
Фершпед Скопје,37400.00 MKD,56650,52501,52501,56650,14,874593,16,8
Гранит Скопје,5.00 EUR,630,565,565,630,188,13301720,22392,20
Комуна Скопје,25.56 EUR,481,455,456,470,14,726128,1582,6
Макошпед Скопје,1000.00 MKD,220,220,220,220,1,13200,60,1
Хотели Метропол Охрид,5.00 EUR,222,222,222,222,3,297702,1341,2
Макпетрол Скопје,511.29 EUR,28700,24000,25000,28100,131,8256705,313,18
Македонијатурист Скопје,25.56 EUR,2900,2800,2810,2900,21,1992236,701,11
Охридска банка Охрид,2650.00 MKD,1715,1636,1653,1715,19,794706,478,9
Реплек Скопје,562.42 EUR,42000,39000,42000,42000,33,3729857,92,11
РЖ Институт Скопје,5.11 EUR,412,400,401,401,5,40884,102,4
РЖ Интер-Трансшпед Скопје,5.11 EUR,70,60,60,70,4,56600,860,2
РЖ Услуги Скопје,5.11 EUR,270,243,243,266,74,2428461,9426,17
Стопанска банка Битола,3000.00 MKD,2899,2610,2610,2650,42,2915095,1100,16
Скопски Пазар Скопје,51.13 EUR,6301,6111,6301,6200,23,2028513,328,6
Макстил Скопје,5.11 EUR,213,193,195,209,184,6548017,32217,20
Тетекс Тетово,50.40 EUR,545,545,545,545,1,17985,33,1
Винарска визба Тиквеш Скопје,51.13 EUR,1658,1610,1620,1658,5,129680,80,3
ТТК Банка АД Скопје,1000.00 MKD,901,830,830,900,27,2779260,3193,11
Жито Лукс Скопје,35.79 EUR,170,170,170,170,2,18700,110,1
ЗК Пелагонија Битола,52.69 EUR,2392,2111,2111,2301,6,406347,181,4
Берзанска котација - приоритетни акции,,,,,,,,,
Стопанска Банка Битола,3000.00 MKD,2500,2500,2500,2500,1,2500,1,1
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - девизни влогови,1.00 EUR,98.5,98,98.2,98.5,7,673137.36,11141,5
Р.Македонија - денационализација 02,1.00 EUR,95.8,95.8,95.8,95.8,1,100933.03,1713,1
Р.Македонија - денационализација 03,1.00 EUR,95.6,95,95,95.6,3,528568.87,8988,3
Р.Македонија - денационализација 04,1.00 EUR,93.5,93.5,93.5,93.5,1,10985.89,191,1
Р.Македонија - денационализација 05,1.00 EUR,92,91.1,91.1,92,2,203248.92,3596,2
Р. Македонија - денационализација 06,1.00 EUR,90.1,90,90,90.1,2,271989.08,4913,2
Р.Македонија - денационализација 07,1.00 EUR,88.6,88.4,88.4,88.6,2,65220.39,1199,2
Р. Македонија - денационализација 08,1.00 EUR,89.1,88.2,88.2,89,8,823899.3,15084,4
Р. Македонија - денационализација 09,1.00 EUR,88,87.3,87.3,87.5,25,7646189.05,141597,11
Р. Македонија - денационализација 10,1.00 EUR,86.5,85,85.5,86.5,249,67763394.84,1280409,20
Вкупно Официјален пазар,,,,,,1796,213440698.73,1565429,
Редовен пазар,,,,,,,,,
Пазар на акционерски друштва со посебни обврски за известување - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,400,340,340,400,6,2763576,6924,3
Агромеханика Скопје,50.00 EUR,550,550,550,550,3,57750,105,1
Ангропромет-Тиквешанка Кавадарци,50.00 EUR,700,700,700,700,1,70000,100,1
Бетон Штип,25.00 EUR,1000,950,950,1000,4,176250,185,3
ФЗЦ 11 Октомври Куманово,51.13 EUR,740,700,700,730,23,893291,1251,12
АДУТ Македонија Битола,51.13 EUR,1000,1000,1000,1000,1,17000,17,1
Макпромет Штип,51.13 EUR,570,570,570,570,1,290700,510,1
ОКТА Скопје,51.12 EUR,2174,2001,2160,2174,19,1072317,513,11
Пекабеско Скопје,46.00 EUR,4051,4051,4051,4051,1,202550,50,1
Прилепска Пиварница Прилеп,125.00 EUR,11200,10800,11000,11200,11,1990184,182,5
Раде Кончар Скопје,25.00 EUR,1850,1797,1797,1801,11,1320135,733,9
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,135,125,130,135,32,1031911,7835,8
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,137,126,126,133,39,1210484,9278,16
РЖ Техничка контрола Скопје,5.11 EUR,331,331,331,331,3,9930,30,3
Силекс Кратово,85.00 DEM,66,66,66,66,2,23100,350,1
Скопска Пивара Скопје,361.17 USD,21000,21000,21000,21000,2,63000,3,1
Солун 53 Гевгелија,5.00 EUR,305,305,305,305,1,305000,1000,1
Стопанска банка Скопје,201.10 MKD,211,200,201,205,24,1300545,6343,10
Струмица Табак Струмица,51.13 EUR,900,900,900,900,1,18000,20,1
Тајмиште Кичево,100.00 DEM,1550,1550,1550,1550,3,17050,11,1
Македонски Телеком Скопје,100.00 MKD,514,480,480,514,85,7277074,14630,19
Тутунска банка Скопје,1000.00 MKD,3700,3500,3500,3700,34,6379808,1794,11
Транскоп-Патнички сооб. Битола,51.13 EUR,600,600,600,600,1,16200,27,1
Универзална Инвестициона Банка Скопје,1000.00 MKD,516,500,500,516,5,91967,181,3
ЖАС Скопје,37.48 EUR,310,310,310,310,2,87420,282,1
Жито Полог Тетово,51.13 EUR,1900,1900,1900,1900,1,51300,27,1
Пазар на акционерски друштва со посебни обврски за известување - приор. акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,410,400,400,410,3,86510,213,3
Слободен пазар - обични акции,,,,,,,,,
Агро-Тиквеш Кавадарци,2663.43 MKD,1150,800,800,1150,2,50500,50,2
Металец Битола,51.13 EUR,1200,1200,1200,1200,3,127200,106,2
Единство Струга,2.50 EUR,61,61,61,61,1,15189,249,1
Градинар Охрид,100.00 DEM,310,310,310,310,2,33790,109,2
Илинден Струга,25.00 EUR,1550,1550,1550,1550,7,272800,176,1
Интекс Скопје,51.00 EUR,1503,1503,1503,1503,3,4509,3,1
Макметал Скопје,51.00 EUR,6323,6230,6323,6230,6,498215,79,2
Млекара Тетово,5.00 EUR,309,309,309,309,5,348552,1128,1
РЖ МРТТ Скопје,5.11 EUR,5,5,5,5,2,21495,4299,1
МЗТ Опрема за возила Скопје,50.00 EUR,660,660,660,660,1,44220,67,1
Охридска пастрмка Охрид,25.56 EUR,1550,1550,1550,1550,6,443300,286,2
Просветно дело Скопје,51.13 EUR,1600,1600,1600,1600,1,1128000,705,1
СОКОТАБ Битола,52.00 EUR,19680,19680,19680,19680,26,13461120,684,4
Текстил Скопје,102.26 EUR,5000,5000,5000,5000,2,475000,95,2
Вкупно Редовен пазар,,,,,,386,43746942,60630,
Вкупно сите пазари ,,,,,,2182,257187640.73,1626059,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,3720,,7440000,2000,
Комерцијална банка Скопје,,,,,3750,,7500000,2000,
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,,,,,4450,,3017100,678,
