МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.10.2010 ДО 29.10.2010 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,3150,2920,2970,3150,258,85041777,28332,20
Топлификација Скопје,51.13 EUR,3400,3115,3300,3115,125,10084950,3051,18
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,3700,3299,3299,3700,253,17121276,4796,20
Бетон Скопје,255.65 EUR,7000,6300,6790,6500,18,534670,81,9
ЕМО Охрид,30.68 EUR,107,107,107,107,1,16050,150,1
Фершпед Скопје,37400.00 MKD,41365,41000,41365,41100,19,2421266,59,9
Гранит Скопје,5.00 EUR,520,464,465,466,267,22459690,45323,20
Комуна Скопје,25.56 EUR,500,500,500,500,2,62000,124,2
Лотарија на Македонија Скопје,51.03 EUR,400,400,400,400,1,70000,175,1
Макошпед Скопје,1000.00 MKD,276,200,276,210,9,218024,976,6
Хотели Метропол Охрид,5.00 EUR,205,205,205,205,2,41000,200,1
Макпетрол Скопје,511.29 EUR,23498,21000,22273,21500,130,10457029,468,19
Македонијатурист Скопје,25.56 EUR,2400,2380,2381,2380,16,964856,404,8
Охридска банка Охрид,2650.00 MKD,1899,1810,1899,1810,5,159474,86,3
ОХИС Скопје,51.12 EUR,121,105,121,120,5,53900,460,4
Реплек Скопје,562.42 EUR,37500,36501,36501,37500,19,2208505,60,10
РЖ Економика Скопје,10.00 DEM,70,70,70,70,3,33950,485,2
РЖ Институт Скопје,10.00 DEM,400,370,370,400,2,4220,11,2
РЖ Интер-Трансшпед Скопје,5.11 EUR,60,60,60,60,1,24000,400,1
РЖ Услуги Скопје,5.11 EUR,230,215,216,215,17,474645,2142,11
Стопанска банка Битола,3000.00 MKD,2600,2400,2500,2451,54,3344805,1347,17
Скопски Пазар Скопје,51.13 EUR,7300,7000,7300,7000,10,1217700,172,5
Макстил Скопје,5.11 EUR,171,150,150,159,95,2312945,14550,20
Винарска визба Тиквеш Скопје,51.13 EUR,1700,1700,1700,1700,1,8500,5,1
ТТК Банка АД Скопје,1000.00 MKD,650,600,600,650,4,78462,128,3
Витаминка Прилеп,51.76 EUR,3900,3900,3900,3900,2,78000,20,1
ЗК Пелагонија Битола,52.69 EUR,2060,1900,1950,1900,40,2126145,1076,17
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - девизни влогови,1.00 EUR,97.5,96.5,96.5,97.3,36,8542685.14,142519,11
Р.Македонија - денационализација 02,1.00 EUR,93.5,91.5,92.6,93.5,7,919474.63,16037,5
Р.Македонија - денационализација 03,1.00 EUR,91,90.6,90.6,91,3,244567.9,4373,2
Р.Македонија - денационализација 04,1.00 EUR,89.5,88.1,89.5,88.1,8,1950815.55,35429,6
Р.Македонија - денационализација 05,1.00 EUR,87.5,86.5,87,87.5,15,7947800,148962,5
Р. Македонија - денационализација 06,1.00 EUR,86,85,85,85,7,619800.99,11746,6
Р.Македонија - денационализација 07,1.00 EUR,85.5,84,84,85.5,11,3493977.56,66501,7
Р. Македонија - денационализација 08,1.00 EUR,85,83.2,85,85,12,764344.18,14834,9
Р. Македонија - денационализација 09,1.00 EUR,85,81.1,81.5,84.8,171,30719564.71,594106,20
Вкупно Официјален пазар,,,,,,1629,216820869.66,1139588,
Редовен пазар,,,,,,,,,
Пазар на акционерски друштва со посебни обврски за известување - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,366,362,362,366,4,434800,1200,2
Живин. фарма Белимбегово Скопје,10.00 DEM,61,61,61,61,2,137921,2261,1
Бетон Штип,25.00 EUR,700,700,700,700,1,7000,10,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,680,650,650,650,20,529757,807,8
Алајанс Уан Македонија АД Кавадарци,51.13 EUR,3146,3146,3146,3146,2,279994,89,2
ИДЕВЕЛОП Скопје,1.00 EUR,18,18,18,18,1,36000,2000,1
Интерпромет Тетово,51.13 EUR,620,620,620,620,4,168640,272,1
Доматти Свети Николе,102.26 EUR,350,350,350,350,1,8750,25,1
КЈУБИ Македонија Скопје,51.13 EUR,450,420,420,450,9,180900,412,5
Пелистерка АД Скопје,51.00 EUR,1998,1940,1998,1940,3,163224,83,2
Машинопромет Скопје,25.56 EUR,255,255,255,255,1,15300,60,1
ОКТА Скопје,51.12 EUR,1811,1700,1811,1700,13,190922,109,6
Трикотажа Пелистер Битола,35.00 EUR,200,180,200,180,14,440000,2315,3
Попова Кула Демир Капија,61.50 MKD,22,20,21,20,11,68543,3340,7
Прилепска Пиварница Прилеп,125.00 EUR,9270,9180,9270,9180,3,248220,27,2
Раде Кончар Скопје,25.00 EUR,1854,1800,1834,1850,19,5293440,2931,9
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,129,114,125,114,9,199081,1625,8
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,125,110,123,111,10,275076,2286,5
Силекс Кратово,85.00 DEM,64,64,64,64,1,25600,400,1
Стопанска банка Скопје,201.10 MKD,200,189,200,189,23,1383684,7227,11
Тајмиште Кичево,100.00 DEM,1550,1550,1550,1550,2,17050,11,2
Македонски Телеком Скопје,100.00 MKD,450,398,398,440,183,9213111,21701,20
Тутунска банка Скопје,1000.00 MKD,3520,3300,3450,3300,58,3610477,1066,16
Транскоп-Патнички сооб. Битола,51.13 EUR,600,600,600,600,1,34800,58,1
Универзална Инвестициона Банка Скопје,1000.00 MKD,485,480,485,480,11,383725,798,4
Цементарница УСЈЕ Скопје,3100.00 MKD,15500,15100,15101,15450,9,859305,56,7
ЖАС Скопје,37.48 EUR,320,320,320,320,1,960,3,1
Пазар на акционерски друштва со посебни обврски за известување - приор. акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,347,335,347,335,11,207367,609,4
Слободен пазар - обични акции,,,,,,,,,
Димче Мирчев Велес,51.13 EUR,610,610,610,610,2,244610,401,1
Макпетрол-Тема АД Скопје,10.00 DEM,31,31,31,31,2,6200,200,2
Осигурителна полиса Скопје,10.00 EUR,860,810,810,860,4,347140,424,2
Просветно дело Скопје,51.13 EUR,1600,1600,1600,1600,5,1291200,807,5
Солун 2001 Гевгелија,5.00 EUR,200,100,100,200,2,60000,400,2
ЗТД Сточарство Богданци,100.00 DEM,3100,3100,3100,3100,1,195300,63,1
Топлификација Одржување Скопје,30.70 EUR,24000,24000,24000,24000,2,48000,2,2
Туртел Штип,5.00 EUR,170,170,170,170,1,169490,997,1
Ветеринарно сточарски центар Куманово,5.00 EUR,160,152,152,160,2,359288,2298,2
Вкупно Редовен пазар,,,,,,448,27134875,57373,
Вкупно сите пазари ,,,,,,2077,243955744.66,1196961,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,3050,,7625000,2500,
Комерцијална банка Скопје,,,,,3130,,7139530,2281,
