МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.11.2010 ДО 30.11.2010 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,3302,3140,3150,3200,291,48744279,15095,22
Топлификација Скопје,51.13 EUR,3295,3050,3150,3200,138,8941554,2797,22
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,3999,3650,3650,3800,366,38365147,9927,22
Бетон Скопје,255.65 EUR,6895,6450,6450,6600,16,604264,91,8
ЕМО Охрид,30.68 EUR,106,106,106,106,2,21200,200,1
Фершпед Скопје,37400.00 MKD,41851,41750,41750,41851,2,125452,3,2
Гранит Скопје,5.00 EUR,540,468,470,510,286,17745765,35733,22
Комуна Скопје,25.56 EUR,375,360,375,360,7,247002,678,4
Лотарија на Македонија Скопје,51.03 EUR,451,451,451,451,2,15785,35,1
Макотекс Скопје,35.90 EUR,50,50,50,50,1,5950,119,1
Макошпед Скопје,1000.00 MKD,207,200,201,204,14,327561,1621,7
Хотели Метропол Охрид,5.00 EUR,201,200,200,200,9,281195,1405,5
Макпетрол Скопје,511.29 EUR,24800,21511,21511,24500,83,5518074,231,19
Македонијатурист Скопје,25.56 EUR,2401,2381,2381,2400,19,6002480,2501,8
Охридска банка Охрид,2650.00 MKD,1890,1840,1840,1890,4,566550,305,3
ОХИС Скопје,51.12 EUR,115,100,100,115,2,21800,200,2
Реплек Скопје,562.42 EUR,38500,37345,38500,37345,6,449295,12,4
РЖ Институт Скопје,10.00 DEM,350,350,350,350,1,1400,4,1
РЖ Интер-Трансшпед Скопје,5.11 EUR,60,60,60,60,1,25200,420,1
РЖ Услуги Скопје,5.11 EUR,232,215,215,226,23,546713,2445,13
Стопанска банка Битола,3000.00 MKD,2899,2500,2500,2750,56,3976553,1487,17
Скопски Пазар Скопје,51.13 EUR,7100,6930,7100,6950,9,1720590,247,3
Макстил Скопје,5.11 EUR,173,159,159,163,81,3179870,19189,21
Тетекс Тетово,50.40 EUR,515,402,500,402,8,111390,224,4
Винарска визба Тиквеш Скопје,51.13 EUR,1600,1600,1600,1600,2,48000,30,2
ТТК Банка АД Скопје,1000.00 MKD,850,707,707,775,24,1357719,1729,11
Витаминка Прилеп,51.76 EUR,4310,4000,4000,4310,7,256530,61,4
ЗК Пелагонија Битола,52.69 EUR,1950,1900,1950,1950,17,2801690,1438,10
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - девизни влогови,1.00 EUR,97.9,97.5,97.6,97.5,16,2015284.49,33531,11
Р.Македонија - денационализација 02,1.00 EUR,93.3,90.6,92,90.6,3,452366.11,7917,3
Р.Македонија - денационализација 03,1.00 EUR,93,89.7,91,91,15,2948724.65,52027,10
Р.Македонија - денационализација 04,1.00 EUR,91.5,88,90,91.5,27,7950116.01,142400,13
Р.Македонија - денационализација 05,1.00 EUR,89.1,89,89,89.1,2,208459.32,3800,2
Р. Македонија - денационализација 06,1.00 EUR,87.5,85,85,86,7,442243.85,8373,4
Р.Македонија - денационализација 07,1.00 EUR,86.5,84,85.5,86.5,8,4395869.94,83293,6
Р. Македонија - денационализација 08,1.00 EUR,85.2,84,85,85,35,12435159.93,237571,16
Р. Македонија - денационализација 09,1.00 EUR,87,83,84.5,86,200,111999188.27,2157470,21
Вкупно Официјален пазар,,,,,,1790,284856420.57,2824609,
Редовен пазар,,,,,,,,,
Пазар на акционерски друштва со посебни обврски за известување - обични акции,,,,,,,,,
Ангропромет-Тиквешанка Кавадарци,50.00 EUR,700,700,700,700,1,35000,50,1
Аутомакедонија Скопје,44.48 EUR,2100,2100,2100,2100,1,4200,2,1
Бетон Штип,25.00 EUR,800,700,700,800,7,354500,468,4
ФЗЦ 11 Октомври Куманово,51.13 EUR,715,650,650,670,17,580149,853,11
Централна кооперативна банка Скопје,41.21 EUR,1000,1000,1000,1000,1,1000,1,1
Единство Струмица,70.00 DEM,400,400,400,400,23,855600,2139,4
Елмар Штип,10.00 DEM,31,31,31,31,6,202213,6523,1
ИДЕВЕЛОП Скопје,1.00 EUR,15,13,13,15,6,146745,10283,4
Интерпромет Тетово,51.13 EUR,620,620,620,620,7,196540,317,1
КЈУБИ Македонија Скопје,51.13 EUR,471,424,424,457,14,714208,1541,11
Пелистерка АД Скопје,51.00 EUR,1900,1887,1887,1900,9,379038,200,5
АДУТ Македонија Битола,51.13 EUR,1000,1000,1000,1000,2,24000,24,1
Мермерен комбинат Прилеп,1.00 EUR,250,250,250,250,1,1750,7,1
Машинопромет Скопје,25.56 EUR,260,260,260,260,2,18200,70,1
