МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.11.2015 ДО 30.11.2015 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,2250,1941,2005,2172,257,35640781,17394,21
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,5500,5100,5103,5402,159,24613561,4633,21
Бетон Скопје,255.65 EUR,6850,5780,5780,6850,12,749083,124,5
Фершпед Скопје,37400.00 MKD,40500,38000,40500,39000,5,779500,20,3
Гранит Скопје,5.00 EUR,485,470,484,480,52,3978815,8306,19
ДС Смитх АД Скопје,25.56 EUR,495,495,495,495,2,144540,292,2
Макошпед Скопје,1000.00 MKD,100,100,100,100,1,5000,50,1
Хотели Метропол Охрид,5.00 EUR,173,165,165,173,8,90690,540,3
Макпетрол Скопје,511.29 EUR,18000,17000,18000,17000,31,1597796,91,13
Македонијатурист Скопје,25.56 EUR,3748,3600,3701,3748,19,1292222,349,8
Охридска банка АД Скопје,2650.00 MKD,2450,2056,2056,2420,21,1817962,800,11
Реплек Скопје,562.42 EUR,43650,42000,43650,43000,4,770950,18,4
РЖ Интер-Трансшпед Скопје,5.11 EUR,25,25,25,25,1,325,13,1
РЖ Услуги Скопје,5.11 EUR,99,80,99,80,8,106170,1284,5
Стопанска банка Битола,3000.00 MKD,1130,1000,1053,1099,52,3098860,2949,12
Скопски Пазар Скопје,51.13 EUR,8242,7200,7802,8000,46,9954241,1280,12
Макстил Скопје,5.11 EUR,64,55,64,55,19,294755,5105,11
Тетекс Тетово,50.40 EUR,655,625,640,655,8,504335,782,5
Винарска визба Тиквеш Скопје,51.13 EUR,1900,1711,1711,1900,2,76587,42,2
Топлификација Скопје,51.13 EUR,555,534,555,550,17,833108,1522,9
ТТК Банка АД Скопје,1000.00 MKD,599,453,526,599,19,66411488,146434,8
Витаминка Прилеп,52.78 EUR,8500,8350,8500,8500,9,718280,85,5
Жито Лукс Скопје,35.79 EUR,59,59,59,59,1,66434,1126,1
ЗК Пелагонија Битола,70.21 EUR,1600,1600,1600,1600,5,985600,616,1
Берзанска котација - приоритетни акции,,,,,,,,,
Скопски пазар Скопје,51.13 EUR,2071,2071,2071,2071,5,559170,270,2
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 06,1.00 EUR,98.4,95.5,97.1,98.4,4,297321.82,4931,4
Р.Македонија - денационализација 07,1.00 EUR,97.8,95,95,97.8,2,68651.46,1156,2
Р. Македонија - денационализација 08,1.00 EUR,97,93,93,97,4,354887.57,6036,4
Р. Македонија - денационализација 09,1.00 EUR,96.9,96,96,96.9,4,577159.21,9712,3
Р. Македонија - денационализација 10,1.00 EUR,94,94,94,94,1,5680.08,98,1
Р. Македонија - денационализација 11,1.00 EUR,96,92.3,95,96,3,358157.12,6092,3
Р. Македонија - денационализација 12,1.00 EUR,95.1,92.4,95.1,92.4,3,261559.33,4517,2
