МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.08.2015 ДО 31.08.2015 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,1849,1750,1800,1800,117,16255460,9029,19
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,4981,4855,4855,4890,173,31033774,6321,19
Гранит Скопје,5.00 EUR,490,461,485,461,50,9276472,19525,18
Дуропацк АД Скопје,25.56 EUR,495,495,495,495,2,70290,142,1
Макошпед Скопје,1000.00 MKD,111,111,111,111,1,144300,1300,1
Макпетрол Скопје,511.29 EUR,19999,18500,18515,19000,72,6405250,335,15
Македонијатурист Скопје,25.56 EUR,3600,3450,3450,3600,14,3803600,1058,7
Охридска банка АД Скопје,2650.00 MKD,1968,1810,1810,1909,10,542690,291,5
Реплек Скопје,562.42 EUR,50000,47600,50000,47600,10,2804007,58,5
РЖ Интер-Трансшпед Скопје,5.11 EUR,25,25,25,25,1,1625,65,1
РЖ Услуги Скопје,5.11 EUR,68,61,68,61,4,32540,530,2
Стопанска банка Битола,3000.00 MKD,1210,1110,1210,1143,8,463858,403,7
Скопски Пазар Скопје,51.13 EUR,8345,7801,,8001,16,2033983,251,8
Макстил Скопје,5.11 EUR,76,68,74,68,7,125940,1740,4
Тетекс Тетово,50.40 EUR,660,600,660,618,8,306580,488,5
Топлификација Скопје,51.13 EUR,630,615,629,615,8,138560,221,5
Витаминка Прилеп,52.78 EUR,8600,8200,8200,8600,6,512400,60,4
Берзанска котација - обврзници,,,,,,,,,
Р.Македонија - денационализација 05,1.00 EUR,98.7,98.7,98.7,98.7,1,54864.51,904,1
Р. Македонија - денационализација 09,1.00 EUR,95.7,94,94,95.7,5,1388552.97,23667,2
Р. Македонија - денационализација 10,1.00 EUR,95.5,93,93,95.5,7,667916.68,11422,4
Р. Македонија - денационализација 11,1.00 EUR,94.8,92,92,93.9,6,534555.93,9295,6
Р. Македонија - денационализација 13,1.00 EUR,94,92,92,94,11,4893981.09,85452,3
Р. Македонија - денационализација 14,1.00 EUR,93.8,92,92.4,93.5,66,25406777.19,443397,15
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,265,265,265,265,3,388755,1467,1
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1009,900,900,1009,6,180344,194,4
РЖ КПОР Скопје,5.11 EUR,30,30,30,30,1,1590,53,1
ОКТА Скопје,51.12 EUR,550,518,550,518,6,160994,299,3
Попова Кула Демир Капија,61.50 MKD,13,13,13,13,1,2600,200,1
Прилепска Пиварница Прилеп,125.00 EUR,24999,24100,24101,24250,16,14268474,591,10
Раде Кончар Скопје,25.00 EUR,1360,1350,1360,1350,3,135500,100,2
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,30,20,25,20,10,67215,2673,5
РЖ Уготур Скопје,1.05 EUR,7,7,7,7,1,168,24,1
Современ дом Прилеп,5.11 EUR,30,30,30,30,3,1547700,51590,1
Сковин Скопје,310.00 MKD,65,65,65,65,1,1430,22,1
Стопанска банка Скопје,201.10 MKD,370,337,337,343,19,1866803,5211,6
Македонски Телеком Скопје,100.00 MKD,268,255,260,260,58,5297372,20220,16
НЛБ Тутунска банка Скопје,1000.00 MKD,6000,5500,5500,6000,39,7301559,1297,7
Трготекстил малопродажба Скопје,5.11 EUR,,,,100,1,0,0,1
Универзална Инвестициона Банка Скопје,1000.00 MKD,630,600,600,630,5,347030,556,5
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,330,330,330,330,6,397320,1204,2
Вкупно Официјален пазар,,,,,,782,138862831.37,701655,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Елмар Штип,10.00 DEM,40,40,40,40,2,54520,1363,1
Југоопрема Скопје,51.00 EUR,1500,1455,1500,1455,3,295500,200,2
Квасара Битола,51.13 EUR,8701,8000,8000,8701,2,100907,12,2
Вкупно Редовен пазар,,,,,,7,450927,1575,
Вкупно сите пазари ,,,,,,789,139313758.37,703230,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Берзанска котација - обични акции,,,,,,,,,
Скопски Пазар Скопје,,,,,8000,,3656000,457,
Задолжителна котација - обични акции,,,,,,,,,
Трготекстил малопродажба Скопје,,,,,120,,1000080,8334,
