МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.03.2015 ДО 31.03.2015 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,2000,1850,1965,1850,124,17424486,9071,19
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,5500,5000,5500,5056,235,74814986,14481,21
Бетон Скопје,255.65 EUR,5000,4600,4950,4600,7,259513,53,5
Фершпед Скопје,37400.00 MKD,,,,55400,1,0,0,1
Гранит Скопје,5.00 EUR,590,537,570,537,36,4148648,7197,14
Дуропацк АД Скопје,25.56 EUR,495,495,495,495,6,348480,704,6
Макошпед Скопје,1000.00 MKD,82,82,82,82,1,16400,200,1
Макпетрол Скопје,511.29 EUR,21100,18900,21100,18900,62,5122550,257,17
Македонијатурист Скопје,25.56 EUR,3900,3650,3708,3899,21,3235498,836,7
Охридска банка АД Скопје,2650.00 MKD,2050,2010,2050,2040,3,379790,187,2
Реплек Скопје,562.42 EUR,58000,56999,58000,56999,9,1090003,19,8
РЖ Услуги Скопје,5.11 EUR,89,82,82,89,2,11524,132,2
Стопанска банка Битола,3000.00 MKD,1429,1200,1429,1201,24,841224,653,11
Скопски Пазар Скопје,51.13 EUR,7700,7200,7400,7700,19,3815880,513,8
Макстил Скопје,5.11 EUR,76,71,76,74,15,244172,3363,7
Тетекс Тетово,50.40 EUR,650,650,650,650,8,1332500,2050,1
Топлификација Скопје,51.13 EUR,799,750,761,750,9,161281,211,7
ТТК Банка АД Скопје,1000.00 MKD,565,485,565,485,7,190365,345,6
Витаминка Прилеп,52.36 EUR,8860,8859,8860,8860,18,1320137,149,8
Жито Лукс Скопје,35.79 EUR,90,90,90,90,1,22500,250,1
ЗК Пелагонија Битола,70.21 EUR,1800,1711,1800,1711,5,159782,92,4
Берзанска котација - обврзници,,,,,,,,,
Р.Македонија - денационализација 04,1.00 EUR,99.5,99,99.5,99,3,113745.58,1857,3
Р.Македонија - денационализација 05,1.00 EUR,99,98,98,99,2,171104.22,2807,1
Р.Македонија - денационализација 07,1.00 EUR,96.8,96.8,96.8,96.8,1,17548.34,294,1
Р. Македонија - денационализација 08,1.00 EUR,96.5,96.5,96.5,96.5,2,2381299.62,40000,1
Р. Македонија - денационализација 09,1.00 EUR,97,95,97,95,18,13651322.75,228220,5
Р. Македонија - денационализација 10,1.00 EUR,96.1,95,95,96.1,3,904447.62,15398,2
Р. Македонија - денационализација 11,1.00 EUR,95.7,95.7,95.7,95.7,1,175377.6,2972,1
Р. Македонија - денационализација 12,1.00 EUR,95,92.2,92.2,95,5,491093.02,8471,3
Р. Македонија - денационализација 13,1.00 EUR,95.1,94,95,95,15,6978579.71,119133,8
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,375,375,375,375,1,1875,5,1
Благој Ѓорев Велес,25.56 EUR,360,350,360,350,4,421000,1200,2
ФЗЦ 11 Октомври Куманово,51.13 EUR,750,425,425,750,22,913232,1654,8
ЕМО Охрид,30.68 EUR,18,18,18,18,1,900,50,1
ОКТА Скопје,51.12 EUR,580,540,580,540,2,32800,60,2
Прилепска Пиварница Прилеп,125.00 EUR,20500,19800,20290,20500,34,7524674,375,10
Раде Кончар Скопје,25.00 EUR,1300,1300,1300,1300,2,66300,51,2
Славеј Скопје,50.00 EUR,3210,3210,3210,3210,1,128400,40,1
Стопанска банка Скопје,201.10 MKD,364,320,351,320,19,889265,2670,6
Струмица Табак Струмица,51.13 EUR,1100,1100,1100,1100,1,173800,158,1
Македонски Телеком Скопје,100.00 MKD,300,274,282,291,44,2076131,7237,16
НЛБ Тутунска банка Скопје,1000.00 MKD,5450,5250,5399,5450,45,7940469,1476,16
Транскоп-Патнички сооб. Битола,51.13 EUR,1000,1000,1000,1000,1,54000,54,1
Универзална Инвестициона Банка Скопје,1000.00 MKD,655,601,602,610,15,993470,1620,10
Цементарница УСЈЕ Скопје,3100.00 MKD,18000,17000,18000,17000,8,1537460,89,5
Жито Караорман Кичево,256.00 EUR,970,970,970,970,1,185270,191,1
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,390,380,380,380,13,527170,1386,7
Вкупно Официјален пазар,,,,,,877,163290453.46,478231,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Град. институт Македонија Скопје,51.12 EUR,7329,7329,7329,7329,1,95277,13,1
Компас АД Скопје,5.00 EUR,265,201,201,260,6,514180,2165,4
Солун 2001 Гевгелија,5.00 EUR,308,308,308,308,7,135520,440,5
Телефон монтажа инженеринг Скопје,10.00 DEM,400,20,400,60,6,133860,931,5
Унионмак Кавадарци,100.00 DEM,300,300,300,300,2,2700,9,1
Вкупно Редовен пазар,,,,,,22,881537,3558,
Вкупно сите пазари ,,,,,,899,164171990.46,481789,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Берзанска котација - обични акции,,,,,,,,,
Фершпед Скопје,,,,,130000,,19110000,147,
