МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.10.2015 ДО 30.10.2015 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,2030,1830,1840,2000,209,33059523,17630,19
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,5150,4940,4984,5102,182,25741316,5114,20
Бетон Скопје,255.65 EUR,6300,5600,5600,5700,7,215918,38,6
Гранит Скопје,5.00 EUR,498,475,497,485,46,3761340,7813,18
Дуропацк АД Скопје,25.56 EUR,495,495,495,495,1,35145,71,1
Макошпед Скопје,1000.00 MKD,120,120,120,120,2,61200,510,1
Хотели Метропол Охрид,5.00 EUR,169,169,169,169,2,50700,300,2
Макпетрол Скопје,511.29 EUR,19700,17001,19505,18000,37,3177054,173,13
Македонијатурист Скопје,25.56 EUR,3800,3700,3800,3701,25,2385330,637,13
Охридска банка АД Скопје,2650.00 MKD,2255,2000,2049,2201,16,1370916,663,10
Реплек Скопје,562.42 EUR,45000,45000,45000,45000,1,135000,3,1
РЖ Услуги Скопје,5.11 EUR,85,60,60,85,16,450265,5524,7
Стопанска банка Битола,3000.00 MKD,1270,1120,1235,1170,18,1004130,835,9
Скопски Пазар Скопје,51.13 EUR,8400,7960,8200,7960,28,3463991,421,13
Макстил Скопје,5.11 EUR,64,60,64,62,12,189856,3055,8
Тетекс Тетово,50.40 EUR,640,625,625,640,3,132750,210,3
Топлификација Скопје,51.13 EUR,589,530,589,572,14,367737,661,7
ТТК Банка АД Скопје,1000.00 MKD,503,503,503,503,5,707721,1407,2
Витаминка Прилеп,52.78 EUR,8750,8500,8740,8500,7,829268,96,5
Жито Лукс Скопје,35.79 EUR,60,60,60,60,1,30000,500,1
ЗК Пелагонија Битола,70.21 EUR,1699,1650,1650,1699,2,50431,30,2
Берзанска котација - приоритетни акции,,,,,,,,,
Скопски пазар Скопје,51.13 EUR,2001,2001,2001,2001,2,38019,19,2
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 09,1.00 EUR,96.2,94,94,96.1,9,2489117.04,42057,6
Р. Македонија - денационализација 10,1.00 EUR,95.4,95.4,95.4,95.4,7,3060373.75,52012,1
Р. Македонија - денационализација 11,1.00 EUR,95,92.1,92.1,95,9,2552353.71,43671,5
Р. Македонија - денационализација 12,1.00 EUR,95,93,93,95,4,159894.52,2758,2
Р. Македонија - денационализација 13,1.00 EUR,94.9,93.1,94,93.1,7,2419641.34,41640,4
Р. Македонија - денационализација 14,1.00 EUR,95,92.6,94,93.5,30,4003095.28,69158,12
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,300,299,300,299,5,277420,926,4
Агро Куманово Куманово,53.72 EUR,2190,2190,2190,2190,2,1629360,744,1
Ангропромет-Тиквешанка Кавадарци,50.00 EUR,750,750,750,750,1,93750,125,1
Аутомакедонија Скопје,44.48 EUR,1499,1499,1499,1499,1,7495,5,1
Бетон Штип,25.00 EUR,1200,1200,1200,1200,3,478800,399,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,400,400,400,400,1,30800,77,1
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1010,1000,1010,1000,2,120200,120,2
Лотарија на Македонија Скопје,51.03 EUR,103,103,103,103,1,824,8,1
Макпромет Штип,51.13 EUR,570,570,570,570,1,11400,20,1
ОКТА Скопје,51.12 EUR,600,534,534,600,6,134266,239,4
Прилепска Пиварница Прилеп,125.00 EUR,26200,24500,25500,26200,28,10251799,413,4
Раде Кончар Скопје,25.00 EUR,1360,1350,1350,1360,3,178700,132,2
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,15,15,15,15,4,10500,700,1
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,21,21,21,21,2,7350,350,2
Стопанска банка Скопје,201.10 MKD,395,380,380,395,23,1836686,4761,12
Струмица Табак Струмица,51.13 EUR,887,887,887,887,1,62090,70,1
Македонски Телеком Скопје,100.00 MKD,275,250,268,275,42,2529686,9792,12
НЛБ Тутунска банка Скопје,1000.00 MKD,6901,6360,6360,6901,30,3039620,466,10
Цементарница УСЈЕ Скопје,3100.00 MKD,22000,22000,22000,22000,7,3102000,141,5
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,340,332,340,340,7,326956,965,3
Вкупно Официјален пазар,,,,,,872,116071787.64,317459,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Брик Берово,51.19 EUR,720,720,720,720,1,200160,278,1
Интерпрогрес експ.-импорт Скопје,10.00 DEM,10,10,10,10,4,283720,28372,2
Југоопрема Скопје,51.00 EUR,1801,1801,1801,1801,2,3602,2,2
К МК Брокер АД Скопје,500.00 EUR,62,61,61,62,5,4649,75,3
Комунапроект Тетово,10.00 DEM,400,246,400,246,4,314844,985,2
Коппер инвестментс АД Скопје,4.00 EUR,,,,,1,0,0,1
Квасара Битола,51.13 EUR,8700,8700,8700,8700,1,382800,44,1
Палтекс АД Делчево,15.00 EUR,,,,307,1,0,0,1
Просветно дело Скопје,51.13 EUR,1600,1600,1600,1600,1,115200,72,1
РК Работнички АД Скопје,50.00 EUR,4428,4428,4428,4428,5,2214000,500,1
Челичен лив и гранулат Железник Д. Хисар,51.10 EUR,103,103,103,103,1,8652,84,1
Земјоделско сточарски комбинат Струмица,5.00 EUR,,,,100,1,0,0,1
Вкупно Редовен пазар,,,,,,27,3527627,30412,
Јавна понуда на хв,,,,,,,,,
Јавна понуда на акции,,,,,,,,,
ТТК банка Скопје - јавна понуда за продажба на сопствени акции,1000.00 MKD,546,546,546,546,16,14174160,25960,3
Вкупно Јавна понуда на хв,,,,,,16,14174160,25960,
Вкупно сите пазари ,,,,,,915,133773574.64,373831,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,,,,,1900,,15200000,8000,
Берзанска котација - обични акции,,,,,,,,,
Скопски Пазар Скопје,,,,,8100,,1101600,136,
Скопски Пазар Скопје,,,,,8100,,1101600,136,
Скопски Пазар Скопје,,,,,8100,,1053000,130,
Скопски Пазар Скопје,,,,,8150,,1018750,125,
Скопски Пазар Скопје,,,,,8100,,1053000,130,
Скопски Пазар Скопје,,,,,8100,,2073600,256,
Скопски Пазар Скопје,,,,,8100,,1101600,136,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Коппер инвестментс АД Скопје,,,,,247,,5557500,22500,
Палтекс АД Делчево,,,,,2828,,65391844,23123,
Земјоделско сточарски комбинат Струмица,,,,,300,,1650600,5502,
