МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.01.2004 ДО 31.01.2004 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Agroservis Skopje,2905 DEN,500,500,500,500,2,448500,897,1
  Alkaloid Skopje,"25,56 EMU",1950,1766,1780,1901,104,4552736,2395,14
  Rudnici Bawani Skopje,25 EMU,620,620,620,620,1,42780,69,1
  Blagoj \orev Veles,"25,56 EMU",650,580,620,650,16,4036173,6459,7
  Beton Skopje,"255,65 EMU",1500,1490,1500,1500,14,265118,177,3
  Granit Skopje,5 EMU,100,90,95,90,45,1354845,14014,7
  Evropa Skopje,"51,13 EMU",999,930,940,993,5,182187,187,5
  @ito Luks Skopje,100 DEM,590,551,580,590,5,118648,204,5
  @ito Vardar Veles,50 EMU,690,690,690,690,2,247020,358,1
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",335,335,335,335,2,37185,111,1
  Interne{enal Hotels AD Skopje,1 EMU,600,600,600,600,3,9000,15,1
  Jaka tabak Radovi{,"51,13 EMU",1000,1000,1000,1000,1,15000,15,1
  Komercijalna banka Skopje,5000 DEN,2600,2100,2271,2550,38,8878792,3930,11
  Makpetrol Skopje,"511,29 EMU",12101,10560,12101,12000,61,6392395,558,15
  Makedonija Turist Skopje,"25,56 EMU",980,940,980,940,7,231804,243,4
  Rade Kon~ar Skopje,25 EMU,184,168,168,184,6,59896,339,2
  R@ Inter-Trans{ped Skopje,10 DEM,27,25,27,25,2,1167835,45105,2
  Stopanska banka Bitola,3000 DEN,3000,3000,3000,3000,1,4200000,1400,1
  Skopski Pazar Skopje,"51,13 EMU",2332,2120,2120,2332,2,44520,20,2
  Tehnometal Vardar Skopje,"51,13 EMU",703,691,691,702,5,213438,304,4
  GD-Tikve{ Kavadarci,"51,13 EMU",200,200,200,200,1,508200,2541,1
  Tutunski kombinat Prilep,"51,13 EMU",668,668,668,668,1,26720,40,1
  Toplifikacija Skopje,100 DEM,1430,1380,1430,1430,19,18715770,12024,10
  Fustelarko Borec Bitola,100 DEM,850,850,850,850,2,187850,221,2
Oficijalen pazar - prioritetni akcii,,,,,,,,,
  Komercijalna banka Skopje,1000 DEN,830,778,830,801,7,188773,235,5
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,79.7,73,73,73.5,511,56194293,1229490,15
  R.Makedonija - denacionalizacija 01,,79.9,72.5,73.4,72.5,9,1920633,40566,5
  R.Makedonija - denacionalizacija 02,1 EUR,80.4,71.8,72.5,74,120,48358144,1035293,14
Vkupno Oficijalen pazar,,,,,,992,158598255,2397210,
Neoficijalen pazar,,,,,,,,,
Neoficijalen pazar - obi~ni akcii,,,,,,,,,
  Angropromet-Tikve{anka Kavadarci,100 DEM,2500,2500,2500,,1,20000,8,1
  BIM Sveti Nikole,200 DEM,,,,,1,3571200,1488,1
  Veles tabak Veles,20 DEM,180,180,180,,13,721440,4008,1
  Gradski Trgovski Centar Skopje,100 DEM,1850,1500,1850,,6,1704450,961,4
  @ito Polog Tetovo,100 DEM,,,,,1,8044800,5028,1
  Ineks Drim Struga,100 DEM,2020,2020,2020,,1,60600,30,1
  Ishrana Radovi{,100 DEM,500,500,500,,10,176500,353,6
  Jugotrans Struga,70 DEM,2140,2140,2140,,2,560680,262,1
  Korab Debar,,,,,,1,281060,92,1
  Institut za urban. i arhitek.Plan Ohrid,1000 DEN,1000,1000,,,4,553000,553,2
  Skopska Pivara Skopje,"361,17 USD",20000,20000,20000,,2,280000,14,2
  DZS Singeli} Skopje,10 DEM,31,31,31,,1,109120,3520,1
  Stopanska banka Skopje,2011 DEN,200,200,200,,1,32800,164,1
  ZTD Sto~arstvo Bogdanci,100 DEM,3100,3100,3100,,2,93000,30,1
  Tutunska banka Skopje,1000 DEN,1650,1650,1650,,5,1188000,720,1
  Trgotekstil maloproda`ba Skopje,10 DEM,120,120,120,,2,2876400,23970,2
  Urobent Kriva Palanka,350 DEM,2205,2205,2205,,1,8820,4,1
  Helmateks Skopje,"5,25 EMU",,,,,1,5567840,30260,1
Vkupno Neoficijalen pazar,,,,,,55,25849710,71465,
Drugi hartii od vrednost,,,,,,,,,
Dr`avni hartii od vrednost,,,,,,,,,
  Konvertibilen sertifikat - za {tedilnici,1 Denar,27,13.1,25.7,27,14,1065175,4796332,3
Vkupno Drugi hartii od vrednost,,,,,,14,1065175,4796332,
Vkupno site pazari,,,,,,1061,185513140,,
