МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.06.2004 ДО 30.06.2004 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
OFICIJALEN PAZAR,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Ading Skopje,"51,13 EMU",2460,2460,2460,2460,1,2460000,1000,1
  Alkaloid Skopje,"25,56 EMU",2010,1950,1951,2001,109,16663304,8342,17
  Automakedonija Skopje,"44,48 EMU",860,860,860,860,1,4300,5,1
  Rudnici Bawani Skopje,25 EMU,620,620,620,620,8,637360,1028,5
  Blagoj \orev Veles,"25,56 EMU",900,660,660,800,28,13722252,17077,8
  Beton Skopje,"255,65 EMU",1488,1419,1430,1419,31,575717,394,12
  Granit Skopje,5 EMU,90,90,90,90,84,2046870,22743,14
  Evropa Skopje,"51,13 EMU",810,789,803,800,28,1282875,1604,11
  @ito Luks Skopje,100 DEM,430,330,430,350,19,476815,1212,9
  @ito Prilep Prilep,50 EMU,610,610,610,610,8,608780,998,7
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",308,308,308,1509,2,10595032,7104,2
  Investbanka Skopje,2670 DEN,1250,912,1166,912,6,75678,64,6
  KIB Kumanovo,"2741,56 DEN",1125,1125,1125,1125,1,807750,718,1
  Komercijalna banka Skopje,5000 DEN,3000,2750,2801,2750,27,3875322,1387,9
  Mlaz Bogdanci,35 EMU,593,593,593,593,1,6523,11,1
  Makpetrol Skopje,"511,29 EMU",12300,10300,12200,11000,37,4685014,393,11
  Makedonija Turist Skopje,"25,56 EMU",1000,970,970,1000,8,652990,656,5
  Ohridska banka Ohrid,2650 DEN,2340,1944,,1944,4,5851396,2323,4
  Rade Kon~ar Skopje,25 EMU,270,162,270,162,6,19698,109,6
  Replek Skopje,"562,42 EMU",5783,5500,5783,5500,3,140330,25,3
  R@ Inter-Trans{ped Skopje,10 DEM,23,23,23,23,1,10787,469,1
  Teteks Tetovo,"51,13 EMU",310,310,310,310,6,1363070,4397,1
  Tehnometal Vardar Skopje,"51,13 EMU",704,700,701,704,7,112895,161,6
  Tutunski kombinat Prilep,"51,13 EMU",560,560,560,560,1,53200,95,1
  Toplifikacija Skopje,100 DEM,1290,1201,1271,1250,40,3252925,2594,13
Oficijalen pazar - prioritetni akcii,,,,,,,,,
  Investbanka Skopje,2670 DEN,740,740,740,740,1,740,1,1
  Komercijalna banka Skopje,1000 DEN,714,700,701,710,20,823122,1160,10
  Ohridska banka Ohrid,2650 DEN,2400,2160,2400,2160,2,33600,15,2
  Stopanska Banka Bitola,3000 DEN,1166,660,660,1166,7,6251,7,7
  Tetovska banka - kumulativna Tetovo,3000 DEN,630,630,630,630,1,1260,2,1
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,71.6,71.5,71.5,71.5,379,34014067,775944,18
  R.Makedonija - denacionalizacija 01,,65,64,65,64.1,6,256710,6495,4
  R.Makedonija - denacionalizacija 02,1 EUR,70,62,70,63,28,5548000,142653,10
  R.Makedonija - denacionalizacija 03,1 EMU,63,61.5,61.9,62.2,568,90212850,2359193,18
Vkupno OFICIJALEN PAZAR,,,,,,1479,200877482,3360379,
NEOFICIJALEN PAZAR,,,,,,,,,
Pazar na javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
  Gradski Trgovski Centar Skopje,100 DEM,1900,1700,1700,,5,845100,458,2
  Elektrometal Skopje,70 DEM,700,700,700,,1,62667500,89525,1
  Karaorman Skopje,100 DEM,230,230,230,,2,107180,466,2
  Konzervna fabrika Strumica,5 EMU,100,100,100,,1,147700,1477,1
  Zemjodelska mehanizacija Vinica,100 DEM,139,139,139,,1,4950207,35613,1
  Hoteli Metropol Ohrid,10 DEM,160,160,160,,1,98080,613,1
  ADG Pelagonija Skopje,500 DEM,1200,1200,1200,,2,7200,6,1
  R@ Ladna Valavnica Skopje,10 DEM,,,,,1,82479076,1352116,1
  R@ Valavnica za lenti Skopje,"5,11 EMU",,,,,1,99160014,1625574,1
  Sovremen dom Prilep,"5,11 EMU",10,10,10,,2,3199890,319989,1
  Tutunska banka Skopje,1000 DEN,1705,1704,1705,,3,1387206,814,1
Pazar na javno poseduvani dru{tva - prioritetni akcii,,,,,,,,,
  Stopanska banka Skopje,400 DEN,101,100,101,,4,26833,268,2
  Tutunska banka Skopje,1000 DEN,1700,1600,1600,,3,310400,193,2
Sloboden pazar - obi~ni akcii,,,,,,,,,
  29 Noemvri Skopje,460 DEM,1000,1000,1000,,2,10000,10,1
  Agropromet Strumica,100 DEM,1200,1200,1200,,1,19200,16,1
  Angropromet-Tikve{anka Kavadarci,100 DEM,4000,2500,4000,,6,912500,299,3
  Art Skopje,10 DEM,150,150,150,,7,364500,2430,1
  Biljana Ohrid,100 DEM,200,200,200,,1,230200,1151,1
  Univerzalna Investiciona Banka Skopje,1000 DEN,,,,,1,13044000,6522,1
  Veles tabak Veles,20 DEM,180,180,180,,7,305280,1696,1
  Veterinarno sto~arski centar Kumanovo,10 DEM,185,185,185,,4,127650,690,1
  Zlatara Rubin Skopje,1295 DEN,1550,1550,1550,,1,65100,42,1
  Javor Konsalting Bitola,10 DEM,91,91,91,,2,728,8,1
  Jugotutun Skopje,"153,27 DEM",3100,3100,3100,,3,108500,35,3
  Javor Stokovna ku}a Korzo Bitola,10 DEM,101,101,101,,5,45046,446,4
  Mesna industrija Sv.Nikole,63 DEM,1500,1500,1500,,6,351000,234,1
  Makpetrol-Teas AD Skopje,10 DEM,190,190,190,,1,9880,52,1
  O~na optika Skopje,44 DEM,1357,1357,1357,,8,124844,92,1
  Polog proekt Gostivar,100 DEM,3100,3100,3100,,1,148800,48,1
  Reing Skopje,10 DEM,,,,,1,5044000,1300,1
  Sipo Sigurnosni pojasi Ohrid,100 DEM,3000,3000,3000,,1,138000,46,1
  ZTD Sto~arstvo Bogdanci,100 DEM,3100,3100,3100,,2,263500,85,1
  Stobi Veles,100 DEM,1532,1532,1532,,1,29108,19,1
  Tabak osigur. i reosigur. Skopje,1000 DEM,,,,,2,12383050,392,1
  Tekstil Skopje,190 DEM,1000,1000,1000,,1,11000,11,1
  Telefonmonta`a-Komerc Skopje,10 DEM,100,100,100,,1,28200,282,1
Vkupno NEOFICIJALEN PAZAR,,,,,,92,289150472,3443018,
DRUGI HARTII OD VREDNOST,,,,,,,,,
Dr`avni hartii od vrednost,,,,,,,,,
  Konvertibilen sertifikat - za {tedilnici,1 Denar,12,3,6.6,4.1,53,1215040,16002742,10
Vkupno DRUGI HARTII OD VREDNOST,,,,,,53,1215040,16002742,
Vkupno site pazari,,,,,,1624,491242994,,
