МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.08.2004 ДО 31.08.2004 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
OFICIJALEN PAZAR,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Alkaloid Skopje,"25,56 EMU",2021,2000,2010,2020,122,34661304,17163,17
  Rudnici Bawani Skopje,25 EMU,504,500,504,500,8,297988,594,3
  Blagoj \orev Veles,"25,56 EMU",902,820,900,900,5,2272836,2573,4
  Beton Skopje,"255,65 EMU",1342,1342,1342,1342,2,28182,21,2
  Vitaminka Prilep,"51,13 EMU",1900,1900,1900,1900,8,1297700,683,1
  Granit Skopje,5 EMU,90,90,90,90,71,1549080,17212,16
  Evropa Skopje,"51,13 EMU",800,720,720,750,25,2925100,3819,8
  @ito Luks Skopje,100 DEM,300,250,300,250,5,142730,518,4
  @ito Bitola Bitola,"153,4 EMU",360,341,341,341,3,145433,411,3
  @ito Vardar Veles,50 EMU,690,690,690,690,3,280140,406,1
  @ito Skopje Skopje,100 DEM,550,550,550,550,2,84150,153,1
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",327,327,327,327,2,30738,94,2
  F-ka za kabli Negotino,"25,56 EMU",1400,1400,1400,1400,1,7000,5,1
  Kvasara Bitola,"51,13 EMU",3000,3000,3000,3000,1,120000,40,1
  KIB Kumanovo,"2741,56 DEN",1230,1230,1230,1230,1,788430,641,1
  Kiro ]u~uk Veles,"153,38 EMU",2800,2800,2800,2800,6,1030400,368,1
  Komercijalna banka Skopje,5000 DEN,3350,3000,3000,3350,27,3418320,1053,10
  Komuna Skopje,"25,56 EMU",187,187,187,187,3,157080,840,2
  Karpo{ Skopje,200 DEM,600,600,600,600,1,46200,77,1
  GP Mavrovo Skopje,"51,13 EMU",860,860,860,860,1,2580,3,1
  Makpetrol Skopje,"511,29 EMU",12500,11700,12000,12300,22,2709755,223,8
  Makedonija Turist Skopje,"25,56 EMU",1100,1040,1050,1040,12,1905746,1814,8
  Ohridska banka Ohrid,2650 DEN,1900,1850,1899,1900,4,132594,70,4
  Replek Skopje,"562,42 EMU",7000,7000,7000,7000,3,35000,5,2
  R@ Ekonomika Skopje,"5,11 EMU",70,70,70,70,1,119000,1700,1
  R@ Institut Skopje,"5,11 EMU",60,60,60,60,1,24000,400,1
  R@ Inter-Trans{ped Skopje,10 DEM,25,25,25,25,1,2777625,111105,1
  Stopanska banka Bitola,3000 DEN,2500,2400,2500,2400,22,7128162,2913,6
  Skopski Pazar Skopje,"51,13 EMU",2750,2700,2700,2750,3,733750,271,3
  Tajmi{te Ki~evo,100 DEM,1550,1550,1550,1550,1,77500,50,1
  Teteks Tetovo,"51,13 EMU",310,310,310,310,4,4769660,15386,2
  Tehnometal Vardar Skopje,"51,13 EMU",740,701,740,701,3,85411,116,2
  Toplifikacija Skopje,100 DEM,1350,1300,1300,1325,5,967875,735,5
  Fustelarko Borec Bitola,100 DEM,1197,1089,1089,1197,2,311193,269,2
Oficijalen pazar - prioritetni akcii,,,,,,,,,
  Komercijalna banka Skopje,1000 DEN,726,690,690,726,9,571048,814,7
  Stopanska Banka Bitola,3000 DEN,2420,2200,2200,2420,2,4620,2,2
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,71.6,70.5,71.5,71.5,288,35647578,815262,17
  R.Makedonija - denacionalizacija 01,,63.1,63.1,63.1,63.1,3,83561,2160,2
  R.Makedonija - denacionalizacija 02,1 EUR,65,63.3,64,65,27,2571181,65546,12
  R.Makedonija - denacionalizacija 03,1 EMU,65,62.8,64.7,64,343,39235619,1008210,17
Vkupno OFICIJALEN PAZAR,,,,,,1053,149176268,2073725,
NEOFICIJALEN PAZAR,,,,,,,,,
Pazar na javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
  Agromehanika Skopje,50 EMU,1250,1250,1250,,2,38750,31,1
  Gradski Trgovski Centar Skopje,100 DEM,1880,1800,1850,,9,1078830,587,6
  Elektrometal Skopje,70 DEM,700,700,700,,27,2372300,3389,5
  OKTA Skopje,100 DEM,400,400,400,,1,9600,24,1
  Proluks Prilep,"51,13 EMU",307,307,307,,1,3278146,10678,1
  R@ Ladna Valavnica Skopje,10 DEM,61,55,61,,28,2416300,39694,7
  R@ Valavnica za lenti Skopje,"5,11 EMU",61,55,61,,39,2085447,34341,6
  Transbalkan Gevgelija,100 DEM,140,100,140,,5,23600,202,2
  Fer{ped Skopje,1199 DEM,18500,18399,18500,,2,55399,3,2
Pazar na javno poseduvani dru{tva - prioritetni akcii,,,,,,,,,
  Stopanska banka Skopje,400 DEN,100,100,100,,2,20900,209,1
Sloboden pazar - obi~ni akcii,,,,,,,,,
  Agrolozar s.Hamzali Strumica,5 EMU,120,120,120,,1,860880,7174,1
  ZUM SKopje,10 DEM,450,450,450,,1,347400,772,1
  ICN-Farm AD Skopje,9 EMU,100,100,100,,2,47500,475,1
  Mesna industrija Sv.Nikole,63 DEM,1500,1500,1500,,1,40500,27,1
  Tekstil Skopje,190 DEM,1000,1000,1000,,1,80000,80,1
Vkupno NEOFICIJALEN PAZAR,,,,,,122,12755552,97686,
Vkupno site pazari,,,,,,1175,161931820,,
BLOKOVI,,,,,,,,,
Oficijalni pazar,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
Blagoj \orev Veles,,,,,900,,5231700,5813,
Agroplod Resen,,,,,9200,,5004800,544,
Agroplod Resen,,,,,9200,,5004800,544,
Agroplod Resen,,,,,9200,,5004800,544,
Agroplod Resen,,,,,9200,,5004800,544,
Agroplod Resen,,,,,9200,,5004800,544,
Agroplod Resen,,,,,9200,,5004800,544,
Agroplod Resen,,,,,9200,,5004800,544,
Agroplod Resen,,,,,9200,,5004800,544,
Agroplod Resen,,,,,9200,,5575200,606,
Neoficijalen pazar,,,,,,,,,
Sloboden pazar - obi~ni akcii,,,,,,,,,
Jaka tabak Radovi{,,,,,3000,,162186000,54062,
