МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.12.2004 ДО 31.12.2004 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
OFICIJALEN PAZAR,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Ading Skopje,"51,13 EMU",2459,2459,2459,2459,2,1996708,812,2
  Alkaloid Skopje,"25,56 EMU",2000,1849,1849,1902,211,36675670,18806,17
  Blagoj \orev Veles,"25,56 EMU",1540,1500,1536,1500,5,1081680,705,5
  Grad. institut Makedonija Skopje,100 DEM,6500,6364,6500,6364,2,301420,47,2
  Granit Skopje,5 EMU,90,90,90,90,84,1828080,20312,15
  Dimko Mitrev Veles,"51,13 EMU",235,235,235,235,1,11515,49,1
  Evropa Skopje,"51,13 EMU",790,725,725,780,9,242575,322,6
  @ito Luks Skopje,100 DEM,230,200,230,200,4,72740,349,4
  @ito Vardar Veles,50 EMU,690,690,690,690,2,599610,869,2
  @ito Skopje Skopje,100 DEM,500,500,500,500,1,2500,5,1
  @ito Strumica Strumica,"51,13 EMU",1200,1200,1200,1200,7,3192000,2660,1
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",320,315,315,315,3,3216070,10209,3
  Kiro ]u~uk Veles,"153,38 EMU",1850,1850,1850,1850,3,371850,201,1
  Komercijalna banka Skopje,5000 DEN,4750,4301,4699,4750,63,14620709,3260,14
  Hoteli Metropol Ohrid,10 DEM,160,150,150,150,4,237140,1515,3
  Makpetrol Skopje,"511,29 EMU",12800,12200,12200,12400,51,5866058,470,15
  Makedonija Turist Skopje,"25,56 EMU",1051,1020,1020,1051,5,925720,890,3
  Ohridska banka Ohrid,2650 DEN,2120,1855,1900,1870,8,3971365,2058,7
  Rade Kon~ar Skopje,25 EMU,162,162,162,162,2,17010,105,2
  Replek Skopje,"562,42 EMU",7000,7000,7000,7000,2,56000,8,1
  R@ Ekonomika Skopje,"5,11 EMU",70,70,70,70,3,128870,1841,2
  R@ Tehni~ka kontrola Skopje,"5,11 EMU",60,60,60,60,4,71640,1194,1
  R@ Uslugi Skopje,"5,11 EMU",34,23,23,34,175,1041201,34656,18
  Stopanska banka Bitola,3000 DEN,2900,2610,2650,2900,36,9538010,3583,13
  Sileks Kratovo,"43,77 EMU",62,62,62,62,1,21700,350,1
  Sileksbanka Skopje,"43,46 EMU",315,315,315,315,1,3780,12,1
  Skopski Pazar Skopje,"51,13 EMU",4477,2650,2650,4300,18,3121570,970,12
  Tetovska banka Tetovo,3000 DEN,1200,1200,1200,1200,1,25455600,21213,1
  Teteks Tetovo,"51,13 EMU",310,310,310,310,44,2356310,7601,2
  Tehnometal Vardar Skopje,"51,13 EMU",717,711,711,717,6,57122,80,5
  Teteks-Kreditna banka Skopje,1000 DEN,130,117,130,117,2,1885,15,2
  Toplifikacija Skopje,100 DEM,1550,1450,1540,1530,50,6146435,4072,14
  Fer{ped Skopje,1199 DEM,15000,15000,15000,15000,2,180000,12,1
Oficijalen pazar - prioritetni akcii,,,,,,,,,
  Komercijalna banka Skopje,1000 DEN,950,850,900,950,17,809987,899,9
  Stopanska Banka Bitola,3000 DEN,3000,3000,3000,3000,1,15000,5,1
  Tetovska banka - kumulativna Tetovo,3000 DEN,635,635,635,635,1,26035,41,1
  Teteks-Kreditna banka Skopje,1000 DEN,117,117,117,117,1,585,5,1
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,75.1,74,74.1,75.1,315,18298876,399769,18
  R.Makedonija - denacionalizacija 01,,70,68,68.4,70,6,1304844,31157,2
  R.Makedonija - denacionalizacija 02,1 EUR,69,67,67.5,68.7,79,78171421,1893374,16
  R.Makedonija - denacionalizacija 03,1 EMU,68.9,66.9,67.1,68.9,413,49081895,1183657,18
Vkupno OFICIJALEN PAZAR,,,,,,1645,271119186,3648158,
NEOFICIJALEN PAZAR,,,,,,,,,
Pazar na javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
  Rudnici Bawani Skopje,25 EMU,500,500,500,,8,424500,849,5
  Gradski Trgovski Centar Skopje,100 DEM,1850,1600,1850,,5,712050,393,4
  Edinstvo Strumica,70 DEM,455,419,455,,7,218500,500,1
  @ito Polog Tetovo,100 DEM,1600,1600,1600,,1,252800,158,1
  ICN-Farm AD Skopje,9 EMU,70,70,70,,1,17920,256,1
  KJUBI Makedonija Skopje,100 DEM,420,400,400,,2,279440,691,2
  Lihnida Ohrid,20 DEM,615,615,615,,2,427425,695,1
  Tajmi{te Ki~evo,100 DEM,1550,1550,1550,,1,12400,8,1
  Tutunska banka Skopje,1000 DEN,2400,1800,2400,,3,949800,481,3
  Fustelarko Borec Bitola,100 DEM,1170,1170,1170,,1,265590,227,1
  Crvena Yvezda Peh~evo,"136,47 EMU",2636,2636,2636,,2,110712,42,1
Pazar na javno poseduvani dru{tva - prioritetni akcii,,,,,,,,,
  Stopanska banka Skopje,400 DEN,112,112,112,,1,896,8,1
  Tutunska banka Skopje,1000 DEN,2884,1800,1800,,3,2704456,997,3
Sloboden pazar - obi~ni akcii,,,,,,,,,
  6-ti Noemvri Valandovo,100 DEM,3199,3035,3100,,4,1680805,543,4
  Kosta Abra{ Ohrid,"51,13 EMU",590,590,590,,4,93810,159,1
  Agropromet Struga,50 DEM,120,120,120,,1,154320,1286,1
  Algreta Resen,100 DEM,1200,1200,1200,,9,673200,561,2
  Bitola Broker Bitola,50 EMU,300,300,300,,1,138000,460,1
  Univerzalna Investiciona Banka Skopje,1000 DEN,500,500,500,,3,4473000,8946,1
  Veles tabak Veles,20 DEM,120,120,120,,6,41160,343,1
  Vardar osiguruvawe Skopje,100 DEM,3100,3100,3100,,2,1419800,458,1
  Metalec Bitola,"51,13 EMU",1500,1500,1500,,1,15000,10,1
  Energomont Skopje,100 DEM,1000,1000,1000,,4,47000,47,1
  Evroteks Skopje,50 EMU,2900,2900,2900,,5,26558200,9158,3
  Eterna Agroeksport Bitola,10 DEM,300,300,300,,1,3000,10,1
  Institut za zavaruv. Jug Skopje,100 DEM,1600,1600,1600,,6,790400,494,1
  Ilinden Struga,50 DEM,300,300,300,,1,265200,884,1
  Ishrana Skopje,100 DEM,2000,2000,2000,,2,2202000,1101,1
  Jugotutun Skopje,"153,27 DEM",3100,3100,3100,,1,80600,26,1
  Karaorman Skopje,100 DEM,100,100,100,,2,958500,9585,1
  Kiro Dandaro Bitola,10 DEM,62,62,62,,4,1315640,21220,1
  Korab Debar,51 EMU,3055,3055,3055,,1,12220,4,1
  MZT Oprema za vozila Skopje,100 DEM,660,660,660,,1,45540,69,1
  Metropoliten Skopje,10 DEM,320,320,320,,1,7680,24,1
  Pelagonija komerc Bitola,100 DEM,650,650,650,,5,125450,193,1
  Pru`ini i tekstil AD Demir Hisar,"10,00 DEM",310,310,310,,2,1550,5,1
  Rudnik Demir Hisar s. Sopotnica,10 DEM,265,265,265,,1,8425145,31793,1
  Sipo Sigurnosni pojasi Ohrid,100 DEM,3000,3000,3000,,1,150000,50,1
  ZTD Sto~arstvo Bogdanci,100 DEM,3100,1500,1500,,5,614100,291,2
  Tabak osigur. i reosigur. Skopje,1000 DEM,33829,31500,33829,,2,12186714,382,2
  Toplifikacija Odr`uvawe Skopje,60 DEM,26000,26000,26000,,1,26000,1,1
  Treska 30 Avgust Vinica,100 DEM,1540,1540,1540,,2,5283740,3431,1
  Turtel [tip,10 DEM,95,95,95,,6,88635,933,1
Vkupno NEOFICIJALEN PAZAR,,,,,,122,74252898,97772,
Vkupno site pazari,,,,,,1767,345372084,,
BLOKOVI,,,,,,,,,
Oficijalen pazar,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
Komercijalna banka Skopje,,,,,4560,,5002320,1097,
Toplifikacija Skopje,,,,,1650,,115500000,70000,
Teteks-Kreditna banka Skopje,,,,,1000,,5210000,5210,
Investbanka Skopje,,,,,2670,,5441460,2038,
Komercijalna banka Skopje,,,,,3600,,15840000,4400,
Neoficijalen pazar,,,,,,,,,
Javno poseduvani dru{tva - obi~ni akcii,,,,,,,,,
TK Boro P.-Papu~ar Kumanovo,,,,,227,,64233055,282965,
Fustelarko Borec Bitola,,,,,1384,,7030720,5080,
Fustelarko Borec Bitola,,,,,1384,,5000392,3613,
Tutunska banka Skopje,,,,,2884.24,,11704246,4058,
