МАКЕДОНСКА БЕРЗА НА ДОЛГОРОЧНИ ХАРТИИ ОД ВРЕДНОСТ АД СКОПЈЕ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.04.2004 ДО 30.04.2004 ГОДИНА,,,,,,,,,
Опис на хв,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Oficijalen pazar,,,,,,,,,
Oficijalen pazar - obi~ni akcii,,,,,,,,,
  Ading Skopje,"51,13 EMU",2479,2300,2479,2300,2,301077,126,2
  Algreta Resen,100 DEM,1800,1650,1694,1650,10,741480,435,2
  Alkaloid Skopje,"25,56 EMU",2080,1830,1900,2000,101,7561251,3894,12
  Rudnici Bawani Skopje,25 EMU,620,620,620,620,5,331080,534,3
  Granit Skopje,5 EMU,90,90,90,90,69,1459170,16213,8
  Metalec Bitola,"51,13 EMU",1605,1600,1605,1600,2,20850,13,2
  Evropa Skopje,"51,13 EMU",900,900,900,900,5,602100,669,3
  @ito Luks Skopje,100 DEM,450,420,450,432,18,777350,1772,10
  @ito Prilep Prilep,50 EMU,670,670,670,670,1,33500,50,1
  Zemjod. komb. Pelagonija Bitola,"51,13 EMU",335,325,335,325,4,116570,354,3
  Investbanka Skopje,2670 DEN,798,660,660,798,3,4368,6,3
  Jaka tabak Radovi{,"51,13 EMU",1210,1100,1100,1210,8,163655480,105881,3
  Kvasara Bitola,"51,13 EMU",3000,3000,3000,3000,1,135000,45,1
  Komercijalna banka Skopje,5000 DEN,3200,2350,3200,2800,25,3245080,1155,10
  Karpo{ Skopje,200 DEM,666,666,666,666,1,15984,24,1
  Makpetrol Skopje,"511,29 EMU",12500,12310,12500,12400,23,25399385,2064,10
  Makedonija Turist Skopje,"25,56 EMU",1129,1069,1069,1100,3,120900,110,3
  Replek Skopje,"562,42 EMU",7200,6490,7200,6490,2,72810,11,2
  R@ Inter-Trans{ped Skopje,10 DEM,25,25,25,25,3,1974950,78998,2
  R@ Tehni~ka kontrola Skopje,"5,11 EMU",58,58,58,58,1,13282,229,1
  Stopanska banka Bitola,3000 DEN,2600,2500,2600,2500,11,9769600,3714,5
  Skopski Pazar Skopje,"51,13 EMU",3050,2990,2990,3050,3,299120,100,1
  Tajmi{te Ki~evo,100 DEM,1550,1550,1550,1550,2,120900,78,1
  Tetovska banka Tetovo,3000 DEN,1800,1620,1800,1620,2,3520440,1957,2
  Teteks Tetovo,"51,13 EMU",310,310,310,310,2,969060,3126,2
  Tehnometal Vardar Skopje,"51,13 EMU",705,702,702,705,2,30249,43,2
  Toplifikacija Skopje,100 DEM,1405,1250,1405,1250,31,3541574,2574,10
  Fustelarko Borec Bitola,100 DEM,1000,900,,900,6,5972600,4535,5
  Fka za cev.11Oktomvr Kumanovo,"51,13 EMU",310,310,310,310,1,13330,43,1
Oficijalen pazar - prioritetni akcii,,,,,,,,,
  Komercijalna banka Skopje,1000 DEN,800,680,800,680,8,128680,184,4
  Stopanska Banka Bitola,3000 DEN,600,600,600,600,2,1800,3,1
  Tetovska banka - kumulativna Tetovo,3000 DEN,630,630,630,630,3,64890,103,2
  Tetovska banka - particip. Tetovo,3000 DEN,600,600,600,600,1,56400,94,1
Oficijalen pazar - obvrznici,,,,,,,,,
  R. Makedonija - devizni vlogovi,,72.1,71.1,72.1,71.6,391,22099839,503279,14
  R.Makedonija - denacionalizacija 01,,69.5,68.2,69.1,69,8,2780531,66021,3
  R.Makedonija - denacionalizacija 02,1 EUR,69.5,67.5,68.8,69,50,16024535,379735,12
  R.Makedonija - denacionalizacija 03,1 EMU,65,61.1,61.2,64,706,145720382,3703710,14
Vkupno Oficijalen pazar,,,,,,1516,417695597,4881882,
Neoficijalen pazar,,,,,,,,,
Neoficijalen pazar - obi~ni akcii,,,,,,,,,
  Angropromet-Tikve{anka Kavadarci,100 DEM,2200,2200,2200,,1,2200000,1000,1
  Vardar Gradsko,10 DEM,50,50,50,,1,10750,215,1
  Vardar osiguruvawe Skopje,100 DEM,3065,3065,3065,,1,306500,100,1
  Gradski Trgovski Centar Skopje,100 DEM,1990,1910,1990,,6,564060,286,5
  Energomont Skopje,100 DEM,2000,2000,2000,,1,36000,18,1
  @ito Polog Tetovo,100 DEM,1600,1600,1600,,6,3201600,2001,3
  @ito Jug Kavadarci,100 DEM,1550,1550,1550,,2,243350,157,2
  Zlatara Rubin Skopje,1295 DEN,1550,1550,1550,,1,114700,74,1
  Idnina Skopje,20 DEM,31,31,31,,1,11377,367,1
  Inteks Skopje,100 DEM,1800,1800,1800,,1,3846600,2137,1
  Javor Konsalting Bitola,10 DEM,80,80,80,,2,1120,14,1
  Karaorman Skopje,100 DEM,230,230,230,,4,145590,633,3
  KJUBI Makedonija Skopje,100 DEM,430,430,430,,1,95460,222,1
  Javor Stokovna ku}a Korzo Bitola,10 DEM,235,60,60,,15,188767,1190,8
  Karpo{ odr`uvawe Kriva Palanka,100 DEM,3150,3150,3150,,2,4145400,1316,1
  MAK - Komerc Kavadarci,100 DEM,10,10,10,,3,100030,10003,3
  Okiteks Skopje,"51,13 EMU",,,,,1,6417968,9014,1
  Prosvetno delo Skopje,100 DEM,1500,1500,1500,,2,171000,114,2
  Pelagonija Trans Prilep,100 DEM,1500,1500,1500,,1,21000,14,1
  R@ Ladna Valavnica Skopje,10 DEM,61,61,,61,2,70908047,1162427,2
  Reing Skopje,10 DEM,,,,,1,480960,1503,1
  Silika Mineral Makedonski Brod,100 DEM,,,,,1,540043,1685,1
  Slavej Skopje,100 DEM,1900,1900,1900,,1,188100,99,1
Neoficijalen pazar - prioritetni akcii,,,,,,,,,
  Stopanska banka Skopje,400 DEN,125,125,125,,1,17625,141,1
