,max,min,open,close
count,198.0,198.0,198.0,198.0
mean,46609.50505050505,40549.40404040404,43301.34848484849,43645.0
std,32587.51676923625,27483.621549950385,29958.697245787305,29966.60380954393
min,13000.0,12000.0,12000.0,12000.0
25%,22737.0,20163.0,21503.5,22000.0
50%,31170.5,27516.5,28999.5,29201.0
75%,69500.0,61375.0,63000.75,64000.0
max,178000.0,152000.0,173000.0,172000.0
