,max,min,open,close
count,198.0,198.0,198.0,198.0
mean,4629.19191919192,4159.621212121212,4374.262626262626,4410.722222222223
std,2708.111935905955,2427.828053803873,2555.358415405742,2599.963285295463
min,1700.0,1602.0,1700.0,1700.0
25%,2551.75,2312.5,2452.5,2460.0
50%,3392.5,3055.0,3225.0,3210.0
75%,6277.5,5578.75,5991.25,5985.5
max,13300.0,11803.0,12800.0,12800.0
