,max,min,open,close
count,198.0,198.0,198.0,198.0
mean,7519.015151515152,6849.823232323232,7150.914141414141,7217.540404040404
std,4124.747965815021,3729.41506743944,3906.5626117203587,3954.5902783895117
min,3050.0,2445.0,3000.0,2900.0
25%,4500.0,4250.0,4352.5,4367.75
50%,5487.5,5111.0,5325.0,5350.0
75%,9163.75,8256.0,8612.5,8919.25
max,19400.0,17800.0,18849.0,18550.0
