,max,min,open,close
count,198.0,198.0,198.0,198.0
mean,856.8232323232323,747.1515151515151,795.5909090909091,803.2777777777778
std,506.0389163278157,408.6040955201811,452.2817047201336,454.8190119325941
min,280.0,259.0,263.0,270.0
25%,498.5,461.0,477.75,480.0
50%,682.0,596.0,634.0,630.0
75%,1038.0,908.75,969.0,975.0
max,3000.0,2456.0,2717.0,2706.0
