МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.09.2019 ДО 30.09.2019 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,5880,5405,5440,5650,349,96557446,17280,19
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,11500,9821,9822,11150,291,67573761,6424,20
Бетон Скопје,255.65 EUR,8320,7998,7998,8200,18,1437288,176,7
Фершпед Скопје,37400.00 MKD,75800,75500,75800,75500,2,1667000,22,2
Гранит Скопје,5.00 EUR,1043,890,900,1040,185,33607847,35003,19
ДС Смитх АД Скопје,25.56 EUR,400,400,400,400,1,400,1,1
Макошпед Скопје,1000.00 MKD,204,200,202,200,7,257804,1276,4
Хотели Метропол Охрид,5.00 EUR,296,295,296,295,5,76940,260,3
Макпетрол Скопје,511.29 EUR,73500,63000,63000,73000,309,77724685,1125,19
Македонијатурист Скопје,25.56 EUR,5410,5250,5300,5311,21,3788197,712,11
Охридска банка АД Скопје,2650.00 MKD,6150,6050,6101,6150,52,16738370,2735,11
Реплек Скопје,562.42 EUR,77765,75500,75500,77510,6,2001670,26,4
РЖ Институт Скопје,5.11 EUR,101,101,101,101,1,808,8,1
РЖ Услуги Скопје,5.11 EUR,87,79,86,87,9,188980,2215,6
Стопанска банка Битола,3000.00 MKD,2654,2459,2535,2650,41,28414697,10836,7
Скопски Пазар Скопје,51.13 EUR,,,,18525,2,0,0,2
Макстил Скопје,5.11 EUR,108,98,100,108,30,1364230,13436,13
Тетекс Тетово,50.40 EUR,2490,2316,2322,2400,50,14541954,6004,12
ВВ Тиквеш АД Кавадарци,51.13 EUR,5500,5117,5117,5500,22,4761740,911,10
ТТК Банка АД Скопје,1000.00 MKD,1493,1430,1450,1430,82,16674503,11496,11
Витаминка Прилеп,52.78 EUR,11940,11940,11940,11940,2,1194000,100,1
ЗК Пелагонија Битола,70.21 EUR,1645,1645,1645,1645,1,55930,34,1
Берзанска котација - приоритетни акции,,,,,,,,,
Скопски пазар Скопје,51.13 EUR,3298,3298,3298,3298,3,1747940,530,2
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 09,1.00 EUR,98.3,98.3,98.3,98.3,1,1994.81,33,1
Р. Македонија - денационализација 12,1.00 EUR,99.5,99.5,99.5,99.5,1,451558.06,7380,1
Р. Македонија - денационализација 13,1.00 EUR,99,99,99,99,1,39388.88,647,1
Р. Македонија - денационализација 14,1.00 EUR,99,99,99,99,3,55948.03,919,1
Р. Македонија - денационализација 16,1.00 EUR,99,98.5,98.5,99,5,1223742.9,20198,3
Р. Македонија - денационализација 17,1.00 EUR,99,98,98,98.6,4,828618.52,13687,4
Р. Македонија - денационализација 18,1.00 EUR,98.9,98.6,98.9,98.7,42,8663586.38,142714,16
Задолжителна котација - обични акции,,,,,,,,,
Адинг Скопје,9.98 EUR,679,660,679,660,3,276085,415,2
ФЗЦ 11 Октомври Куманово,51.13 EUR,751,751,751,751,1,165220,220,1
Фустеларко Борец Битола,37.65 EUR,1200,1200,1200,1200,1,12000,10,1
Герас Цунев конфекција Струмица,15.00 EUR,500,500,500,500,1,380500,761,1
Герас Цунев трговија Струмица,15.00 EUR,500,500,500,500,1,399500,799,1
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1551,1551,1551,1551,1,15510,10,1
Пелистерка АД Скопје,51.00 EUR,,,,2400,1,0,0,1
Макпромет Штип,51.13 EUR,570,570,570,570,4,63840,112,1
МЗТ Пумпи Скопје,51.00 EUR,607,607,607,607,2,40669,67,1
ОКТА Скопје,51.12 EUR,4800,4500,4600,4700,40,4023867,871,12
Пекабеско Скопје,46.00 EUR,12440,11000,11000,12440,6,757600,66,5
Прилепска Пиварница Прилеп,125.00 EUR,39501,39500,39500,39500,24,11731520,297,7
Арцелормиттал Скопје (ХРМ) Скопје,5.11 EUR,21,20,21,20,9,89313,4328,3
РЖ Техничка контрола Скопје,5.11 EUR,650,570,570,650,2,33970,53,2
РЖ Уготур Скопје,1.05 EUR,12,12,12,12,2,11964,997,2
Славеј Скопје,50.00 EUR,3201,3201,3201,3201,1,320100,100,1
Стопанска банка Скопје,201.10 MKD,1215,1190,1200,1200,95,15916228,13216,18
Македонски Телеком Скопје,100.00 MKD,309,295,297,309,26,1893547,6311,13
НЛБ Банка АД Скопје,1000.00 MKD,17050,16800,16889,16850,79,37748595,2235,19
Универзална Инвестициона Банка Скопје,1000.00 MKD,2200,2111,2111,2180,12,1412255,643,6
Цементарница УСЈЕ Скопје,3100.00 MKD,23051,23051,23051,23051,1,230510,10,1
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,884,790,790,884,5,262950,315,3
Вкупно Официјален пазар,,,,,,1863,457426770.58,328024,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Алкалоид Берово,255.60 EUR,18510,18510,18510,18510,2,277650,15,1
Електроводомонт АД Скопје,100.00 DEM,70,70,70,70,1,59710,853,1
Еурометинг АД Прилеп,5.00 EUR,177,177,177,177,6,72747,411,1
Киро Дандаро Битола,5.11 EUR,,,,1019,1,0,0,1
Ларин Мрамор АД Скопје,5.00 EUR,,,,862,1,0,0,1
Премиум груп АД Скопје,1.00 EUR,120,120,120,120,1,133920,1116,1
Просветно дело Скопје,51.13 EUR,1600,1600,1600,1600,1,65600,41,1
Вкупно Редовен пазар,,,,,,13,609627,2436,
Јавна понуда на хв,,,,,,,,,
Јавна понуда на обврзници,,,,,,,,,
ТТК банка АД Скопје - јавна понуда за запишување на корпоративни обврзници,1000.00 EUR,100,100,100,100,6,92236500,1500,1
Вкупно Јавна понуда на хв,,,,,,6,92236500,1500,
Вкупно сите пазари ,,,,,,1882,550272897.58,331960,
БЛОКОВИ,,,,,,,,,
Официјален пазар,,,,,,,,,
Берзанска котација - обични акции,,,,,,,,,
Макпетрол Скопје,,,,,65000,,5005000,77,
Макпетрол Скопје,,,,,66500,,6982500,105,
Макпетрол Скопје,,,,,67500,,2025000,30,
Охридска банка АД Скопје,,,,,6100,,11175200,1832,
Скопски Пазар Скопје,,,,,3300,,5181000,1570,
Скопски Пазар Скопје,,,,,3145,,5421980,1724,
Берзанска котација - приоритетни акции,,,,,,,,,
Скопски пазар Скопје,,,,,3200,,2592000,810,
Задолжителна котација - обични акции,,,,,,,,,
Пелистерка АД Скопје,,,,,2400,,5040000,2100,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
Киро Дандаро Битола,,,,,862.75,,24329550,28200,
Ларин Мрамор АД Скопје,,,,,307.5,,113428755,368874,
