МАКЕДОНСКА БЕРЗА НА ХАРТИИ ОД ВРЕДНОСТ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ИЗВЕШТАЈ ЗА ТРГУВАЊЕ ОД 01.07.2016 ДО 29.07.2016 ГОДИНА,,,,,,,,,
Опис на ХВ,Номинална вредност,Мак.,Мин.,Почетна цена,Последна цена,Број на трансакции,Вредност,Количина,Број на ден. на тргување
Официјален пазар,,,,,,,,,
Супер котација - обични акции,,,,,,,,,
Комерцијална банка Скопје,1000.00 MKD,2355,2160,2163,2355,134,23175582,10221,19
Берзанска котација - обични акции,,,,,,,,,
Алкалоид Скопје,25.56 EUR,5150,5000,5014,5120,125,18133090,3582,19
Бетон Скопје,255.65 EUR,8300,7570,8300,7570,5,436970,56,3
Фершпед Скопје,37400.00 MKD,40000,38800,38800,38801,5,197601,5,3
Гранит Скопје,5.00 EUR,480,449,450,480,33,2825560,6117,15
Макошпед Скопје,1000.00 MKD,97,97,97,97,1,12610,130,1
Макпетрол Скопје,511.29 EUR,24200,19520,19520,23500,81,7829143,337,16
Македонијатурист Скопје,25.56 EUR,3450,3350,3399,3355,9,722865,215,7
Охридска банка АД Скопје,2650.00 MKD,3174,2270,2270,3174,33,9216242,3483,13
Реплек Скопје,562.42 EUR,38500,37800,37800,38500,3,267300,7,3
РЖ Услуги Скопје,5.11 EUR,65,63,63,65,4,122735,1917,3
Стопанска банка Битола,3000.00 MKD,1150,1010,1010,1150,59,17605968,16384,6
Скопски Пазар Скопје,51.13 EUR,9785,9501,9785,9501,11,4971863,523,4
Макстил Скопје,5.11 EUR,44,42,43,43,7,104076,2430,5
Тетекс Тетово,50.40 EUR,595,585,585,585,3,217110,366,3
Топлификација Скопје,51.13 EUR,660,537,540,636,21,764738,1370,6
ТТК Банка АД Скопје,1000.00 MKD,600,600,600,600,6,480000,800,4
Витаминка Прилеп,52.78 EUR,8000,8000,8000,8000,6,272000,34,6
Жито Лукс Скопје,35.79 EUR,190,131,131,190,4,58100,430,2
ЗК Пелагонија Битола,70.21 EUR,1700,1600,1600,1700,13,157600,96,6
Берзанска котација - обврзници,,,,,,,,,
Р. Македонија - денационализација 06,1.00 EUR,98.2,98.2,98.2,98.2,1,92658.98,1534,1
Р.Македонија - денационализација 07,1.00 EUR,95.1,95.1,95.1,95.1,1,59316.76,1013,1
Р. Македонија - денационализација 13,1.00 EUR,94,91.2,94,91.2,5,1224632.12,21199,3
Р. Македонија - денационализација 14,1.00 EUR,93.1,93,93.1,93,3,1410382.32,24624,2
Р. Македонија - денационализација 15,1.00 EUR,92.5,91.8,92.5,92.5,223,100222084.09,1759428,16
Задолжителна котација - обични акции,,,,,,,,,
Рудници Бањани Скопје,50.00 DEM,550,550,550,550,1,95700,174,1
ФЗЦ 11 Октомври Куманово,51.13 EUR,413,397,400,408,9,720973,1797,6
Единство Струмица,70.00 DEM,303,303,303,303,2,12120,40,1
Осигурување Македонија АД Скопје - Виена Иншуренс Груп,20.08 EUR,1545,1545,1545,1545,2,20085,13,1
Макпромет Штип,51.13 EUR,570,570,570,570,1,9120,16,1
Огражден Струмица,50.00 EUR,1250,1250,1250,1250,2,321250,257,1
ОКТА Скопје,51.12 EUR,1115,922,950,1115,9,331676,324,4
Прилепска Пиварница Прилеп,125.00 EUR,30000,30000,30000,30000,2,60000,2,2
Арцелормиттал Скопје (ЦРМ) Скопје,5.11 EUR,16,16,16,16,1,9600,600,1
РЖ Техничка контрола Скопје,5.11 EUR,385,385,385,385,1,192500,500,1
Славеј Скопје,50.00 EUR,3114,3114,3114,3114,1,37368,12,1
Стопанска банка Скопје,201.10 MKD,463,425,425,460,49,4464007,10215,13
Македонски Телеком Скопје,100.00 MKD,267,251,257,267,24,1785774,6950,11
НЛБ Банка АД Скопје,1000.00 MKD,7150,6800,6803,7150,51,10053599,1454,12
Транскоп-Патнички сооб. Битола,51.13 EUR,1000,1000,1000,1000,1,51000,51,1
Универзална Инвестициона Банка Скопје,1000.00 MKD,620,602,613,620,4,112750,185,3
Цементарница УСЈЕ Скопје,3100.00 MKD,21400,20500,20500,21400,9,1343216,64,4
Жито Полог Тетово,51.13 EUR,,,,2000,2,0,0,1
Задолжителна котација - приоритетни акции,,,,,,,,,
Стопанска банка Скопје,400.00 MKD,361,361,361,361,1,108300,300,1
Вкупно Официјален пазар,,,,,,968,210309265.27,1879255,
Редовен пазар,,,,,,,,,
Слободен пазар - обични акции,,,,,,,,,
